-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 2004-05. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "PuducherryNSDPconst.csv", 
 "title": "Download CSV for Puducherry Net State Domestic Product at factor cost at Constant Prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/PuducherryNSDPconst.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"Agriculture","18728","20862","24707","25630","31958","22621","21538","22241","35614"
"Foresty and Logging","3454","1314","1376","1447","6556","7794","8684","8056","9660"
"Fishing","6121","5072","4009","2190","6099","5204","7058","2896","13221"
"Ag and Allied","28303","27248","30092","29267","44613","35619","37280","33193","58495"
"Mining and Quarrying","0","0","0","0","0","0","0","0","0"
"Sub total of primary","28303","27248","30092","29267","44613","35619","37280","33193","58495"
"Manufacturing","164649","256471","227917","225431","259885","325724","361319","343061","377327"
"Registered","133866","224263","191758","185409","217935","284437","318923","302432","330154"
"Unregistered","30783","32208","36159","40022","41950","41287","42396","40629","47173"
"Construction","71914","75985","79694","84587","88953","88041","84144","63754","93251"
"Electricity, Gas and water Supply","5382","4424","4703","18192","6273","4837","3098","2868","7729"
"Sub total of secondary","241945","336880","312314","328210","355111","418602","448561","409683","478307"
"Industry","241945","336880","312314","328210","355111","418602","448561","409683","478307"
"Transport Storage and Communication","16647","15350","17287","17737","24129","47038","65365","66550","71738"
"Railways","50","52","93","100","203","221","263","360","376"
"Transport by other means","8583","9982","12385","13609","14189","14579","17784","15457","17009"
"Storage","57","62","74","89","106","104","180","245","174"
"Communication","7957","5254","4735","3939","9631","32134","47138","50488","54179"
"Trade, hotels and restaurants","104571","134074","156782","174914","164125","172924","175094","182962","201744"
"Banking and Insurance","18680","22473","29313","33861","37247","44770","45509","50419","52447"
"Real estate, ownership of dwelling and business","38956","45596","53962","64952","79726","99169","123910","130344","143679"
"Pubic Administration","14877","19831","16318","16420","26466","31320","45706","55233","39987"
"Other Services","39326","36057","45371","48371","52131","70227","71728","95968","126388"
"Sub total of tertiary","233057","273381","319033","356255","383824","465448","527312","581476","635984"
"State domestic product","503306","637508","661439","713732","783547","919669","1013154","1024354","1172787"

"Figures are in Rs. Lakh"
