-----
{
 "description": "The table refers to District wise Construction of Deep Tubewells over the years. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwlstate3.1.csv", 
 "title": "Download CSV for Districtwise Construction of Deep Tubewells over the years", 
 "url": "http://data.gov.in/sites/default/files/dptbwlstate3.1.csv"
}
-----
"State","District","Upto 1993-94","During 1994-95","During 1995-96","During 1996-97","During 1997-98","During 1998-99","During 1999-00","During 2000-01","Total (1994-01)"
"ANDHRA PRADESH","ADILABAD",41,3,1,0,3,4,2,14,68
"ANDHRA PRADESH","ANANTHAPUR",170,3,19,117,55,125,53,19,561
"ANDHRA PRADESH","CHITTOOR",6122,2433,2866,3330,3532,4344,3949,2357,28933
"ANDHRA PRADESH","CUDDAPAH",6284,1280,1461,2234,2273,3065,2515,1168,20280
"ANDHRA PRADESH","EAST GODAVARI",3049,188,221,212,121,125,93,78,4087
"ANDHRA PRADESH","GUNTUR",846,181,201,247,437,244,204,94,2454
"ANDHRA PRADESH","KARIMNAGAR",117,18,34,24,51,34,29,31,338
"ANDHRA PRADESH","KHAMMAM",518,118,109,73,63,143,37,51,1112
"ANDHRA PRADESH","KRISHNA",542,33,47,38,51,61,117,66,955
"ANDHRA PRADESH","KURNOOL",740,484,334,331,207,244,158,79,2577
"ANDHRA PRADESH","MEDAK",205,25,36,43,36,96,63,35,539
"ANDHRA PRADESH","NALGONDA",26,4,4,3,0,0,23,2,62
"ANDHRA PRADESH","NELLORE",103,13,18,32,14,79,67,7,333
"ANDHRA PRADESH","NIZAMABAD",6,0,0,0,0,4,0,0,10
"ANDHRA PRADESH","PRAKASAM",177,126,198,360,236,401,177,19,1694
"ANDHRA PRADESH","RANGAREDDY",700,505,104,73,83,65,17,6,1553
"ANDHRA PRADESH","SRIKAKULAM",26,11,2,2,6,0,7,3,57
"ANDHRA PRADESH","VISAKHAPATNAM",8,0,0,0,0,0,0,0,8
"ANDHRA PRADESH","WARANGAL",168,22,32,95,96,198,117,59,787
"ANDHRA PRADESH","WEST GODAVARI",12511,2662,1814,1366,1279,672,390,380,21074
"ARUNACHAL PRADESH","PAPUMPARE",3,0,0,0,0,0,0,0,3
"ASSAM","BARPETA",6,0,0,0,1,1,1,2,11
"ASSAM","BONGAIGAON",13,0,1,1,0,1,1,0,17
"ASSAM","CACHAR",1,0,0,0,0,0,0,1,2
"ASSAM","DARRANG",66,3,2,1,5,14,31,9,131
"ASSAM","DHEMAJI",15,0,0,0,0,0,0,0,15
"ASSAM","DHUBRI",4,0,0,0,0,2,6,4,16
"ASSAM","DIBRUGARH",8,0,1,0,0,0,0,0,9
"ASSAM","GOALPARA",24,1,0,1,0,3,0,0,29
"ASSAM","GOLAGHAT",14,0,0,0,3,0,1,0,18
"ASSAM","HAILAKANDI",7,0,0,0,0,0,0,0,7
"ASSAM","JORHAT",100,0,0,0,0,0,0,1,101
"ASSAM","KAMRUP",21,11,0,1,0,0,0,0,33
"ASSAM","KARBIANGLONG",2,0,0,1,0,0,0,0,3
"ASSAM","KARIMGANJ",10,1,0,0,0,0,0,0,11
"ASSAM","KOKRAJHAR",4,0,0,0,0,0,0,0,4
"ASSAM","LAKHIMPUR",90,1,0,3,1,0,0,0,95
"ASSAM","MORIGAON",6,1,0,0,1,0,0,1,9
"ASSAM","NAGOAN",9,0,1,7,0,2,1,2,22
"ASSAM","NALBARI",41,1,0,0,0,1,0,1,44
"ASSAM","NC HILLS",1,0,0,0,0,0,0,0,1
"ASSAM","SIBSAGAR",16,0,0,0,0,0,0,5,21
"ASSAM","SONITPUR",7,0,0,0,1,0,0,0,8
"ASSAM","TINSUKIA",145,1,1,0,5,0,1,0,153
"BIHAR","AURANGABAD",84,4,4,1,2,1,0,0,96
"BIHAR","BANKA",3,0,0,0,0,0,0,0,3
"BIHAR","BEGUSARAI",225,11,8,7,0,0,0,1,252
"BIHAR","BHAGALPUR",150,2,2,0,0,0,0,1,155
"BIHAR","BHOJPUR",121,15,1,4,0,0,0,1,142
"BIHAR","BUXAR",144,3,6,0,2,0,0,0,155
"BIHAR","DARBHANGA",203,8,1,3,0,1,0,0,216
"BIHAR","EAST CHAMPARAN",195,12,7,14,3,10,25,16,282
"BIHAR","GAYA",36,0,0,9,4,4,1,5,59
"BIHAR","GOPAALGANJ",49,3,1,1,0,0,0,2,56
"BIHAR","JAMUI",3,0,0,0,0,0,0,0,3
"BIHAR","JEHANABAD",23,2,2,9,0,0,0,0,36
"BIHAR","KAIMUR (BHABUA)",127,2,0,2,3,1,9,3,147
"BIHAR","KATIHAR",65,1,0,0,0,0,0,1,67
"BIHAR","KHAGARIA",118,1,2,1,0,2,2,0,126
"BIHAR","KISHANGANJ",10,0,0,0,0,0,0,0,10
"BIHAR","LAKHISARAI",45,0,0,0,0,0,0,0,45
"BIHAR","MADHEPURA",31,0,2,2,0,0,0,0,35
"BIHAR","MADHUBANI",494,52,42,26,17,6,2,3,642
"BIHAR","MUNGER",2,0,0,0,0,0,0,0,2
"BIHAR","MUZAFFARPUR",232,7,1,3,1,2,0,3,249
"BIHAR","NALANDA",138,9,27,4,6,0,0,4,188
"BIHAR","NAWADA",94,25,16,13,1,1,0,0,150
"BIHAR","PATNA",288,8,6,1,0,2,2,1,308
"BIHAR","PURNIA",3,0,0,0,0,0,0,0,3
"BIHAR","ROHTAS(SASARAM)",77,1,1,6,1,0,1,1,88
"BIHAR","SAHARSA",15,0,0,0,0,0,0,0,15
"BIHAR","SAMASTIPUR",246,8,1,2,0,0,0,0,257
"BIHAR","SARAN",103,4,8,21,8,6,1,0,151
"BIHAR","SHEKHPURA",93,24,20,3,0,0,0,1,141
"BIHAR","SHEOHAR",18,0,0,1,0,0,0,0,19
"BIHAR","SITAMARHI",1532,166,79,36,23,6,2,4,1848
"BIHAR","SIWAN",105,0,0,0,0,0,0,0,105
"BIHAR","SUPAUL",42,0,0,0,0,0,0,0,42
"BIHAR","VAISHALI",53,8,3,2,0,2,2,0,70
"BIHAR","WEST CHAMPARAN",26,0,1,0,0,0,0,0,27
"CHANDIGARH","UT CHANDIGARH",45,1,3,2,0,1,3,2,57
"CHHATTISGARH","BASTER",2,0,0,1,1,0,0,0,4
"CHHATTISGARH","BILASPUR",992,36,80,43,59,44,80,58,1392
"CHHATTISGARH","DANTEWADA",0,0,3,0,0,0,0,0,3
"CHHATTISGARH","DHAMTARI",4,0,1,0,0,0,3,0,8
"CHHATTISGARH","DURG",103,6,7,6,6,13,12,37,190
"CHHATTISGARH","JANJGIR-CHAMPA",1762,61,109,174,167,251,96,61,2681
"CHHATTISGARH","JASHPUR",1,0,0,0,0,0,0,0,1
"CHHATTISGARH","KANKER",0,3,0,2,0,0,0,1,6
"CHHATTISGARH","KORIA",2,2,0,0,0,0,0,0,4
"CHHATTISGARH","KVARDHA",27,1,9,6,3,1,8,15,70
"CHHATTISGARH","MAHASAMUND",1,0,0,0,1,1,1,0,4
"CHHATTISGARH","RAIGARH",187,27,50,50,69,88,105,66,642
"CHHATTISGARH","RAIPUR",57,19,3,7,15,11,11,11,134
"CHHATTISGARH","RAJNANDGAON",12,3,0,1,0,0,1,0,17
"CHHATTISGARH","SURGUJA",27,7,9,4,8,8,2,6,71
"DELHI","MAHRAULI",259,68,56,43,42,7,1,0,476
"DELHI","NAJAFGARH",146,12,3,2,2,4,0,0,169
"GOA","NORTH GOA",47,1,1,1,0,2,3,2,57
"GOA","SOUTH GOA",2,0,0,1,0,0,0,0,3
"GUJARAT","AHMEDABAD",4354,469,482,463,420,216,189,93,6686
"GUJARAT","AMRELI",1845,353,2674,600,87,0,0,0,5559
"GUJARAT","ANAND",1333,144,95,56,57,94,107,459,2345
