-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 1993-94.", 
 "file_name": "UttarakhandGSDPconst_1.csv", 
 "title": "Download CSV for Uttarakhand Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/UttarakhandGSDPconst_1.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","192419","203054","217549","219301","218048","223179","222483","233888","225731","230719","242306","247875"
"Foresty and Logging","26843","25194","27556","22588","25086","31325","29125","25220","25364","26187","26398","27389"
"Fishing","451","477","496","510","546","624","657","666","674","715","719","719"
"Mining and Quarrying","8272","10042","8866","6372","5297","7839","10314","9479","13215","13939","35404","37105"
"Sub total of primary","227985","238767","254467","248771","248977","262967","262579","269253","264984","271560","304827","313088"
"Manufacturing","80671","114232","76310","100798","84461","62470","61122","90296","82158","91452","100649","117659"
"Registered","69480","101080","61544","85798","68095","45678","42775","71049","62740","71233","78297","93838"
"Unregistered","11191","13152","14766","15000","16366","16792","18347","19247","19418","20219","22352","23821"
"Construction","39940","39415","47285","48100","55881","68508","65001","69215","92037","119751","126153","156622"
"Electricity, Gas and water Supply","12200","13248","13737","13843","14182","14975","13740","14473","25156","27525","30013","34785"
"Sub total of secondary","132811","166895","137332","162741","154524","145953","139863","173984","199351","238728","256815","309066"
"Transport Storage and Communication","24193","25603","27217","28386","29011","30433","33153","45795","49268","55614","61702","70469"
"Railways","2452","2306","2484","2582","2709","2972","3088","3089","3313","3478","3702","3932"
"Transport by other means","17114","17255","18166","18383","19598","20204","21219","23048","23899","24830","26784","29262"
"Storage","682","743","772","737","808","1079","1146","1245","1276","1232","1283","1314"
"Communication","3945","5299","5795","6684","5896","6178","7700","18413","20780","26074","29933","35961"
"Trade, hotels and restaurants","44135","42442","43142","47281","46847","47448","47378","57008","60842","63893","73435","77654"
"Banking and Insurance","24891","27160","28117","39867","49681","43798","46045","49335","51980","62526","67183","74595"
"Real estate, ownership of dwelling and business","38585","39877","41282","42525","44163","46354","48815","52248","54687","57203","60005","63980"
"Pubic Administration","31502","30612","35204","35137","41007","41358","45308","45373","55099","54234","56397","72149"
"Other Services","44455","47381","50660","52422","54665","61674","62475","66073","67918","82091","109632","124734"
"Sub total of tertiary","207761","213075","225622","245618","265374","271065","283174","315832","339794","375561","428354","483581"
"State domestic product","568558","618736","617422","657129","668875","679985","685615","759069","804129","885849","989995","1105735"

"Figures are in Rs. Lakh"
