-----
{
 "description": "The table refers to Statewise Construction of Shallow Tubewells over the years. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltubeNat2.1.csv", 
 "title": "Download CSV for Statewise Construction of Shallow Tubewells over the years", 
 "url": "http://data.gov.in/sites/default/files/shltubeNat2.1.csv"
}
-----
"State","Upto 1993-94","During 1994-95","During 1995-96","During 1996-97","During 1997-98","During 1998-99","During 1999-00","During 2000-01","Total (1994-01)"
"ANDHRA PRADESH",246770,61563,68058,72968,69884,67519,45658,23939,656359
"ASSAM",8654,2232,2009,3346,4712,11223,26775,19713,78664
"BIHAR",280874,100846,84357,64060,51349,38001,21050,10846,651383
"CHHATTISGARH",43557,3689,4590,4659,5383,5877,5354,13466,86575
"GOA",13,1,1,6,1,3,4,1,30
"GUJARAT",31277,3423,3627,2895,2450,1989,3064,4470,53195
"HARYANA",207819,43967,32972,27249,22138,18720,12049,11438,376352
"HIMACHAL PRADESH",1477,140,198,204,237,171,135,87,2649
"JAMMU & KASHMIR",451,65,146,178,325,172,17,19,1373
"JHARKHAND",614,165,88,79,37,78,42,21,1124
"KARNATAKA",163168,61373,60166,68335,59846,55384,33739,30337,532348
"KERALA",2005,361,357,565,445,352,346,249,4680
"MADHYA PRADESH",97659,28749,32061,34530,33009,25472,16695,10849,279024
"MAHARASHTRA",21191,4964,6312,6348,6660,6002,4314,3629,59420
"MANIPUR",0,1,2,0,0,0,0,0,3
"MEGHALAYA",22,3,3,3,7,11,13,13,75
"NAGALAND",2,0,0,0,0,0,0,0,2
"ORISSA",12439,2669,3403,4799,6340,6149,4483,3599,43881
"PUNJAB",808475,81304,59988,42281,25510,20032,16559,12968,1067117
"RAJASTHAN",39413,12361,12360,12113,11847,11528,8857,4377,112856
"TAMIL NADU",107661,9724,9503,8479,6944,4629,2809,1501,151250
"TRIPURA",41,30,74,77,142,224,357,233,1178
"UTTAR PRADESH",1571447,476109,381373,322577,251355,196068,131919,194695,3525543
"UTTARANCHAL",33635,6291,4547,3339,1950,1170,702,465,52099
"WEST BENGAL",256545,75493,63728,59957,52755,46770,31623,16796,603667
"CHANDIGARH",70,7,7,19,8,12,1,8,132
"DELHI",6064,1469,1039,746,469,341,146,69,10343
"PONDICHERRY",3381,359,286,86,71,45,69,73,4370
"ALL INDIA",3944724,977358,831255,739898,613874,517942,366780,363861,8355692
