-----
{
 "description": "The table refers to Block wise Distribution of Shallow Tubewells according to Water Lifting Device. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbdistr2.9.csv", 
 "title": "Download CSV for Blockwise Distribution of Shallow Tubewells according to Water Lifting Device", 
 "url": "http://data.gov.in/sites/default/files/shltbdistr2.9.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Electric pumps,Diesel pumps,Wind mills,Solar pumps,Man/Animal operated,Others,Total
ANDHRA PRADESH,ADILABAD,TALAMADUGU,269,8,0,0,2,0,279
ANDHRA PRADESH,ADILABAD,TAMSI,188,2,0,0,15,0,205
ANDHRA PRADESH,ADILABAD,TANDUR,17,0,0,0,0,0,17
ANDHRA PRADESH,ADILABAD,TANUR,596,0,0,0,0,0,596
ANDHRA PRADESH,ADILABAD,UTNUR,43,0,0,0,0,0,43
ANDHRA PRADESH,ADILABAD,VEMANPALLE,104,0,0,0,0,0,104
ANDHRA PRADESH,ADILABAD,WANKDI,1,0,0,0,0,0,1
ANDHRA PRADESH,ANANTHAPUR,AGALI,687,0,33,0,1,0,721
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,285,1,0,0,0,0,286
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,344,0,0,1,0,0,345
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,323,0,0,0,0,0,323
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,149,0,0,0,0,0,149
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,485,0,0,0,5,0,490
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,534,0,4,0,1,0,539
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,492,94,2,0,0,0,588
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,562,1,0,0,1,0,564
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,142,0,0,0,0,0,142
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,1043,0,3,0,2,0,1048
ANDHRA PRADESH,ANANTHAPUR,CHENNE KOTHAPALLE,670,0,16,0,5,0,691
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,527,0,1,0,0,1,529
ANDHRA PRADESH,ANANTHAPUR,D.HIRCHAL,1445,22,0,1,16,1,1485
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,308,0,0,0,1,0,309
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,96,0,0,0,0,0,96
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,1137,0,0,0,7,0,1144
ANDHRA PRADESH,ANANTHAPUR,GOOTY,402,0,8,3,0,0,413
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,382,1,1,0,0,0,384
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,300,0,0,0,0,0,300
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATTA,596,1,0,0,1,0,598
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,443,0,4,2,2,0,451
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,563,0,0,0,0,0,563
ANDHRA PRADESH,ANANTHAPUR,KADIRI,264,0,0,0,2,0,266
ANDHRA PRADESH,ANANTHAPUR,KALYANDURG,424,0,1,0,0,0,425
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,348,0,0,0,2,0,350
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,460,1,2,1,22,0,486
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,974,3,1,0,3,2,983
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,398,1,1,1,1,0,402
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,406,0,0,1,2,0,409
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,97,0,1,5,0,0,103
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,962,0,1,0,3,0,966
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,473,0,3,0,2,0,478
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,317,1,0,0,3,1,322
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,367,0,0,1,0,0,368
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,259,1,3,0,3,0,266
ANDHRA PRADESH,ANANTHAPUR,NAMBULIPULIKUNTA,379,1,0,0,0,0,380
ANDHRA PRADESH,ANANTHAPUR,NARPALA,373,0,0,12,1,4,390
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,285,0,4,0,1,0,290
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,680,0,2,0,5,0,687
ANDHRA PRADESH,ANANTHAPUR,PARIGI,564,0,4,0,1,0,569
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,1718,0,3,4,4,0,1729
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,706,0,0,1,7,0,714
ANDHRA PRADESH,ANANTHAPUR,PENU KONDA,431,0,6,0,5,1,443
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,1481,1,13,0,9,0,1504
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,337,0,0,0,0,1,338
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,308,17,1,0,1,0,327
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,607,0,0,2,4,0,613
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,744,0,0,0,0,0,744
ANDHRA PRADESH,ANANTHAPUR,RODDAM,1072,0,1,0,17,0,1090
ANDHRA PRADESH,ANANTHAPUR,ROLLA,514,0,8,1,14,0,537
ANDHRA PRADESH,ANANTHAPUR,SETTUR,100,0,0,0,1,0,101
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,650,0,29,2,11,1,693
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,430,1,0,0,0,0,431
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,381,0,0,0,1,0,382
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,977,0,2,0,6,0,985
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,405,0,0,0,0,0,405
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,133,0,0,0,0,0,133
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,151,0,1,0,23,0,175
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,195,0,1,0,2,0,198
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,157,0,1,0,1,0,159
ANDHRA PRADESH,ANANTHAPUR,YADIKI,749,0,0,3,0,7,759
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,1197,1,3,0,5,0,1206
ANDHRA PRADESH,CHITTOOR,B KOTHAKOTA,223,0,0,0,20,0,243
ANDHRA PRADESH,CHITTOOR,BAIREDDI PALLE,379,0,1,0,2,0,382
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,98,0,0,0,1,0,99
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,120,0,0,0,0,0,120
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,114,0,0,0,0,0,114
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,749,1,3,0,6,1,760
ANDHRA PRADESH,CHITTOOR,CHITTOOR,62,0,2,0,0,0,64
ANDHRA PRADESH,CHITTOOR,CHOWDEPALLE,93,1,0,1,0,1,96
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,145,1,0,0,1,0,147
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,103,0,0,0,0,1,104
ANDHRA PRADESH,CHITTOOR,GUDI PALLE,4,0,0,0,0,0,4
ANDHRA PRADESH,CHITTOOR,GUDIPALA,22,0,0,0,0,0,22
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,61,0,0,0,0,0,61
ANDHRA PRADESH,CHITTOOR,K V P PURAM,611,22,0,1,2,0,636
ANDHRA PRADESH,CHITTOOR,KALAKADA,368,0,2,0,1,0,371
ANDHRA PRADESH,CHITTOOR,KALIKIRI,453,0,0,0,0,0,453
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,99,0,1,1,0,0,101
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,979,0,0,0,0,0,979
ANDHRA PRADESH,CHITTOOR,KUPPAM,22,0,0,0,0,0,22
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,175,0,1,0,2,0,178
ANDHRA PRADESH,CHITTOOR,MANDANPALLE,749,0,0,0,7,0,756
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,107,1,0,1,0,0,109
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,464,6,68,0,0,0,538
ANDHRA PRADESH,CHITTOOR,NAGARI,568,3,1,0,3,0,575
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,431,0,1,1,2,0,435
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,181,0,1,1,0,0,183
ANDHRA PRADESH,CHITTOOR,NINDRA,835,2,11,4,18,0,870
ANDHRA PRADESH,CHITTOOR,PAKALA,305,0,4,2,0,0,311
ANDHRA PRADESH,CHITTOOR,PALAMANER,202,0,1,0,1,0,204
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,150,0,1,0,0,0,151
ANDHRA PRADESH,CHITTOOR,PEDDA PANJANI,194,2,0,0,2,0,198
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,68,0,1,1,1,0,71
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMUDRAM,196,0,13,0,1,0,210
ANDHRA PRADESH,CHITTOOR,PENUMURU,106,7,3,0,0,0,116
ANDHRA PRADESH,CHITTOOR,PICHATUR,171,15,10,0,1,0,197
ANDHRA PRADESH,CHITTOOR,PILERU,68,0,0,0,0,0,68
ANDHRA PRADESH,CHITTOOR,PULICHERLA,73,0,0,0,0,0,73
ANDHRA PRADESH,CHITTOOR,PUNGANUR,279,1,4,1,0,0,285
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,919,0,2,1,3,0,925
ANDHRA PRADESH,CHITTOOR,PUTTUR,552,7,8,0,3,0,570
ANDHRA PRADESH,CHITTOOR,RAMA KUPPAM,71,0,2,1,2,0,76
ANDHRA PRADESH,CHITTOOR,RAMACHANDRAPURAM,555,0,0,0,0,0,555
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,66,0,1,0,0,0,67
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,547,0,1,0,4,0,552
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,0,0,1,0,104,0,105
ANDHRA PRADESH,CHITTOOR,SANTHI PURAM,13,0,0,0,0,0,13
ANDHRA PRADESH,CHITTOOR,SODAM,84,0,0,0,0,0,84
ANDHRA PRADESH,CHITTOOR,SOMALA,62,0,0,0,0,0,62
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,367,24,2,3,4,1,401
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,332,4,2,0,0,0,338
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDU,658,2,0,0,6,0,666
ANDHRA PRADESH,CHITTOOR,TIRUPATI RURAL,720,0,0,0,3,0,723
ANDHRA PRADESH,CHITTOOR,TIRUPATI URBAN,24,0,0,0,0,0,24
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,625,7,0,0,0,0,632
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,363,2,0,0,8,0,373
ANDHRA PRADESH,CHITTOOR,VAYALPAD,98,4,1,0,1,0,104
ANDHRA PRADESH,CHITTOOR,VEDURU KUPPAM,646,0,0,0,0,0,646
ANDHRA PRADESH,CHITTOOR,VENKATAGIRI KOTA,116,0,3,0,0,0,119
ANDHRA PRADESH,CHITTOOR,VIJAYA PURAM,482,2,2,0,0,0,486
ANDHRA PRADESH,CHITTOOR,YADAMARI,26,0,0,0,1,0,27
ANDHRA PRADESH,CHITTOOR,YERPEDU,1568,1,21,7,6,1,1604
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,391,0,0,0,0,0,391
ANDHRA PRADESH,CUDDAPAH,A.KASINAYANI,53,0,0,0,0,0,53
ANDHRA PRADESH,CUDDAPAH,ATLUR,72,2,0,0,0,0,74
ANDHRA PRADESH,CUDDAPAH,B KODUR,1,0,0,0,0,0,1
ANDHRA PRADESH,CUDDAPAH,BADVEL,84,2,0,0,0,0,86
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATTAM,20,0,0,0,0,0,20
ANDHRA PRADESH,CUDDAPAH,CHAKRAYAPET,442,7,0,0,0,0,449
ANDHRA PRADESH,CUDDAPAH,CHAPAD,1133,32,0,0,0,0,1165
ANDHRA PRADESH,CUDDAPAH,CHENNUR,275,5,0,0,0,0,280
ANDHRA PRADESH,CUDDAPAH,CHINNAMANDEM,23,0,0,0,0,0,23
ANDHRA PRADESH,CUDDAPAH,CHINTHA KOMMADINNE,29,1,0,0,0,0,30
ANDHRA PRADESH,CUDDAPAH,CHITVEL,243,2,0,0,0,1,246
ANDHRA PRADESH,CUDDAPAH,DUVVUR,236,0,0,0,0,0,236
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,39,1,0,0,0,0,40
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,10,0,0,0,0,0,10
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,358,19,0,0,0,0,377
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,1346,14,0,0,0,0,1360
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,624,1,0,0,0,0,625
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,1366,15,0,0,0,0,1381
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,92,0,0,0,0,0,92
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,319,5,0,0,0,0,324
ANDHRA PRADESH,CUDDAPAH,NANDALUR,257,5,0,0,0,0,262
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,184,64,0,0,0,0,248
ANDHRA PRADESH,CUDDAPAH,PENAGALURU,437,7,0,0,0,0,444
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,1579,41,0,0,0,1,1621
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,256,23,0,0,0,0,279
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,1032,11,0,0,0,0,1043
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,117,3,0,0,0,0,120
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,258,8,0,0,0,0,266
ANDHRA PRADESH,CUDDAPAH,RAJU PALEM,58,66,0,0,0,0,124
ANDHRA PRADESH,CUDDAPAH,RAYACHOTI,63,0,0,0,0,0,63
ANDHRA PRADESH,CUDDAPAH,S MYDUKUR,926,204,0,0,0,0,1130
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,36,2,0,0,0,0,38
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,782,3,0,0,0,0,785
ANDHRA PRADESH,CUDDAPAH,T SUNDUPALLE,737,62,0,0,0,0,799
ANDHRA PRADESH,CUDDAPAH,THANDUR,28,1,0,0,0,0,29
ANDHRA PRADESH,CUDDAPAH,VALLUR,485,13,0,0,0,0,498
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,437,4,0,0,0,0,441
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,547,4,0,0,0,0,551
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,923,3,0,0,0,0,926
ANDHRA PRADESH,CUDDAPAH,VEMULA,221,3,0,0,0,0,224
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,28,0,0,0,0,0,28
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,268,0,0,0,0,0,268
ANDHRA PRADESH,EAST GODAVARI,ADDATEEGALA,27,4,0,0,0,0,31
ANDHRA PRADESH,EAST GODAVARI,AINAVILLI,383,342,0,0,2,0,727
ANDHRA PRADESH,EAST GODAVARI,ALAMURU,753,16,16,7,2,0,794
ANDHRA PRADESH,EAST GODAVARI,ALLAVARAM,9,100,0,0,0,0,109
ANDHRA PRADESH,EAST GODAVARI,AMALAPURAM,166,345,0,1,1,0,513
ANDHRA PRADESH,EAST GODAVARI,AMBAJIPETA,638,745,6,0,1,0,1390
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHI,222,7,0,0,0,1,230
ANDHRA PRADESH,EAST GODAVARI,ATREYAPURAM,800,545,3,0,2,1,1351
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,139,4,0,0,0,0,143
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,208,3,1,1,0,0,213
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,5,0,0,0,0,0,5
ANDHRA PRADESH,EAST GODAVARI,I POLAVARAM,40,22,0,0,0,0,62
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,134,4,1,0,0,0,139
ANDHRA PRADESH,EAST GODAVARI,KADIAM,1767,1,21,0,9,0,1798
ANDHRA PRADESH,EAST GODAVARI,KAJULURU,23,27,0,0,0,0,50
ANDHRA PRADESH,EAST GODAVARI,KAKINADA (RURAL),51,5,0,0,0,0,56
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,484,256,5,0,1,0,746
ANDHRA PRADESH,EAST GODAVARI,KARAPA,10,14,0,0,0,0,24
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,683,0,0,0,0,0,683
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,350,35,1,0,0,0,386
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,140,106,2,0,3,0,251
ANDHRA PRADESH,EAST GODAVARI,KOTHAPALLI,65,0,0,0,0,0,65
ANDHRA PRADESH,EAST GODAVARI,KOTHAPETA,712,848,1,0,1,1,1563
ANDHRA PRADESH,EAST GODAVARI,MALIKIPURAM,1,2032,2,1,0,0,2036
ANDHRA PRADESH,EAST GODAVARI,MAMIDIKUDURU,9,438,0,0,0,0,447
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,672,15,15,0,2,0,704
ANDHRA PRADESH,EAST GODAVARI,MUMMIDIVARAM,89,376,0,1,1,0,467
ANDHRA PRADESH,EAST GODAVARI,P GANNAVARAM,149,638,0,0,1,0,788
ANDHRA PRADESH,EAST GODAVARI,PAMARRU,212,189,1,0,0,0,402
ANDHRA PRADESH,EAST GODAVARI,PEDAPUDI,173,86,1,0,0,0,260
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,296,41,6,0,0,0,343
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,522,19,4,0,0,0,545
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,300,23,0,0,0,0,323
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY(RURAL),190,0,1,0,1,0,192
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,82,0,0,0,0,0,82
ANDHRA PRADESH,EAST GODAVARI,RAMACHANDRAPURAM,537,84,3,0,0,0,624
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,37,0,0,0,0,1,38
ANDHRA PRADESH,EAST GODAVARI,RAVULAPALEM,634,585,0,0,0,0,1219
ANDHRA PRADESH,EAST GODAVARI,RAYAVARAM,373,0,0,0,0,0,373
ANDHRA PRADESH,EAST GODAVARI,RAZOLE,28,135,5,0,0,0,168
ANDHRA PRADESH,EAST GODAVARI,SAKHINETIPALLE,0,110,0,0,0,0,110
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,61,0,0,0,0,0,61
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,287,9,1,0,0,0,297
ANDHRA PRADESH,EAST GODAVARI,SEETHANAGARAM,560,142,2,3,0,0,707
ANDHRA PRADESH,EAST GODAVARI,THALLAREVU,1,25,0,0,1,0,27
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,380,0,1,0,0,0,381
ANDHRA PRADESH,EAST GODAVARI,TUNI,446,55,1,1,0,0,503
ANDHRA PRADESH,EAST GODAVARI,UPPALAGUPTAM,0,42,0,0,0,0,42
ANDHRA PRADESH,EAST GODAVARI,YELESWARAM,1041,8,6,0,0,0,1055
ANDHRA PRADESH,GUNTUR,ACHAMPETA,83,13,0,0,0,0,96
ANDHRA PRADESH,GUNTUR,AMARAVATHI,245,34,1,0,0,0,280
ANDHRA PRADESH,GUNTUR,AMRUTHALUR,321,5,1,0,0,0,327
ANDHRA PRADESH,GUNTUR,BAPATLA,16,7,0,4,0,0,27
ANDHRA PRADESH,GUNTUR,BELLAMKONDA,103,19,0,0,0,0,122
ANDHRA PRADESH,GUNTUR,BHATTIPROLU,1018,18,1,1,10,0,1048
ANDHRA PRADESH,GUNTUR,BOLLAPALLE,1610,3,1,0,5,2,1621
ANDHRA PRADESH,GUNTUR,CHEBROLE,28,0,0,0,0,0,28
ANDHRA PRADESH,GUNTUR,CHERUKUPALLE,53,0,0,0,0,0,53
ANDHRA PRADESH,GUNTUR,DACHEPALLE,92,1,0,0,0,0,93
ANDHRA PRADESH,GUNTUR,DUGGIRALA,1263,396,14,0,7,0,1680
ANDHRA PRADESH,GUNTUR,EDLAPADU,7,30,0,0,0,0,37
ANDHRA PRADESH,GUNTUR,GUNTUR,28,8,0,0,0,0,36
ANDHRA PRADESH,GUNTUR,GURAZALA,57,14,0,0,0,0,71
ANDHRA PRADESH,GUNTUR,IPURU,20,32,1,0,0,0,53
ANDHRA PRADESH,GUNTUR,KAREMPUDI,291,6,1,0,0,0,298
ANDHRA PRADESH,GUNTUR,KARLAPALEM,39,0,0,0,1,0,40
ANDHRA PRADESH,GUNTUR,KOLLIPARA,1336,391,5,1,4,0,1737
ANDHRA PRADESH,GUNTUR,KOLLUR,2526,113,3,0,0,0,2642
ANDHRA PRADESH,GUNTUR,KROSURU,19,1,0,0,0,0,20
ANDHRA PRADESH,GUNTUR,MACHAVARAM,168,25,0,0,1,0,194
ANDHRA PRADESH,GUNTUR,MACHERLA,57,0,0,0,0,0,57
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,887,0,12,0,0,0,899
ANDHRA PRADESH,GUNTUR,MEDIKONDURU,2,1,0,0,0,0,3
ANDHRA PRADESH,GUNTUR,NADENDLA,0,4,0,0,0,0,4
ANDHRA PRADESH,GUNTUR,NAGARAM,36,0,0,0,0,0,36
ANDHRA PRADESH,GUNTUR,NAKARIKALLU,72,10,0,0,0,0,82
ANDHRA PRADESH,GUNTUR,NARASARAOPETA,3,0,0,0,0,0,3
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,5,0,0,0,0,0,5
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,63,23,0,0,0,0,86
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,90,0,0,0,0,0,90
ANDHRA PRADESH,GUNTUR,PIDUGURALLA,58,0,0,0,1,0,59
ANDHRA PRADESH,GUNTUR,PITTALAVANIPALEM,1,0,1,0,0,0,2
ANDHRA PRADESH,GUNTUR,PONNUR,1002,12,2,2,3,0,1021
ANDHRA PRADESH,GUNTUR,PRATHIPADU,25,3,0,0,0,0,28
ANDHRA PRADESH,GUNTUR,RAJUPALEM,23,0,0,2,0,0,25
ANDHRA PRADESH,GUNTUR,RENTACRINTALA,27,5,0,0,0,0,32
ANDHRA PRADESH,GUNTUR,REPALLE,92,0,1,0,0,0,93
ANDHRA PRADESH,GUNTUR,ROMPICHERLA,1,0,0,0,0,0,1
ANDHRA PRADESH,GUNTUR,SATTENAPALLE,1,0,0,0,0,0,1
ANDHRA PRADESH,GUNTUR,SAVALYAPURAM,20,0,0,0,0,0,20
ANDHRA PRADESH,GUNTUR,TADIKONDA,334,2,2,0,3,1,342
ANDHRA PRADESH,GUNTUR,TENALI,901,377,1,0,9,1,1289
ANDHRA PRADESH,GUNTUR,THADEPALLE,1017,21,4,0,0,0,1042
ANDHRA PRADESH,GUNTUR,THULLUR,2112,35,11,0,2,0,2160
ANDHRA PRADESH,GUNTUR,TSUNDUR,568,66,5,0,0,0,639
ANDHRA PRADESH,GUNTUR,VEMURU,495,148,5,0,5,0,653
ANDHRA PRADESH,GUNTUR,VINUKONDA,15,0,0,0,2,0,17
ANDHRA PRADESH,KARIMNAGAR,BEJJANKI,1003,0,0,0,0,0,1003
ANDHRA PRADESH,KARIMNAGAR,BHEEMADEVARPALLE,72,0,0,0,0,0,72
ANDHRA PRADESH,KARIMNAGAR,BOINPALLE,364,0,0,0,0,0,364
ANDHRA PRADESH,KARIMNAGAR,CHANDURTHI,298,0,0,0,0,0,298
