-----
{
 "description": "This table provides share of each fuel in total energy production and consumption for the years 2000-01 (Actual), 2006-07 (Actual), 2011-12 (Provisional), 2016-17 (Provisional) and 2021-22 (Projected).", 
 "file_name": "Share_of_Each_Fuel_In_Total_Energy_Production_And_Consumption.xls", 
 "title": "Download XLS for Share of Each Fuel In Total Energy Production And Consumption", 
 "url": "http://data.gov.in/sites/default/files/Share_of_Each_Fuel_In_Total_Energy_Production_And_Consumption.xls"
}
-----
"Category","Item","2000-01 (Actual)","2006-07 (Actual)","2011-12 (Provisional)","2016-17 (Provisional)","2021-22 (Projected)"
"Share in Commercial Energy Production","Coal & Lignite",66.38,70.65,68.53,67.52,66.82
"Share in Commercial Energy Production","Crude Oil",16.18,12.91,11.55,8.87,6.7
"Share in Commercial Energy Production","Natural Gas",12.14,10.52,12.6,15.8,16.04
"Share in Commercial Energy Production","Hydro Power",3.1,3.71,3.3,2.68,2.65
"Share in Commercial Energy Production","Nuclear Power",2.14,1.86,2.48,3.52,4.67
"Share in Commercial Energy Production","Renewable Energy",0.06,0.33,1.55,2.23,3.12
"Share in Total Commercial Energy Supply","Coal & Lignite",50.36,53.22,53.45,55.41,56.9
"Share in Total Commercial Energy Supply","Crude Oil",37.45,33.41,31.51,26.04,23.29
"Share in Total Commercial Energy Supply","Natural Gas",8.49,6.99,10.32,13.46,13.17
"Share in Total Commercial Energy Supply","Hydro Power",2.17,2.53,2.17,1.79,1.73
"Share in Total Commercial Energy Supply","Nuclear Power",1.49,1.24,1.57,2.26,2.95
"Share in Total Commercial Energy Supply","Renewable Energy",0.04,0.22,0.98,1.43,1.97
