-----
{
 "description": "This data provides details on financial results of Indian railways which includes gross traffic receipts, Working expenses, depreciation reserve fund, pension fund, net revenue etc from 2006-07 to 2012-2013.", 
 "file_name": "Financial_Position_of_the_Indian_Railways.xls", 
 "title": "Download XLS for Financial Position Of Indian Railways From 2006-07 to 2012-2013", 
 "url": "http://data.gov.in/sites/default/files/Financial_Position_of_the_Indian_Railways.xls"
}
-----
"Description (all figures in Rs. Crore at current prices)","Terminal year of 10th Plan 2006-07","2007-08","2008-09","2009-10","2010-11","2011-12 (RE)","2012-13 (BE)"
"Gross Traffic Receipts",62731.0,71720.0,79862.0,86964.0,94536.0,103917.0,132552.0
"Net Ordinary Working Expenses",37432.0,41033.0,54349.0,65810.0,68139.0,75650.0,84400.0
"Appropriation to Pension Fund",7416.0,7979.0,10490.0,14918.0,15820.0,16800.0,18500.0
"Appropriation to Depreciation Reserve Fund",4198.0,5450.0,7000.0,2187.0,5515.0,6160.0,9500.0
"Total Working Expenses",49047.0,54462.0,71839.0,82195.0,89474.0,98610.0,112400.0
"Net Revenue",14453.0,18334.0,9714.0,5544.0,6346.0,7144.0,22233.0
"Total Dividend Payable",4247.0,4903.0,4718.0,5543.0,4941.0,5652.0,6676.0
"Excess/Shortfall",10206.0,13431.0,4456.78,0.75,1405.0,1492.0,15557.0
"Operating Ratio (%)",78.7,75.9,90.5,95.3,94.6,95.0,85.0
"Ratio of Net Revenue to capital at charge and investment from capital fund (%)",19.0,20.71,8.8,4.51,4.4,4.43,12.1
