-----
{
 "description": "The table refers to block wise distribution of shallow tubewells according to social status . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.4.csv", 
 "title": "Download CSV for Block wise Distribution of Shallow Tubewells according to Social status for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.4.csv"
}
-----
State,District,Block,Scheduled caste,Scheduled tribe,Other social status of farmers,Total,Owned by other than individual farmers,Total
ANDHRA PRADESH,ADILABAD,ADILABAD,0,2,19,21,0,21
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,5,5,52,62,0,62
ANDHRA PRADESH,ADILABAD,BELA,2,2,20,24,0,24
ANDHRA PRADESH,ADILABAD,BHAINSA,66,9,970,1045,36,1081
ANDHRA PRADESH,ADILABAD,BOATH,29,112,541,682,0,682
ANDHRA PRADESH,ADILABAD,CHENNUR,0,0,4,4,0,4
ANDHRA PRADESH,ADILABAD,DAHEGAON,1,0,11,12,0,12
ANDHRA PRADESH,ADILABAD,DILAWARPUR,86,21,541,648,0,648
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,4,6,1,11,0,11
ANDHRA PRADESH,ADILABAD,ICHODA,11,43,157,211,0,211
ANDHRA PRADESH,ADILABAD,JAINAD,0,0,15,15,0,15
ANDHRA PRADESH,ADILABAD,JAINOOR,0,2,0,2,0,2
ANDHRA PRADESH,ADILABAD,JAIPUR,0,0,1,1,0,1
ANDHRA PRADESH,ADILABAD,KADDAM (PEDDUR),0,2,0,2,0,2
ANDHRA PRADESH,ADILABAD,KOTAPALLE,85,6,113,204,0,204
ANDHRA PRADESH,ADILABAD,KUBEER,15,13,400,428,0,428
ANDHRA PRADESH,ADILABAD,KUNTALA,62,24,650,736,0,736
ANDHRA PRADESH,ADILABAD,LAHESRA,137,72,785,994,10,1004
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,4,1,38,43,0,43
ANDHRA PRADESH,ADILABAD,MUDHOLE,119,93,738,950,0,950
ANDHRA PRADESH,ADILABAD,NARNOOR,0,1,0,1,0,1
ANDHRA PRADESH,ADILABAD,NENNAL,2,1,1,4,0,4
ANDHRA PRADESH,ADILABAD,NERADIGONDA,4,20,79,103,0,103
ANDHRA PRADESH,ADILABAD,NIRMAL,15,8,103,126,0,126
ANDHRA PRADESH,ADILABAD,SARANGAPUR,37,28,480,545,0,545
ANDHRA PRADESH,ADILABAD,SIRPUR (T),0,0,12,12,0,12
ANDHRA PRADESH,ADILABAD,TALAMADUGU,9,0,72,81,0,81
ANDHRA PRADESH,ADILABAD,TAMSI,1,0,54,55,0,55
ANDHRA PRADESH,ADILABAD,TANUR,3,1,193,197,0,197
ANDHRA PRADESH,ANANTHAPUR,AGALI,15,1,156,172,0,172
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,0,0,50,50,0,50
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,4,2,219,225,0,225
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,18,0,274,292,0,292
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,8,8,114,130,0,130
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,12,8,290,310,1,311
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,15,14,336,365,10,375
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,10,4,353,367,0,367
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,6,5,305,316,1,317
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,73,19,1003,1095,2,1097
ANDHRA PRADESH,ANANTHAPUR,CHENNEKOTHAPALLE,3,0,138,141,1,142
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,2,7,230,239,0,239
ANDHRA PRADESH,ANANTHAPUR,D.HIREHAL,12,8,710,730,2,732
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,4,4,224,232,0,232
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,2,2,33,37,0,37
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,39,23,680,742,16,758
ANDHRA PRADESH,ANANTHAPUR,GOOTY,4,3,246,253,0,253
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,3,12,192,207,0,207
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,4,1,171,176,0,176
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATA,17,0,446,463,1,464
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,4,15,185,204,9,213
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,12,2,541,555,3,558
ANDHRA PRADESH,ANANTHAPUR,KADIRI,0,4,113,117,1,118
ANDHRA PRADESH,ANANTHAPUR,KALYANDRUG,15,21,373,409,12,421
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,23,34,231,288,6,294
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,11,8,228,247,0,247
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,26,11,734,771,20,791
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,1,0,93,94,1,95
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,33,23,291,347,0,347
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,4,0,97,101,0,101
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,6,0,583,589,2,591
