-----
{
 "description": "This table provides details on capacity creation of Indian Railways during Eleventh Plan.", 
 "file_name": "Capacity_Creation_of_Indian_Railways.xls", 
 "title": "Download XLS for Capacity Creation Of Indian Railways During Eleventh Plan", 
 "url": "http://data.gov.in/sites/default/files/Capacity_Creation_of_Indian_Railways.xls"
}
-----
"Item","Tenth Plan","Eleventh Plan Target","Revised Target for Eleventh Plan during Mid Term Appraisal","Eleventh Plan Achieved","  Improvement over 10th Plan (Percentage)"
"New Lines ",920.0,2000.0,2000.0,2205.0,139.6
"Gauge Conversion ",4289.0,10000.0,6000.0,5290.0,23.4
"Doubling ",1300.0,6000.0,2500.0,2756.0,112.0
"Railway Electrification ",1810.0,3500.0,4500.0,4501.0,148.7
