-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 1993-94.", 
 "file_name": "JharkhandGSDPconst.csv", 
 "title": "Download CSV for Jharkhand Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/JharkhandGSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","316538","354950","337312","354613","354778","364264","424190","349273","427669","485671","509330","534142"
"Foresty and Logging","31271","33003","27061","23377","22471","21518","21818","74249","59351","35766","36304","36850"
"Fishing","19744","16916","24012","23061","19383","20919","22650","16103","23711","16173","4941","6946"
"Mining and Quarrying","284233","292575","281253","300085","339549","331440","332727","391074","340665","362624","372572","382793"
"Sub total of primary","651786","697444","669638","701136","736181","738141","801385","830699","851396","900234","923147","960731"
"Manufacturing","387604","405992","451083","348766","655925","691691","646632","459658","391538","650161","688706","729554"
"Registered","349792","363467","415547","310884","593578","656268","636132","407375","335890","595230","631448","669870"
"Unregistered","37812","42525","35536","37882","62347","35423","10500","52283","55648","54931","57258","59684"
"Construction","78321","70840","84359","94356","106614","116317","83670","204213","195124","163388","177297","192391"
"Electricity, Gas and water Supply","44667","44342","40012","39823","42076","41248","39889","59545","61019","45720","45838","45957"
"Sub total of secondary","510592","521174","575454","482945","804615","849256","770191","723416","647681","859269","911841","967902"
"Transport Storage and Communication","84075","88659","93049","95834","101916","102267","102965","109664","125861","134211","136676","149625"
"Railways","43051","43510","45195","46031","47471","38521","31419","47078","51566","58227","60214","62268"
"Transport by other means","31653","32747","34211","35814","38279","41533","42431","46070","47542","54035","52248","60639"
"Storage","588","583","670","644","656","713","592","648","1230","1342","1559","1811"
"Communication","8783","11819","12973","13345","15510","21500","28523","15868","25523","20607","22655","24907"
"Trade, hotels and restaurants","167186","164949","169808","131680","188457","246149","216801","226397","236419","202959","207379","211895"
"Banking and Insurance","28844","27269","31495","48112","54146","57988","84242","83506","90597","72322","80099","88712"
"Real estate, ownership of dwelling and business","53146","55465","57993","60733","64033","69078","76515","98519","116218","95971","102485","109440"
"Pubic Administration","51739","54425","52192","53338","58704","74319","80621","86807","121833","92895","99137","105797"
"Other Services","72074","78470","83233","87769","90382","81041","24562","20528","82247","82217","83429","84658"
"Sub total of tertiary","457064","469237","487770","477466","557638","630842","585706","625421","773175","680575","709205","750127"
"State domestic product","1619442","1687855","1732862","1661547","2098434","2218239","2157282","2179536","2272252","2440078","2544193","2678760"

"Figures are in Rs. Lakh"
