-----
{
 "description": "The table refers to Statewise Shallow Tubewells in the command of Major/Medium Projects and Supplimentary Irrigation. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltubeNat2.14.csv", 
 "title": "Download CSV for Statewise Shallow Tubewells in the command of Major/Medium Projects and Supplimentary Irrigation", 
 "url": "http://data.gov.in/sites/default/files/shltubeNat2.14.csv"
}
-----
"State","Location of Tubewell (Nos) - Inside Command","Location of Tubewell (Nos) - Outside Command","Total","Supplementary Irrigation (Ha) - Kharif","Supplementary Irrigation (Ha) - Rabi","Supplementary Irrigation (Ha) - Perennial","Supplementary Irrigation (Ha) - Others","Total"
"ANDHRA PRADESH",46147,610212,656359,46330,20663,6859,2346,76198
"ASSAM",1517,77147,78664,206,211,14,4,435
"BIHAR",73460,577923,651383,45858,37077,3159,1746,87840
"CHHATTISGARH",19102,67473,86575,12603,1087,10,247,13947
"GOA",1,29,30,0,0,1,0,1
"GUJARAT",12188,41007,53195,3702,75,52,11,3840
"HARYANA",127958,248394,376352,252894,270805,880,160,524739
"HIMACHAL PRADESH",45,2604,2649,25,15,1,0,41
"JAMMU & KASHMIR",953,420,1373,982,968,9,0,1959
"JHARKHAND",1034,90,1124,4,3,0,0,7
"KARNATAKA",27016,505332,532348,16139,5129,7801,3687,32756
"KERALA",130,4550,4680,30,30,39,23,122
"MADHYA PRADESH",18593,260431,279024,1341,11426,323,31,13121
"MAHARASHTRA",10107,49313,59420,841,1237,1119,91,3288
"MANIPUR",0,3,3,0,0,0,0,0
"MEGHALAYA",0,75,75,0,0,0,0,0
"NAGALAND",0,2,2,0,0,0,0,0
"ORISSA",998,42883,43881,1000,253,24,1,1278
"PUNJAB",350123,716994,1067117,468147,452989,3424,869,925429
"RAJASTHAN",12544,100312,112856,1585,2970,1,295,4851
"TAMIL NADU",34400,116850,151250,17368,11894,1087,513,30862
"TRIPURA",119,1059,1178,144,488,29,42,703
"UTTAR PRADESH",666145,2859398,3525543,339211,473314,154102,48429,1015056
"UTTARANCHAL",2001,50098,52099,541,516,744,10,1811
"WEST BENGAL",96093,507574,603667,11147,847,184,1668,13846
"CHANDIGARH",0,132,132,0,0,0,0,0
"DELHI",228,10116,10344,25,34,1,0,60
"PONDICHERRY",7,4363,4370,0,0,0,0,0
"ALL INDIA",1500909,6854784,8355693,1220123,1292031,179863,60173,2752190
