-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "AndamanNSDPcurrent.csv", 
 "title": "Download CSV for A &amp; N Islands Net State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/AndamanNSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003"
"Agriculture","12916","13600","14950","17246","17656","18218","17496","19551","24600","32485"
"Foresty and Logging","3703","3869","3821","3817","2592","2507","1868","3305","707","543"
"Fishing","3375","4485","5552","5305","7434","6152","6470","7551","7503","8313"
"Mining and Quarrying","103","111","455","41","2","9","288","505","1448","1001"
"Sub total of primary","20097","22065","24778","26409","27684","26886","26122","30912","34258","42342"
"Manufacturing","3848","5132","5153","7030","7188","4288","4317","1818","2263","2248"
"Manu-Registered","2457","3544","3137","4837","4738","1884","1895","564","266","175"
"Manu-Unregistered","1391","1588","2016","2193","2450","2404","2422","1254","1997","2073"
"Construction","5686","9513","9823","11126","14036","12110","16367","18405","21860","20065"
"Electricity, Gas and water Supply","-557","-992","-933","341","-459","-3141","-4058","-4646","-6195","-5840"
"Sub total of secondary","8977","13653","14043","18497","20765","13257","16626","15577","17928","16473"
"Transport Storage and Communication","2513","3697","2647","2607","3032","1292","2184","-3568","-4573","-2679"
"Railways","0","0","0","0","0","0","0","0","0","0"
"Transport by other means","2256","3383","2307","2228","2606","774","1680","-3738","-4777","-3451"
"Storage","0","0","0","0","0","0","0","0","0","0"
"Communication","257","314","340","379","426","518","504","170","204","772"
"Trade, hotels and restaurants","4866","5662","6811","8072","8799","9231","10128","8755","9190","8224"
"Banking and Insurance","713","744","955","1935","1392","1602","1639","1827","1997","2436"
"Real estate, ownership of dwelling and business","1625","1797","2065","2390","2701","3033","3534","4370","5441","6042"
"Pubic Administration","4342","4472","5206","6044","8754","11066","12388","13570","14478","14472"
"Other Services","3683","4367","4984","6058","8153","9203","12165","15241","14478","16697"
"Sub total of tertiary","17742","20739","22668","27106","32831","35427","42038","40195","41011","45192"
"State domestic product","46816","56457","61489","72012","81280","75569","84786","86683","93597","104007"

"Figures are in Rs. Lakh"
