-----
{
 "description": "The table refers to District wise Distribution of Shallow Tubewells according to Horse Power of Lifting Device. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwlstate3.9.csv", 
 "title": "Download CSV for Districtwise Distribution of Shallow Tubewells according to Horse Power of Lifting Device", 
 "url": "http://data.gov.in/sites/default/files/dptbwlstate3.9.csv"
}
-----
"State","District","Horse Power (0 - 6)","Horse Power (6 - 12)","Horse Power (12 - 18)","Horse Power ( > 18)","Total"
"PONDICHERRY","PONDICHERRY",1,45,197,66,309
"PUNJAB","AMRITSER",0,0,0,4,4
"PUNJAB","GURDASPUR",1822,90,21,75,2008
"PUNJAB","HOSHIARPUR",163,948,167,548,1826
"PUNJAB","KAPURTHALA",9,1,4,0,14
"PUNJAB","LUDHIANA",237,35,51,11,334
"PUNJAB","MOGA",2,99,0,0,101
"PUNJAB","NAWANSHAHAR",150,104,58,135,447
"PUNJAB","PATIALA",42,569,1249,345,2205
"PUNJAB","ROPAR",146,157,151,439,893
"PUNJAB","SANGRUR",1603,489,51,15,2158
"RAJASTHAN","AJMER",49,22,0,0,71
"RAJASTHAN","ALWAR",1,26,0,1,28
"RAJASTHAN","BANSWARA",153,41,0,0,194
"RAJASTHAN","BARAN",2710,6351,189,35,9285
"RAJASTHAN","BARMER",16,98,103,252,469
"RAJASTHAN","BHARATPUR",460,497,23,7,987
"RAJASTHAN","BHILWARA",100,147,0,0,247
"RAJASTHAN","BIKANER",16,2,23,2446,2487
"RAJASTHAN","BUNDI",1640,2307,46,10,4003
"RAJASTHAN","CHITTORGARH",2224,5065,109,50,7448
"RAJASTHAN","CHURU",14,18,83,1081,1196
"RAJASTHAN","DAUSA",0,15,0,0,15
"RAJASTHAN","DUNGARPUR",73,4,0,0,77
"RAJASTHAN","JAIPUR",6,134,0,1,141
"RAJASTHAN","JAISALMER",3,6,43,850,902
"RAJASTHAN","JALORE",31,499,269,275,1074
"RAJASTHAN","JHALAWAR",48,490,7,0,545
"RAJASTHAN","JHUNJHUNU",0,0,7,0,7
"RAJASTHAN","JODHPUR",160,1133,2024,10346,13663
"RAJASTHAN","KAROLI",82,211,128,14,435
"RAJASTHAN","KOTA",569,1252,30,4,1855
"RAJASTHAN","NAGAUR",268,104,1628,7060,9060
"RAJASTHAN","PALI",23,136,40,406,605
"RAJASTHAN","RAJSAMAND",93,36,1,0,130
"RAJASTHAN","SAWAI MADHOPUR",289,701,47,3,1040
"RAJASTHAN","SIKAR",0,10,72,23,105
"RAJASTHAN","SIROHI",14,47,12,0,73
"RAJASTHAN","TONK",1,131,124,0,256
"RAJASTHAN","UDAIPUR",250,114,0,2,366
"TAMIL NADU","COIMBATORE",15217,6119,563,74,21973
