-----
{
 "description": "The table refers to block wise construction of shallow tubewells over the years . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.1.csv", 
 "title": "Download CSV for Block wise Construction of Shallow Tubewells over the years for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.1.csv"
}
-----
State,District,Block,Upto 1986-87,During 1987-88,During 1988-89,During 1989-90,During 1990-91,During 1991-92,During 1992-93,During 1993-94,Total
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,0,0,0,12,44,19,29,81,185
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,9,10,9,17,10,30,23,37,145
ANDHRA PRADESH,ANANTHAPUR,NAMBULAPULIKUNTA,0,0,0,2,1,23,25,16,67
ANDHRA PRADESH,ANANTHAPUR,NARPALA,113,26,58,38,25,66,32,16,374
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,2,0,0,4,4,4,9,40,63
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,110,19,33,22,121,181,89,32,607
ANDHRA PRADESH,ANANTHAPUR,PARIGI,90,8,33,45,91,141,102,49,559
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,249,166,193,336,298,103,38,30,1413
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,65,25,10,31,39,35,41,31,277
ANDHRA PRADESH,ANANTHAPUR,PENUKONDA,17,3,20,79,34,34,24,24,235
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,22,21,58,34,69,130,114,139,587
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,1,2,3,5,11,22,21,56,121
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,4,4,21,50,70,17,16,5,187
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,192,48,43,91,48,38,30,16,506
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,56,20,41,47,103,128,86,33,514
ANDHRA PRADESH,ANANTHAPUR,RODDAM,236,19,67,55,81,82,65,59,664
ANDHRA PRADESH,ANANTHAPUR,ROLLA,3,11,6,1,2,10,34,25,92
ANDHRA PRADESH,ANANTHAPUR,SETTUR,6,0,0,0,0,5,58,30,99
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,108,28,27,77,56,167,57,23,543
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,26,10,19,76,28,103,63,23,348
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,0,11,89,118,68,62,30,0,378
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,390,62,54,112,47,48,41,20,774
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,7,6,12,19,6,11,10,9,80
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,25,4,32,15,17,30,59,34,216
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,13,24,30,24,17,12,7,5,132
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,3,2,5,9,16,14,15,19,83
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,15,6,3,6,5,2,4,0,41
ANDHRA PRADESH,ANANTHAPUR,YADIKI,51,226,74,57,45,61,7,5,526
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,29,42,68,205,170,80,48,27,669
ANDHRA PRADESH,CHITTOOR,B.KOTHAKOTA,30,17,26,43,38,41,62,19,276
ANDHRA PRADESH,CHITTOOR,BAIREDDIPALLE,29,0,1,17,3,4,12,8,74
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,9,2,2,9,5,11,11,10,59
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,218,12,36,30,12,55,31,19,413
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,55,1,2,18,2,2,2,13,95
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,16,0,10,23,20,74,2,3,148
ANDHRA PRADESH,CHITTOOR,CHITTOOR,8,0,4,4,6,5,0,0,27
ANDHRA PRADESH,CHITTOOR,CHOWDE[ALLE,2,3,25,42,22,33,18,11,156
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,43,23,25,0,1,3,0,0,95
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,18,8,7,6,7,17,10,4,77
ANDHRA PRADESH,CHITTOOR,GUDIPALA,7,0,0,3,9,11,14,28,72
ANDHRA PRADESH,CHITTOOR,GUDUPALLE,2,5,12,11,1,0,0,3,34
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,0,2,0,1,7,11,12,18,51
ANDHRA PRADESH,CHITTOOR,IRALA,12,4,3,5,13,40,29,11,117
ANDHRA PRADESH,CHITTOOR,K.V.B. PURAM,3,2,0,9,27,14,17,10,82
ANDHRA PRADESH,CHITTOOR,KALAKADA,2,0,0,0,10,20,50,108,190
ANDHRA PRADESH,CHITTOOR,KALIKIRI,96,7,13,10,6,10,31,26,199
ANDHRA PRADESH,CHITTOOR,KAMACHANDRA PURAM,40,3,2,33,57,18,2,1,156
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,10,5,8,15,6,28,12,24,108
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,1,0,1,14,6,2,0,11,35
ANDHRA PRADESH,CHITTOOR,KUPPAM,3,0,0,5,12,21,29,4,74
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,24,3,6,31,21,42,29,28,184
ANDHRA PRADESH,CHITTOOR,MADANAPALLE,29,10,14,28,92,64,34,29,300
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,2,1,4,6,7,33,24,29,106
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,61,7,4,16,14,5,8,6,121
ANDHRA PRADESH,CHITTOOR,NAGARI,87,60,98,17,42,25,18,23,370
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,13,29,35,2,8,12,31,5,135
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,17,3,2,4,15,25,30,52,148
