-----
{
 "description": "This data provides details on the total number of days each member signed the member's attendance register of session 7 of Lok Sabha 15 from 21st February 2011 to 25th March 2011.", 
 "file_name": "Attendance_of_the_Members_of_Lok_Sabha_15_Session_7.xls", 
 "title": "Download XLS for Attendance of the Members of Lok Sabha 15 for Session 7", 
 "url": "http://data.gov.in/sites/default/files/Attendance_of_the_Members_of_Lok_Sabha_15_Session_7.xls"
}
-----
"S.No.","Division/Seat No.","Name of Member","Lok Sabha","Session","State","Constituency","Total Sittings","No. of days member signed the register"
46.0,97.0,"Shri  P.  Viswanathan                                       ",15.0,7.0,"Tamil Nadu                                                  ","Kancheepuram",23.0,16.0
47.0,98.0,"Shri  Sheesh Ram  Ola                                               ",15.0,7.0,"Rajasthan                                                   ","Jhunjhunu",23.0,27.0
48.0,99.0,"Shri  T.R.  Baalu                                             ",15.0,7.0,"Tamil Nadu                                                  ","Sriperumbudur",23.0,14.0
49.0,100.0,"Shri  Vilasrao Baburao  Muttemwar                                         ",15.0,7.0,"Maharashtra                                                 ","Nagpur",23.0,23.0
50.0,101.0,"Shri  Manikrao Hodlya  Gavit                                             ",15.0,7.0,"Maharashtra                                                 ","Nandurbar",23.0,"M"
51.0,102.0,"Shri  Suresh  Kalmadi                                           ",15.0,7.0,"Maharashtra                                                 ","Pune",23.0,10.0
52.0,106.0,"Dr.    Chinta Mohan                                      ",15.0,7.0,"Andhra Pradesh                                              ","Tirupati",23.0,22.0
53.0,107.0,"Shri  Biren Singh  Engti                                             ",15.0,7.0,"Assam                                                       ","Autonomous District",23.0,19.0
54.0,108.0,"Dr.  Kavuri Samba Siva  Rao                                               ",15.0,7.0,"Andhra Pradesh                                              ","Eluru",23.0,26.0
55.0,110.0,"Shri  Jai Prakash  Agarwal                                           ",15.0,7.0,"Delhi                                                       ","North East Delhi",23.0,28.0
56.0,112.0,"Shri  Datta  Meghe                                             ",15.0,7.0,"Maharashtra                                                 ","Wardha",23.0,26.0
57.0,113.0,"Shri   Rayapati S.  Rao                                               ",15.0,7.0,"Andhra Pradesh                                              ","Guntur",23.0,12.0
58.0,114.0,"Shri  Raj  Babbar                                            ",15.0,7.0,"Uttar Pradesh                                               ","Salempur",23.0,21.0
59.0,115.0,"Dr.  Manda  Jagannath                                         ",15.0,7.0,"Andhra Pradesh                                              ","Nagarkurnool",23.0,24.0
60.0,116.0,"Shri  A. Venkatarami  Reddy                                             ",15.0,7.0,"Andhra Pradesh                                              ","Anantapur",23.0,18.0
61.0,117.0,"Shri  Somabhai Gandalal Koli  Patel                                             ",15.0,7.0,"Gujarat                                                     ","Surendranagar",23.0,23.0
62.0,118.0,"Shri  Avtar Singh  Bhadana                                           ",15.0,7.0,"Haryana                                                     ","Faridabad",23.0,16.0
63.0,119.0,"Shri  P.C.  Chacko                                            ",15.0,7.0,"Kerala                                                      ","Thrissur",23.0,28.0
64.0,120.0,"Dr.  Girija  Vyas                                              ",15.0,7.0,"Rajasthan                                                   ","Chittorgarh",23.0,27.0
65.0,121.0,"Shri  Inderjit Singh  Rao                                              ",15.0,7.0,"Haryana                                                     ","Gurgaon",23.0,28.0
66.0,123.0,"Shri  Sanjay  Nirupam                                           ",15.0,7.0,"Maharashtra                                                 ","Mumbai-North",23.0,25.0
67.0,124.0,"Shri  Dip  Gogoi                                             ",15.0,7.0,"Assam                                                       ","Kaliabor",23.0,21.0
68.0,126.0,"Shri  Francisco  Sardinha                                          ",15.0,7.0,"Goa                                                         ","South Goa",23.0,27.0
69.0,127.0,"Shri  Magunta Srinivasulu  Reddy                                             ",15.0,7.0,"Andhra Pradesh                                              ","Ongole",23.0,16.0
70.0,128.0,"Shri  N.S.V.  Chitthan                                          ",15.0,7.0,"Tamil Nadu                                                  ","Dindigul",23.0,25.0
71.0,129.0,"Dr.  Arvind Kumar  Sharma                                            ",15.0,7.0,"Haryana                                                     ","Karnal",23.0,17.0
72.0,130.0,"Dr.  Sanjay  Singh                                             ",15.0,7.0,"Uttar Pradesh                                               ","Sultanpur",23.0,18.0
73.0,131.0,"Shri  Jayant  Chaudhary                                         ",15.0,7.0,"Uttar Pradesh                                               ","Mathura",23.0,24.0
74.0,132.0,"Shri  Bhaskarrao  Patil  Khatgaonkar  ",15.0,7.0,"Maharashtra                                                 ","Nanded",23.0,24.0
75.0,133.0,"Shri  Deepender Singh  Hooda                                             ",15.0,7.0,"Haryana                                                     ","Rohtak",23.0,24.0
76.0,134.0,"Shri  Bhakta Charan  Das                                               ",15.0,7.0,"Orissa                                                      ","Kalahandi",23.0,27.0
77.0,135.0,"Shri  Tarachand  Bhagora                                           ",15.0,7.0,"Rajasthan                                                   ","Banswara",23.0,17.0
78.0,137.0,"Rajkumari  Ratna  Singh                                             ",15.0,7.0,"Uttar Pradesh                                               ","Pratapgarh",23.0,22.0
79.0,138.0,"Smt.  Priya  Dutt                                              ",15.0,7.0,"Maharashtra                                                 ","Mumbai-North-Central",23.0,22.0
80.0,139.0,"Smt.  Santosh  Chowdhary                                         ",15.0,7.0,"Punjab                                                      ","Hoshiarpur",23.0,24.0
81.0,140.0,"Sardar  Sukhdev  Singh    Libra                                    ",15.0,7.0,"Punjab                                                      ","Fategarh Sabhib",23.0,28.0
82.0,141.0,"Shri  Gajendra Singh  Rajukhedi                                         ",15.0,7.0,"Madhya Pradesh                                              ","Dhar",23.0,13.0
83.0,142.0,"Shri  Sanjay Singh  Chauhan                                           ",15.0,7.0,"Uttar Pradesh                                               ","Bijnor",23.0,28.0
84.0,143.0,"Shri  Anjan Kumar  Yadav. M                                          ",15.0,7.0,"Andhra Pradesh                                              ","Secunderabad",23.0,27.0
85.0,144.0,"Shri  Gutha  Sukender Reddy                                    ",15.0,7.0,"Andhra Pradesh                                              ","Nalgonda",23.0,24.0
86.0,145.0,"Shri  G.V.  Harsha Kumar                                      ",15.0,7.0,"Andhra Pradesh                                              ","Amalapuram",23.0,25.0
87.0,146.0,"Shri  Aruna Kumar  Vundavalli                                        ",15.0,7.0,"Andhra Pradesh                                              ","Rajahmundry",23.0,28.0
88.0,147.0,"Shri  S.P.Y.  Reddy                                             ",15.0,7.0,"Andhra Pradesh                                              ","Nandyal",23.0,3.0
89.0,148.0,"Shri  Lalit  Mohan  Suklabaidya                                       ",15.0,7.0,"Assam                                                       ","Karimganj",23.0,24.0
90.0,149.0,"Shri  Vikrambhai Arjanbhai  Maadam    Ahir                                    ",15.0,7.0,"Gujarat                                                     ","Jamnagar",23.0,23.0
91.0,150.0,"Shri    Lagadapati   Rajagopal                            ",15.0,7.0,"Andhra Pradesh                                              ","Vijayawada",23.0,27.0
92.0,151.0,"Smt.    Botcha Jhansi Lakshmi                             ",15.0,7.0,"Andhra Pradesh                                              ","Vizianagaram",23.0,27.0
93.0,152.0,"Smt.  Ingrid  Mcleod                                            ",15.0,7.0,"Chhattisgarh                                                ","Nominated Anglo-Indian",23.0,28.0
94.0,153.0,"Shri    Bapiraju  Kanumuru                                ",15.0,7.0,"Andhra Pradesh                                              ","Narsapuram",23.0,27.0
95.0,154.0,"Shri  Kishan V.  Patel                                             ",15.0,7.0,"Gujarat                                                     ","Valsad",23.0,28.0
96.0,155.0,"Shri  Eknath  Gaikwad                                           ",15.0,7.0,"Maharashtra                                                 ","Mumbai-South-Central",23.0,28.0
97.0,156.0,"Dr.  Thokchom  Meinya                                            ",15.0,7.0,"Manipur                                                     ","Inner Manipur",23.0,28.0
98.0,157.0,"Shri  M.  Krishnaswamy                                      ",15.0,7.0,"Tamil Nadu                                                  ","Arani",23.0,24.0
99.0,158.0,"Dr.  Nirmal  Khatri                                            ",15.0,7.0,"Uttar Pradesh                                               ","Faizabad",23.0,28.0
100.0,160.0,"Smt.  Shruti  Choudhry                                          ",15.0,7.0,"Haryana                                                     ","Bhiwani-Mahendragarh",23.0,25.0
101.0,161.0,"Dr.  Prabha Kishore  Taviad                                            ",15.0,7.0,"Gujarat                                                     ","Dahod",23.0,27.0
102.0,162.0,"Smt.  Rajesh Nandini  Singh                                             ",15.0,7.0,"Madhya Pradesh                                              ","Shahdol",23.0,28.0
103.0,163.0,"Ms.  Mausam  Noor                                              ",15.0,7.0,"West Bengal                                                 ","Maldaha Uttar",23.0,22.0
104.0,164.0,"Smt.  Sarika  D.S. Baghel                                       ",15.0,7.0,"Uttar Pradesh                                               ","Hathras",23.0,27.0
105.0,165.0,"Smt.  Annu  Tandon                                            ",15.0,7.0,"Uttar Pradesh                                               ","Unnao",23.0,26.0
106.0,166.0,"Smt.  Meenakshi  Natrajan                                          ",15.0,7.0,"Madhya Pradesh                                              ","Mandsour",23.0,27.0
107.0,167.0,"Dr.  Jyoti  Mirdha                                            ",15.0,7.0,"Rajasthan                                                   ","Nagaur",23.0,27.0
