-----
{
 "description": "This table gives an overview of the Physical Progress of PMGSY (as on 31 March, 2012)", 
 "file_name": "Financial_Data_PMGSY.xls", 
 "title": "Download XLS for Financial Progress of PMGSY (as on 31 March, 2012)", 
 "url": "http://data.gov.in/sites/default/files/Financial_Data_PMGSY.xls"
}
-----
"Value of Proposals Sanctioned","Funds released","Expenditure incurred"
127786.0,100417.0,91498.0
