-----
{
 "description": "The table shows the Observation of the investigator about cleanliness of the AWC (% AWC). The investigator observed a number of factors to assess the overall cleanliness of the AWC such as the cleanliness of water storage containers, state of building and equipment, toilets, utensils for food ...", 
 "file_name": "ICDS_Table6.40.xls", 
 "title": "Download XLS for Observation of the Investigator about Cleanliness of the AWC (% AWC)", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table6.40.xls"
}
-----
"States/UTs  ","Very clean","Satisfactory","Unclean/ Unhygienic"
"Andhra Pradesh",43.9,43.7,12.4
"Assam",5.8,84.6,9.6
"Bihar",7.8,77.4,14.8
"Chhattisgarh",63.9,33.0,3.1
"Gujarat",56.6,32.4,11.0
"Haryana",59.1,40.9,0.0
"Himachal Pradesh",57.6,42.4,0.0
"Jammu and Kashmir",24.1,74.1,1.8
"Jharkhand",17.5,62.6,19.9
"Karnataka",37.4,57.9,4.7
"Kerala",75.7,19.4,4.9
"Madhya Pradesh",15.6,79.1,5.3
"Maharashtra",45.0,50.7,4.3
"Orissa",38.8,55.8,5.4
"Punjab",16.2,80.5,3.4
"Rajasthan",33.9,53.5,12.6
"Tamil Nadu",61.4,27.5,11.1
"Uttar Pradesh",21.4,73.8,4.8
"Uttrakhand",54.6,45.4,0.0
"West Bengal",11.0,60.9,28.1
"Delhi",49.2,50.8,0.0
"Chandigarh",20.0,80.0,0.0
"Arunachal Pradesh",3.1,30.8,66.1
"Manipur",76.0,20.0,4.0
"Meghalaya",13.5,86.5,0.0
"Mizoram",0.0,100.0,0.0
"Nagaland",4.9,83.8,11.3
"Tripura",0.0,96.7,3.3
"Sikkim",48.7,37.0,14.3
"Dadar & Nagar Haveli",100.0,0.0,0.0
"Daman & Diu",100.0,0.0,0.0
"Goa",0.0,80.0,20.0
"Puducherry",60.0,40.0,0.0
"Andaman & Nicobar Island",40.0,37.6,22.4
"All India",32.0,58.4,9.6
