-----
{
 "description": "The table refers to District wise Distribution of Shallow Tubewells according to The Farmers holding size. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.3.csv", 
 "title": "Download CSV for Districtwise Distribution of Shallow Tubewells according to The Farmers holding size", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.3.csv"
}
-----
"State","District","Marginal (0-1 ha)","Small (1-2 ha)","Medium (2-10 ha)","Big ( > 10 ha)","Total"
"ANDHRA PRADESH","ADILABAD",5365,5910,3830,73,15178
"ANDHRA PRADESH","ANANTHAPUR",4450,10283,17837,1235,33805
"ANDHRA PRADESH","CHITTOOR",5935,8520,4471,83,19009
"ANDHRA PRADESH","CUDDAPAH",4204,6771,5868,176,17019
"ANDHRA PRADESH","EAST GODAVARI",11850,6721,4721,103,23395
"ANDHRA PRADESH","GUNTUR",9305,6018,3769,52,19144
"ANDHRA PRADESH","KARIMNAGAR",7523,7075,2736,71,17405
"ANDHRA PRADESH","KHAMMAM",1783,3361,2383,70,7597
"ANDHRA PRADESH","KRISHNA",5287,5208,4410,135,15040
"ANDHRA PRADESH","KURNOOL",3425,4443,7388,644,15900
"ANDHRA PRADESH","MAHABOOBNAGAR",19212,27862,27101,2423,76598
"ANDHRA PRADESH","MEDAK",47361,28463,12020,543,88387
"ANDHRA PRADESH","NALGONDA",14026,16543,23798,1089,55456
"ANDHRA PRADESH","NELLORE",10250,12387,7125,200,29962
"ANDHRA PRADESH","NIZAMABAD",39090,43315,13980,306,96691
"ANDHRA PRADESH","PRAKASAM",3569,7569,10332,168,21638
"ANDHRA PRADESH","RANGAREDDY",12852,12267,10124,617,35860
"ANDHRA PRADESH","SRIKAKULAM",2464,2251,1469,149,6333
"ANDHRA PRADESH","VISAKHAPATNAM",176,7129,81,1,7387
"ANDHRA PRADESH","VIZIANAGARAM",1155,2608,1714,46,5523
"ANDHRA PRADESH","WARANGAL",10098,12276,6313,272,28959
"ANDHRA PRADESH","WEST GODAVARI",3864,3749,8062,194,15869
"ASSAM","BARPETA",2669,5243,1857,13,9782
"ASSAM","BONGAIGAON",2954,2777,526,16,6273
"ASSAM","DARRANG",1843,2238,1688,101,5870
"ASSAM","DHEMAJI",296,690,86,30,1102
"ASSAM","DHUBRI",5946,2975,854,31,9806
"ASSAM","DIBRUGARH",759,2538,791,80,4168
"ASSAM","GOALPARA",1401,790,349,12,2552
"ASSAM","GOLAGHAT",1074,1333,792,22,3221
"ASSAM","HAILAKANDI",0,0,0,0,0
"ASSAM","JORHAT",207,781,489,227,1704
"ASSAM","KAMRUP",3829,1732,1350,55,6966
"ASSAM","KARBIANGLONG",0,65,0,0,65
"ASSAM","KARIMGANJ",4,0,0,0,4
"ASSAM","KOKRAJHAR",1562,785,122,2,2471
"ASSAM","LAKHIMPUR",240,422,310,105,1077
"ASSAM","MORIGAON",1234,1641,2484,118,5477
"ASSAM","NAGOAN",1192,3623,1791,52,6658
"ASSAM","NALBARI",726,1370,1085,129,3310
"ASSAM","SIBSAGAR",794,940,270,36,2040
"ASSAM","SONITPUR",1158,831,703,16,2708
"ASSAM","TINSUKIA",870,976,412,7,2265
"BIHAR","ARARIA",3183,5194,4826,449,13652
"BIHAR","AURANGABAD",2041,3307,2927,304,8579
"BIHAR","BANKA",1947,2441,1076,42,5506
"BIHAR","BEGUSARAI",9009,7903,3528,650,21090
"BIHAR","BHAGALPUR",4992,4127,2576,201,11896
"BIHAR","BHOJPUR",6453,7588,4046,205,18292
"BIHAR","BUXAR",4063,5112,4083,524,13782
"BIHAR","DARBHANGA",3960,5373,2941,295,12569
"BIHAR","EAST CHAMPARAN",11505,14657,7778,962,34902
"BIHAR","GAYA",9641,9419,5302,271,24633
"BIHAR","GOPAALGANJ",9450,8355,3149,284,21238
"BIHAR","JAMUI",977,1748,1156,77,3958
"BIHAR","JEHANABAD",7389,8414,3761,230,19794
"BIHAR","KAIMUR (BHABUA)",2860,4433,4705,665,12663
"BIHAR","KATIHAR",10002,14232,8727,1186,34147
"BIHAR","KHAGARIA",5502,5334,2808,436,14080
"BIHAR","KISHANGANJ",3245,4694,2289,204,10432
"BIHAR","LAKHISARAI",3001,2765,1272,97,7135
"BIHAR","MADHEPURA",4255,8008,4561,834,17658
"BIHAR","MADHUBANI",6893,5550,2588,293,15324
"BIHAR","MUNGER",1205,1352,684,39,3280
"BIHAR","MUZAFFARPUR",10945,13826,8588,1252,34611
"BIHAR","NALANDA",8290,8812,3705,214,21021
"BIHAR","NAWADA",10547,4813,1969,131,17460
"BIHAR","PATNA",11225,11007,5023,651,27906
"BIHAR","PURNIA",7360,9372,4899,806,22437
"BIHAR","ROHTAS(SASARAM)",6001,7350,7015,508,20874
"BIHAR","SAHARSA",2933,4360,3861,630,11784
"BIHAR","SAMASTIPUR",12943,12607,5065,812,31427
"BIHAR","SARAN",12386,7477,2834,275,22972
"BIHAR","SHEKHPURA",1377,2112,1115,132,4736
"BIHAR","SHEOHAR",1608,2539,1799,284,6230
"BIHAR","SITAMARHI",6887,7260,3638,507,18292
"BIHAR","SIWAN",13760,10872,3765,246,28643
"BIHAR","SUPAUL",4241,6227,3483,289,14240
"BIHAR","VAISHALI",11665,9767,3446,388,25266
"BIHAR","WEST CHAMPARAN",4365,7252,5231,1000,17848
"CHANDIGARH","UT CHANDIGARH",17,66,48,1,132
"CHHATTISGARH","BASTER",70,100,87,68,325
"CHHATTISGARH","BILASPUR",374,878,2088,188,3528
"CHHATTISGARH","DANTEWADA",2,4,19,3,28
"CHHATTISGARH","DHAMTARI",2379,3141,2918,262,8700
"CHHATTISGARH","DURG",2434,4106,6991,950,14481
"CHHATTISGARH","JANJGIR-CHAMPA",250,410,937,123,1720
"CHHATTISGARH","JASHPUR",2,2,10,0,14
"CHHATTISGARH","KANKER",115,254,491,67,927
"CHHATTISGARH","KORBA",13,9,21,2,45
"CHHATTISGARH","KORIA",2,2,6,3,13
"CHHATTISGARH","KVARDHA",285,425,1334,308,2352
"CHHATTISGARH","MAHASAMUND",222,483,1461,292,2458
"CHHATTISGARH","RAIGARH",218,482,1228,240,2168
"CHHATTISGARH","RAIPUR",1083,1747,3102,1251,7183
