-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 1993-94.", 
 "file_name": "KarnatakaGSDPconst.csv", 
 "title": "Download CSV for Karnataka Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/KarnatakaGSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","1353617","1335954","1365821","1421977","1383156","1565283","1719189","1939351","1627825","1490619","1254398","1457016"
"Foresty and Logging","91376","100639","98116","111305","103441","105025","101773","102166","108720","103311","102878","105403"
"Fishing","16316","18301","23776","24647","25135","22436","24899","26230","22478","29909","27614","26470"
"Mining and Quarrying","30837","32644","33091","36988","46947","35399","40913","44163","51899","56827","66932","75222"
"Sub total of primary","1492146","1487538","1520804","1594917","1558679","1728143","1886774","2111910","1810922","1680666","1451822","1664111"
"Manufacturing","733822","821135","853910","932032","1051137","1239966","1113637","1145954","1281426","1374880","1561460","1660621"
"Registered","451766","520795","540839","593213","690300","850842","701923","692045","810520","879045","1043149","1112658"
"Unregistered","282056","300340","313071","338819","360837","389124","411714","453909","470906","495835","518311","547963"
"Construction","209088","199735","242175","276489","338653","404642","453999","468322","503594","551875","559102","560820"
"Electricity, Gas and water Supply","100636","113449","114588","115847","121234","144725","140369","160658","177253","171323","168613","176995"
"Sub total of secondary","1043546","1134319","1210673","1324368","1511024","1789333","1708005","1774934","1962273","2098078","2289175","2398436"
"Transport Storage and Communication","187704","206254","238650","287053","315636","355125","419338","471242","497778","564060","657911","769892"
"Railways","12531","13434","15234","24808","15026","17015","19877","23834","29301","32516","34603","37109"
"Transport by other means","103000","108682","118773","137505","150996","173113","181930","192719","200120","212538","228066","250484"
"Storage","698","769","910","965","1101","1204","1331","1426","1702","1705","1863","1488"
"Communication","71475","83369","103733","123775","148513","163793","216200","253263","266655","317301","393379","480811"
"Trade, hotels and restaurants","449167","517241","568488","669286","693962","812736","807547","926894","1009029","1070552","1133054","1236136"
"Banking and Insurance","197580","231054","260318","283842","337363","337092","392347","438900","483293","574462","617241","662182"
"Real estate, ownership of dwelling and business","283649","296089","312084","328114","349792","376790","415381","460597","497028","523040","628487","749328"
"Pubic Administration","180700","179466","197276","202160","220330","228817","256630","253358","262895","264390","278629","281054"
"Other Services","273413","286732","308387","340480","390997","433927","499089","546865","588985","645320","720755","811267"
"Sub total of tertiary","1572213","1716836","1885203","2110935","2308080","2544487","2790332","3097856","3339008","3641824","4036077","4509859"
"State domestic product","4107905","4338693","4616681","5030220","5377782","6061964","6385110","6984700","7112203","7420568","7777074","8572406"

"Figures are in Rs. Lakh"
