-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "ManipurNSDPcurrent.csv", 
 "title": "Download CSV for Manipur Net State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/ManipurNSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","35599","36692","43884","53044","58673","63045","68504","75044","79343","83056","87086","89523"
"Foresty and Logging","4041","4045","3577","3498","8561","9696","5135","5582","5830","5991","6153","6320"
"Fishing","3587","4125","4402","4422","4796","5373","6131","7622","8378","8951","9316","9696"
"Mining and Quarrying","4","4","3","-1","1","0","0","0","0","0","0","0"
"Sub total of primary","43231","44866","51866","60963","72031","78114","79770","88248","93551","97998","102555","105539"
"Manufacturing","8437","9006","10293","11515","12244","14321","17022","15413","19753","20552","23201","25839"
"Registered","218","279","400","590","305","242","128","189","274","431","456","483"
"Unregistered","8219","8727","9893","10925","11939","14079","16894","15224","19479","20121","22745","25356"
"Construction","8343","9912","13917","18403","20470","20519","27711","19196","30265","37397","40065","48635"
"Electricity, Gas and water Supply","1170","36","-1330","-2461","-2982","749","2380","2256","268","-6545","493","518"
"Sub total of secondary","17950","18954","22880","27457","29732","35589","47113","36865","50286","51404","63759","74992"
"Transport Storage and Communication","3910","4343","4645","5328","5882","6952","7596","9154","11063","12970","14474","16092"
"Railways","0","0","0","0","0","1","1","1","1","1","1","1"
"Transport by other means","3308","3700","3894","4552","5063","6162","6954","7610","8492","8680","8847","9836"
"Storage","6","9","12","12","14","9","9","10","11","11","11","12"
"Communication","596","634","739","764","805","780","632","1533","2559","4278","5615","6243"
"Trade, hotels and restaurants","13899","15301","16583","18312","21389","27709","25368","26940","37837","40158","42600","47320"
"Banking and Insurance","1907","1604","1953","2636","2683","2934","3178","3538","5473","6581","7145","8828"
"Real estate, ownership of dwelling and business","4034","4348","4651","4795","5472","6763","6517","7409","8440","9133","9923","10722"
"Pubic Administration","15574","17788","21015","25095","27483","29451","41831","41379","48821","46009","48515","54967"
"Other Services","13639","14870","17399","20848","23479","25009","35254","38180","39262","41113","43367","49525"
"Sub total of tertiary","52963","58254","66246","77014","86388","98818","119744","126600","150896","155964","166024","187454"
"State domestic product","114144","122074","140992","165434","188151","212521","246627","251713","294733","305366","332338","367985"

"Figures are in Rs. Lakh"
