-----
{
 "description": "The table refers to block wise distribution of shallow tubewells according to the farmers holding size . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.3.csv", 
 "title": "Download CSV for Block wise Distribution of Shallow Tubewells according to The Farmers holding size for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.3.csv"
}
-----
State,District,Block,Marginal (0-1 ha),Small (1-2 ha),Medium (2-10 ha),Big ( > 10 ha),Total
ANDHRA PRADESH,ADILABAD,ADILABAD,0,13,8,0,21
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,5,26,31,0,62
ANDHRA PRADESH,ADILABAD,BELA,4,8,12,0,24
ANDHRA PRADESH,ADILABAD,BHAINSA,96,379,544,26,1045
ANDHRA PRADESH,ADILABAD,BOATH,120,264,297,1,682
ANDHRA PRADESH,ADILABAD,CHENNUR,0,1,3,0,4
ANDHRA PRADESH,ADILABAD,DAHEGAON,5,4,2,1,12
ANDHRA PRADESH,ADILABAD,DILAWARPUR,251,276,121,0,648
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,1,8,2,0,11
ANDHRA PRADESH,ADILABAD,ICHODA,19,86,99,7,211
ANDHRA PRADESH,ADILABAD,JAINAD,3,3,9,0,15
ANDHRA PRADESH,ADILABAD,JAINOOR,0,2,0,0,2
ANDHRA PRADESH,ADILABAD,JAIPUR,0,0,1,0,1
ANDHRA PRADESH,ADILABAD,KADDAM (PEDDUR),1,1,0,0,2
ANDHRA PRADESH,ADILABAD,KOTAPALLE,41,87,70,6,204
ANDHRA PRADESH,ADILABAD,KUBEER,66,175,178,9,428
ANDHRA PRADESH,ADILABAD,KUNTALA,116,267,348,5,736
ANDHRA PRADESH,ADILABAD,LAHESRA,144,439,403,8,994
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,8,27,8,0,43
ANDHRA PRADESH,ADILABAD,MUDHOLE,148,392,371,39,950
ANDHRA PRADESH,ADILABAD,NARNOOR,0,0,1,0,1
ANDHRA PRADESH,ADILABAD,NENNAL,0,0,0,4,4
ANDHRA PRADESH,ADILABAD,NERADIGONDA,15,54,34,0,103
ANDHRA PRADESH,ADILABAD,NIRMAL,17,54,53,2,126
ANDHRA PRADESH,ADILABAD,SARANGAPUR,217,185,141,2,545
ANDHRA PRADESH,ADILABAD,SIRPUR (T),1,6,5,0,12
ANDHRA PRADESH,ADILABAD,TALAMADUGU,17,27,37,0,81
ANDHRA PRADESH,ADILABAD,TAMSI,4,32,19,0,55
ANDHRA PRADESH,ADILABAD,TANUR,24,58,107,8,197
ANDHRA PRADESH,ANANTHAPUR,AGALI,3,99,69,1,172
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,3,5,37,5,50
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,10,73,97,45,225
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,101,76,105,10,292
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,0,41,74,15,130
