-----
{
 "description": "The table refers to Statewise Distribution of Surface Flow Schemes according to source of Finance. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowNat4.7.csv", 
 "title": "Download CSV for Statewise Distribution of Surface Flow Schemes according to source of Finance", 
 "url": "http://data.gov.in/sites/default/files/srfcflowNat4.7.csv"
}
-----
"State","Government Funds","Farmers saving","Loan and Saving","Subsidy and Bank loan","Subsidy only","Others","Total"
"ANDHRA PRADESH",73356,2161,797,638,1086,4405,82443
"ARUNACHAL PRADESH",1901,1677,24,9,215,127,3953
"ASSAM",1167,523,102,129,231,54,2206
"BIHAR",10150,1886,1449,6883,1657,176,22201
"CHHATTISGARH",37460,3903,403,389,6793,2501,51449
"GOA",659,1860,29,16,46,1251,3861
"GUJARAT",14678,1169,153,917,449,1360,18726
"HARYANA",62,561,56,1,44,47,771
"HIMACHAL PRADESH",830,4231,95,72,142,8559,13929
"JAMMU & KASHMIR",1666,1776,179,307,234,1701,5863
"JHARKHAND",16698,4612,1165,14700,5861,192,43228
"KARNATAKA",17096,4078,1690,1768,1475,4666,30773
"KERALA",6558,2503,440,436,339,681,10957
"MADHYA PRADESH",34071,13098,1284,1130,1384,5757,56724
"MAHARASHTRA",22011,6192,3085,22523,11469,2421,67701
"MANIPUR",0,28,0,2,282,0,312
"MEGHALAYA",634,11209,10,1,510,50,12414
"MIZORAM",832,5738,12,426,506,188,7702
"NAGALAN D",1194,11963,235,275,5609,670,19946
"ORISSA",19536,3869,501,2434,1613,350,28303
"PUNJAB",1613,326,36,4,0,7,1986
"RAJASTHAN",2005,801,38,28,85,148,3105
"SIKKIM",1073,0,3,0,0,0,1076
"TAMIL NADU",37462,2511,644,915,2183,1884,45599
"TRIPURA",425,227,19,73,101,91,936
"UTTAR PRADESH",3322,1310,427,242,491,507,6299
"UTTARANCHAL",13044,2579,314,1465,6861,1263,25526
"WEST BENGAL",7504,35982,758,545,3480,5512,53781
"DADRA & NAGAR HAVELI",28,4,1,13,0,0,46
"DELHI",0,55,0,0,0,0,55
"PONDICHERRY",16419,3081,55,587,0,0,20142
"ALL INDIA",343454,129913,14004,56928,53146,44568,642013
