-----
{
 "description": "This dataset contains the list of horticultural crops varieties that have been released and notified (central release) during the years 2005-2009. The horticultural crops include fruit crops, vegetable crops, tuber crops, floricultural crops, spices, medicinal and aromatic plant, plantation crops ...", 
 "file_name": "Horticultural_Crops_Varieties_Central_Released_2005-09.xls", 
 "title": "Download XLS for Horticultural Crops Varieties Central Release (2005-09)", 
 "url": "http://data.gov.in/sites/default/files/Horticultural_Crops_Varieties_Central_Released_2005-09.xls"
}
-----
"Crops ","Variety Name","Year ","Remarks/ Development By ","State"
"Banana","Udhayam",2005.0,"Released by NRC for banana","Trichy"
"Guava","Shweta",2005.0,"Released by CISH","Lucknow"
"Citrus- Acid- Lime","Khagzi lime clone-PDKV",2006.0,"Released under AICRP on Tropical Fruits","NA"
"Citrus- Acid- Lime","Balaji",2006.0,"Released under AICRP on Tropical Fruits","NA"
"Grape","Clonal Selection A- 17/3",2006.0,"Released by NRC for Grapes","Pune"
"Grape","Manjari naveen, Red Globe",2008.0,"Released by NRC for Grapes","Pune"
"Ber","Thar Sevika",2006.0,"Released by CIAH","Bikaner"
"Ber","Thar Bhubharaj",2007.0,"Released by CIAH","Bikaner"
"Aonla","Goma Aishwarya",2006.0,"Released by CIAH","Bikaner"
"Apple","Sweet Red, Satai Gold",2007.0,"Released by Dr YSPUHF","Solan"
"Apple","Shalimar Apple- 1, Shalimar Apple-2",2008.0,"Released by Dr YSPUHF","Solan"
"Apricot","EMA Selection",2007.0,"Released by Dr YSPUHF","Solan"
"Nectarine","Silver King",2007.0,"Released by Dr YSPUHF","Solan"
"Walnut","Sarwari, K-12, KN-5, SH-23, SR-11",2007.0,"Released by Dr YSPUHF","Solan"
"Brinjal","Kashi Prakash (IVBR-i)",2005.0,"NA","Punjab, UP, Bihar, West Bengal"
"Brinjal","Swarna Shobha (HABR-4)",2005.0,"NA","Jharkhand, Bihar, UP, Punjab, Gujarat"
"Cauliflower","Kashi Kuwari (IVCE-2)",2005.0,"NA","UP, Bihar, Delhi"
"Chilli","Arka Suphal (PMR 57/88 K)",2005.0,"NA","Tamil Nadu, Karnataka, Kerala"
"Chilli","Gujarat Veg. Chilli-101 (Anand Jyot 101)",2005.0,"NA","Maharashtra, Gujarat"
"Chilli","Kashi Anmol (KA-2)",2005.0,"NA","UP, Uttarakhand, Orissa, Karnataka, Tamil Nadu"
"Chilli","Prasanth (LCA-334)",2005.0,"NA","Maharashtra, UP, Bihar, Punjab, Orissa, Andhra Pradesh, MP"
"Chilli","Arka sweta, Arka Meghana",2007.0,"Released by IIHR","Bangalore"
"Cowpea","Kashi Shyamal (IVRCP-1)",2005.0,"NA","UP, Bihar, MP, Jharkhand, Chhattisgarh, Orissa, West Bengal"
"Garlic","Jamun Safed – 4(G-323)",2005.0,"NA","Karnataka, Tamil Nadu, Andhra Pradesh, Maharashtra"
"Okra","Kashi Pragati (VRO-6)",2005.0,"NA","Uttarakhand, UP, Punjab, Karnataka"
"Okra","Kashi Vibhuti (VRO-5)",2005.0,"NA","UP, MP, Punjab, Maharashtra, Bihar"
"Okra Hybrid","HBH-142",2005.0,"NA","Uttarakhand, UP, HP, Jharkhand, Karnatka"
"Okra Hybrid","Kashi Bhairo (DVR-3)",2005.0,"NA","Punjab, UP, Jharkhand"
"Pea","Kashi Nandini (VRP-5)",2005.0,"Released by IIHR","Bangalore"
"Pea","Narendra Subzi Matar-6",2005.0,"NA","NA"
"Garden pea","Arka Karthik, Arka Sampoorna",2007.0,"NA","NA"
"Pumpkin","NDPK-24",2005.0,"NA","UP, Punjab, Delhi, Bihar, Haryana, Gujarat"
"Sponge gourd","Gujarat Sponge Gourd – 1 (JSGL-55)",2005.0,"NA","Gujarat, Maharashtra, MP"
"Sponge gourd","Swarna Prabha (CHSG-1)",2005.0,"NA","UP, Bihar, Jharkhand"
"Tomato","Kashi Anupam (DVRT-2)",2005.0,"NA","NA"
"Tomato","Kashi Hemant (IIVR Sel-1)",2005.0,"NA","M.P, Maharashtra, UP"
"Tomato","Kashi Sharad (IIVR Sel-2)",2005.0,"NA","J&K, HP, Uttarakhand"
"Tomato","Kashi Vishesh (H-86)",2005.0,"NA","UP, West Bengal, Assam, HP, Maharashtra"
"Tomato hyb.","Arka Anaya (TLBRH-9)",2005.0,"NA","Punjab, UP, Delhi"
"Carrot","Arka Suraj",2007.0,"Released by IIHR","Bangalore"
"Watermelon","Thar Manak",2007.0,"Released by CIAH","Bikaner"
"Bottle gourd","Thar Samridhi",2007.0,"Released by CIAH","Bikaner"
"Khejri","Thar Shobha",2007.0,"Released by CIAH","Bikaner"
"French bean","Arka Anoop",2008.0,"Released by IIHR","Bangalore"
"Potato","Kufri Surya",2005.0,"North Indian plains & warmer areas","NA"
"Potato","Kufri Chiposona-3",2005.0,"Indo-Gangentic plains, Kota & Indore regions","Kota & Indore"
"Potato","Kufri Himalini",2005.0,"North western & north eastern hills","NA"
"Potato","Kufri Himsona, Kufri, Sadabahar, Kufri Girdhari, Kufri Khyati",2008.0,"Released by CPRI","Shimla"
"Sweet Potato","Goutam",2005.0,"Suitable for uplands & hilly areas of Orissa State. Duration: 105-110 days","Orissa"
"Sweet Potato","Sourin",2005.0,"Suitable for rainfed & irrigated condition of Orissa State. Duration : 105-110 days","Orissa"
"Sweet Potato","Kishan",2005.0,"High starch variety suitable for sandy loam & black sandy soils. Duration: 110-120 days","NA"
"Sweet Potato","Bidhan Jagannath (90/101)",2005.0,"NA","West Bengal"
"Sweet Potato","Birsa Sakarkand - 1 (90-704)",2005.0,"NA","West Bengal"
"Sweet Potato","Indira Sakarkand – 1 (IB-90-15-9)",2005.0,"NA","Chhattisgarh"
"Sweet Potato","NDSP- 10",2005.0,"NA","Uttar Pradesh"
"Sweet Potato","Sree Kanaka (80/168)",2005.0,"NA","Kerala"
"Sweet Potato","ISGP-4",2006.0,"NA","Maharashtra and Chhattisgarh"
"Sweet Potato","IGSP-17",2006.0,"NA","Chhattisgarh"
"Sweet Potato","RNSP-3",2006.0,"NA","Andhra Pradesh"
"Yams","Orissa Elite",2005.0,"Field tolerant to leaf spot, scales and mealy bugs. Duration: 6-7 months","NA"
"Greater yam","Sree Karthika (DA-199)",2005.0,"NA","Kerala"
"NA","Orissa Elite",2005.0,"NA","Orissa"
"Elephant foot yam","NDA-9",2006.0,"NA","Uttar Pradesh"
"Aroids","Pani Saru-1",2005.0,"Suitable for water logged/ submerged Condition of Orissa State. Duration: 6-7 months","Orissa"
"Aroids","Pani Saru-2",2005.0,"Suitable for water logged/ submerged Condition of Orissa State. Duration: 6-7 months","Orissa"
"Aroids","Sree Anthira",2006.0,"First genetically improved elephant yam variety. Duration: 9-10 months","NA"
"Arvi","Ahinakatchu",2005.0,"NA","Assam"
"Arvi","Indira Arvi – 1 (BKCOL-2)",2005.0,"NA","Chattisgarh"
"Arvi","Kadma Arvi",2005.0,"NA","Jharkhand"
"Arvi","Sree Kiran (H-4)",2005.0,"NA","Kerala"
"Arvi","PKS-1",2006.0,"NA","Uttar Pradesh"
"Arvi","RNCA-1",2006.0,"NA","Andhra Pradesh"
"Arvi","BKCOL-2",2006.0,"NA","Assam"
"Arvi","Sonajuli and Jhankri",2006.0,"NA","Orissa"
"Cassava","Sree Jaya and Sree Prakash",2006.0,"NA","Andhra Pradesh"
"Cassava","Sree Vijaya",2006.0,"NA","Assam and Jharkhand"
"Cassava","NDB-3",2006.0,"NA","Uttar Pradesh"
"Cassava","NDB-21",2006.0,"NA","Uttar Pradesh"
"Tuberose","Phule Rajani",2005.0,"MPKV","Pune"
"Chrysanthemum","Anmol",2006.0,"PAU","Ludhiana"
"Chrysanthemum","Royal Purple",2006.0,"PAU","Ludhiana"
"Chrysanthemum","Royal Purple",2006.0,"PAU","Ludhiana"
"Chrysanthemum","Yellow Delight",2006.0,"PAU","Ludhiana"
"Chrysanthemum","Garden Beauty",2006.0,"PAU","Ludhiana"
"Chrysanthemum","Winter Queen",2006.0,"PAU","Ludhiana"
"Chrysanthemum","Autumm Joy",2006.0,"PAU","Ludhiana"
"Chrysanthemum","Mini Queen",2006.0,"NBRI","Lucknow"
"Chrysanthemum","Rangoli",2006.0,"NBRI","Lucknow"
"Gladiolus","Urvashi",2006.0,"NBRI","Lucknow"
"Gladiolus","Neelima",2006.0,"NBRI","Lucknow"
"Carnation","Arka flame",2008.0,"IIHR","Bangalore"
"Small Cardamom","ICRI-5 (MHC-26)",2006.0,"ICRI","Myladumpara"
"Small Cardamom","ICRI-6 (MCC-73)",2006.0,"ICRI","Myladumpara"
"Coriander","RCr-480 (UD-480)",2006.0,"Rajasthan Agri. University","Jobner"
"Coriander","Hisar Surabhi (DH-246)",2006.0,"CCS Haryana Agri. University","Hisar"
"Coriander","Sudha (LCC-128)",2006.0,"ANGRAU","Hyderabad"
"Coriander","NRCSS ACr I",2005.0,"NRC on SS","Ajmer"
"Cumin","RZ- 341(UC-341)",2006.0,"Rajesthan Agri. University","Jobner"
"Cumin","Gujrat Cumin- 4 (JC-2000-72)",2006.0,"SDAU","Jagudan, Gujarat"
"Fennel","RF-178(UF-178)",2006.0,"Rajesthan Agri. University","Jubner"
"Fennel","NRCSS AF-1",2006.0,"NRC on SS","Ajmer"
"Fengreek","RMt-351(UM-351)",2006.0,"Rajesthan Agri. University","Jobner"
"Fengreek","Gujrat Methi-2 (J.Fenu-244)",2006.0,"SDAU","Jagudan, Gujarat"
"Fengreek","NRCSS AM 1",2005.0,"NRC on SS","Ajmer"
