-----
{
 "description": "The table refers to block wise culturable command area and potential created through surface flow scheme. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "blcktab4.11.csv", 
 "title": "Download CSV for Blockwise Culturable command area and potential created through Surface Flow Scheme for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blcktab4.11.csv"
}
-----
State,District,Block,Culturable Command Area,Irrigation potential created - Kharif,Irrigation potential created - Rabi,Irrigation potential created - Perennial,Irrigation potential created - Others,Total - Irrigation potential created
ANDHRA PRADESH,ADILABAD,ADILABAD,180,180,13,0,0,193
ANDHRA PRADESH,ADILABAD,ASIFABAD,50,50,0,0,0,50
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,NA,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BEJJUR,510,498,12,0,0,510
ANDHRA PRADESH,ADILABAD,BELA,NA,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,416,416,0,0,0,416
ANDHRA PRADESH,ADILABAD,BHAINSA,651,669,2,0,0,671
ANDHRA PRADESH,ADILABAD,BHEEMINI,416,431,0,0,0,431
ANDHRA PRADESH,ADILABAD,BOATH,NA,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,CHENNUR,1243,1243,0,0,0,1243
ANDHRA PRADESH,ADILABAD,DAHEGAON,227,227,0,0,0,227
ANDHRA PRADESH,ADILABAD,DANDEPALLE,369,369,0,0,0,369
ANDHRA PRADESH,ADILABAD,DILAWARPUR,761,703,67,0,0,770
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,NA,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,ICHODA,NA,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,INDERAVELLY,40,40,0,0,0,40
ANDHRA PRADESH,ADILABAD,JAINAD,33,27,6,0,0,33
ANDHRA PRADESH,ADILABAD,JAINOOR,NA,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,JAIPUR,1720,1721,0,0,0,1721
ANDHRA PRADESH,ADILABAD,JANNARAM,501,501,0,0,0,501
ANDHRA PRADESH,ADILABAD,KADDAM (PEDDUR),866,866,0,0,0,866
ANDHRA PRADESH,ADILABAD,KAGAZNAGAR,959,959,0,0,0,959
ANDHRA PRADESH,ADILABAD,KASIPET,444,425,19,0,0,444
ANDHRA PRADESH,ADILABAD,KERAMERI,NA,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KHANPUR,612,612,0,0,0,612
ANDHRA PRADESH,ADILABAD,KOTAPALLE,487,487,0,0,0,487
ANDHRA PRADESH,ADILABAD,KOUTHALA,870,870,0,0,0,870
ANDHRA PRADESH,ADILABAD,KUBEER,123,124,4,0,0,128
ANDHRA PRADESH,ADILABAD,KUNTALA,766,774,93,0,0,867
ANDHRA PRADESH,ADILABAD,LAHESRA,1154,1154,0,0,0,1154
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,384,462,2,0,0,464
ANDHRA PRADESH,ADILABAD,LUXETTIPET,837,837,0,0,0,837
ANDHRA PRADESH,ADILABAD,MAMDA,843,843,0,0,0,843
ANDHRA PRADESH,ADILABAD,MANCHERIAL,648,648,0,0,0,648
ANDHRA PRADESH,ADILABAD,MANDAMARRI,233,233,0,0,0,233
ANDHRA PRADESH,ADILABAD,MUDHOLE,1192,1188,87,0,0,1275
ANDHRA PRADESH,ADILABAD,NARNOOR,NA,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,NENNAL,619,619,0,0,0,619
ANDHRA PRADESH,ADILABAD,NERADIGONDA,339,339,36,0,0,375
ANDHRA PRADESH,ADILABAD,NIRMAL,110,110,0,0,0,110
ANDHRA PRADESH,ADILABAD,REBBENA,474,428,46,0,0,474
ANDHRA PRADESH,ADILABAD,SARANGAPUR,NA,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,SIRPUR,NA,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,SIRPUR (T),543,543,0,0,0,543
ANDHRA PRADESH,ADILABAD,TALAMADUGU,113,100,13,0,0,113
ANDHRA PRADESH,ADILABAD,TAMSI,138,138,0,0,0,138
ANDHRA PRADESH,ADILABAD,TANDUR,1133,1147,6,0,0,1153
ANDHRA PRADESH,ADILABAD,TANUR,100,98,2,0,0,100
ANDHRA PRADESH,ADILABAD,TIRYANI,NA,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,UTNUR,45,45,0,0,0,45
ANDHRA PRADESH,ADILABAD,VEMANPALLE,224,194,30,0,0,224
ANDHRA PRADESH,ADILABAD,WANKDI,69,69,0,0,0,69
ANDHRA PRADESH,ANANTHAPUR,AGALI,1217,1243,1243,0,0,2486
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,449,449,363,16,0,828
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,1749,1744,1740,0,0,3484
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,290,290,0,0,0,290
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,560,560,477,0,0,1037
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,1172,1172,3,0,0,1175
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,340,340,0,0,0,340
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,746,724,607,0,0,1331
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,919,886,49,0,0,935
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,2138,799,1339,0,0,2138
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,1302,1056,919,0,0,1975
ANDHRA PRADESH,ANANTHAPUR,CHENNEKOTHAPALLE,713,713,83,0,0,796
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,1475,1000,692,94,0,1786
ANDHRA PRADESH,ANANTHAPUR,D.HIREHAL,443,431,12,0,0,443
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,2719,2718,191,0,0,2909
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,213,210,7,0,0,217
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,1067,1004,790,0,0,1794
ANDHRA PRADESH,ANANTHAPUR,GOOTY,1321,1305,40,0,0,1345
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,1562,1306,514,49,14,1883
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,1155,1155,1059,0,0,2214
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATA,548,548,12,0,0,560
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,712,697,21,0,0,718
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,3063,2840,1082,113,0,4035
ANDHRA PRADESH,ANANTHAPUR,KADIRI,820,656,163,0,0,819
ANDHRA PRADESH,ANANTHAPUR,KALYANDRUG,254,239,81,0,0,320
ANDHRA PRADESH,ANANTHAPUR,KAMBADUR,1394,1160,741,0,0,1901
ANDHRA PRADESH,ANANTHAPUR,KANAGANAPALLE,516,453,63,0,0,516
ANDHRA PRADESH,ANANTHAPUR,KANEKAL,1087,988,407,0,0,1395
ANDHRA PRADESH,ANANTHAPUR,KOTHACHERUVU,740,713,600,0,0,1313
ANDHRA PRADESH,ANANTHAPUR,KUDAIR,926,781,111,76,0,968
ANDHRA PRADESH,ANANTHAPUR,KUNDURPI,841,769,451,1,0,1221
ANDHRA PRADESH,ANANTHAPUR,LEPAKSHI,2026,1418,609,1,0,2028
ANDHRA PRADESH,ANANTHAPUR,MADAKASIRA,987,803,209,0,0,1012
ANDHRA PRADESH,ANANTHAPUR,MUDIGUBBA,1209,668,781,0,0,1449
ANDHRA PRADESH,ANANTHAPUR,NALLACHERUVU,503,208,414,0,0,622
ANDHRA PRADESH,ANANTHAPUR,NALLAMADA,305,244,90,1,0,335
ANDHRA PRADESH,ANANTHAPUR,NAMBULAPULIKUNTA,505,484,435,0,0,919
ANDHRA PRADESH,ANANTHAPUR,NARPALA,509,505,111,0,0,616
ANDHRA PRADESH,ANANTHAPUR,OBULADEVARACHERUVU,531,531,0,0,0,531
ANDHRA PRADESH,ANANTHAPUR,PAMIDI,1470,1470,735,0,0,2205
ANDHRA PRADESH,ANANTHAPUR,PARIGI,2630,2630,0,0,0,2630
ANDHRA PRADESH,ANANTHAPUR,PEDDAPAPPUR,143,143,0,0,0,143
ANDHRA PRADESH,ANANTHAPUR,PEDDAVADUGUR,1144,1144,425,0,0,1569
ANDHRA PRADESH,ANANTHAPUR,PENUKONDA,1264,1201,298,31,0,1530
ANDHRA PRADESH,ANANTHAPUR,PUTLUR,45,45,45,0,0,90
ANDHRA PRADESH,ANANTHAPUR,PUTTAPARTHI,611,563,10,45,0,618
ANDHRA PRADESH,ANANTHAPUR,RAMAGIRI,843,644,199,0,0,843
ANDHRA PRADESH,ANANTHAPUR,RAPTADU,582,575,129,0,0,704
ANDHRA PRADESH,ANANTHAPUR,RAYADURG,514,368,162,0,0,530
ANDHRA PRADESH,ANANTHAPUR,RODDAM,2258,2007,847,0,0,2854
ANDHRA PRADESH,ANANTHAPUR,ROLLA,312,253,79,0,0,332
ANDHRA PRADESH,ANANTHAPUR,SETTUR,1202,1202,0,0,0,1202
ANDHRA PRADESH,ANANTHAPUR,SINGANAMALA,3031,2453,1820,0,0,4273
ANDHRA PRADESH,ANANTHAPUR,SOMANDEPALLE,1769,1523,246,1,0,1770
ANDHRA PRADESH,ANANTHAPUR,TADIMARRI,825,823,2,0,0,825
ANDHRA PRADESH,ANANTHAPUR,TADPATRI,1994,1920,168,6,0,2094
ANDHRA PRADESH,ANANTHAPUR,TALUPULA,611,611,0,2,0,613
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,1421,929,965,0,0,1894
ANDHRA PRADESH,ANANTHAPUR,URAVAKONDA,597,597,0,0,0,597
ANDHRA PRADESH,ANANTHAPUR,VAJRAKARUR,143,143,0,0,0,143
ANDHRA PRADESH,ANANTHAPUR,VIDAPANAKAL,348,295,53,0,0,348
ANDHRA PRADESH,ANANTHAPUR,YADIKI,330,330,79,0,0,409
ANDHRA PRADESH,ANANTHAPUR,YELLANUR,625,625,0,0,0,625
ANDHRA PRADESH,CHITTOOR,B.KOTHAKOTA,1600,1047,1260,0,0,2307
ANDHRA PRADESH,CHITTOOR,BAIREDDIPALLE,1369,1364,298,0,0,1662
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,624,624,624,0,0,1248
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,3057,868,2273,0,0,3141
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,514,327,215,0,0,542
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,1145,1152,667,0,0,1819
ANDHRA PRADESH,CHITTOOR,CHITTOOR,609,448,224,0,0,672
ANDHRA PRADESH,CHITTOOR,CHOWDE[ALLE,1736,1351,792,0,0,2143
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,1528,606,934,0,0,1540
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,1496,1377,794,0,0,2171
ANDHRA PRADESH,CHITTOOR,GUDIPALA,1187,868,479,0,0,1347
ANDHRA PRADESH,CHITTOOR,GUDUPALLE,610,600,77,0,0,677
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,980,909,777,0,0,1686
ANDHRA PRADESH,CHITTOOR,IRALA,1716,612,1314,14,0,1940
ANDHRA PRADESH,CHITTOOR,K.V.B. PURAM,2417,23,2394,0,0,2417
ANDHRA PRADESH,CHITTOOR,KALAKADA,757,646,486,0,0,1132
ANDHRA PRADESH,CHITTOOR,KALIKIRI,897,397,530,0,0,927
ANDHRA PRADESH,CHITTOOR,KAMACHANDRA PURAM,110,0,110,0,0,110
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,1075,788,774,0,0,1562
ANDHRA PRADESH,CHITTOOR,KARVETINAGAR,1050,180,976,0,0,1156
ANDHRA PRADESH,CHITTOOR,KUPPAM,949,851,251,0,0,1102
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,947,933,668,0,0,1601
ANDHRA PRADESH,CHITTOOR,MADANAPALLE,1240,1068,578,3,0,1649
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,1430,1038,544,0,0,1582
ANDHRA PRADESH,CHITTOOR,NAGALAPURAM,1258,1217,96,0,0,1313
ANDHRA PRADESH,CHITTOOR,NAGARI,1084,36,1048,0,0,1084
ANDHRA PRADESH,CHITTOOR,NARAYANAVANAM,589,140,474,0,0,614
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,1381,456,981,0,0,1437
ANDHRA PRADESH,CHITTOOR,NINDRA,1289,25,1294,0,0,1319
ANDHRA PRADESH,CHITTOOR,PAKALA,1201,13,1191,0,0,1204
ANDHRA PRADESH,CHITTOOR,PALAMANERU,899,750,694,0,0,1444
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,416,387,138,0,0,525
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,698,692,493,0,0,1185
ANDHRA PRADESH,CHITTOOR,PEDDAPANJANI,2347,2130,722,0,0,2852
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMDRAM,3151,1411,2881,0,0,4292
ANDHRA PRADESH,CHITTOOR,PENUMURU,947,312,726,0,0,1038
ANDHRA PRADESH,CHITTOOR,PICHATURU,1399,1266,1346,0,0,2612
ANDHRA PRADESH,CHITTOOR,PILERU,2034,1876,458,1,0,2335
ANDHRA PRADESH,CHITTOOR,PULICHERLA,1482,1316,913,0,0,2229
ANDHRA PRADESH,CHITTOOR,PUNGANURU,2676,2322,1655,0,0,3977
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,1360,311,1232,0,0,1543
ANDHRA PRADESH,CHITTOOR,PUTTURU,787,155,687,0,0,842
ANDHRA PRADESH,CHITTOOR,RAMAKUPPAM,937,855,358,0,0,1213
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,2065,1965,662,0,0,2627
ANDHRA PRADESH,CHITTOOR,RENIGUNTA,1861,21,1880,0,0,1901
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,1096,1092,1092,0,0,2184
ANDHRA PRADESH,CHITTOOR,SANTHIPURAM,956,921,67,0,0,988
ANDHRA PRADESH,CHITTOOR,SATYAVEDU,3107,1347,2440,0,0,3787
ANDHRA PRADESH,CHITTOOR,SODAM,1794,1557,624,0,0,2181
ANDHRA PRADESH,CHITTOOR,SOMALA,1437,825,1243,0,0,2068
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,5952,71,5934,547,0,6552
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,728,11,724,0,0,735
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,1484,1060,1300,0,0,2360
ANDHRA PRADESH,CHITTOOR,THAVANAMPALLE,1115,1014,800,0,0,1814
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDA,3724,77,3692,0,0,3769
ANDHRA PRADESH,CHITTOOR,TIRUPATI (RURAL),437,0,437,0,0,437
ANDHRA PRADESH,CHITTOOR,TIRUPATI (URBAN),273,30,261,0,0,291
ANDHRA PRADESH,CHITTOOR,VADAMALAPETA,724,0,724,0,0,724
ANDHRA PRADESH,CHITTOOR,VARADAIAHPALEM,4186,111,4133,0,0,4244
ANDHRA PRADESH,CHITTOOR,VAYALPAD,1362,967,541,10,8,1526
ANDHRA PRADESH,CHITTOOR,VEDURUKUPPAM,881,0,881,0,0,881
ANDHRA PRADESH,CHITTOOR,VENKATAGIRIKOTA,1013,989,66,0,0,1055
ANDHRA PRADESH,CHITTOOR,VIJAYAPURAM,904,0,905,0,0,905
ANDHRA PRADESH,CHITTOOR,YADAMARI,727,0,727,0,0,727
ANDHRA PRADESH,CHITTOOR,YERPEDU,5036,0,5037,0,0,5037
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,1570,1541,971,0,0,2512
ANDHRA PRADESH,CUDDAPAH,ATLUR,1576,1576,0,0,0,1576
ANDHRA PRADESH,CUDDAPAH,B.KODUR,2612,2076,1616,0,0,3692
ANDHRA PRADESH,CUDDAPAH,BADVEL,2266,1308,1244,73,0,2625
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATHAM,1542,582,1395,0,0,1977
ANDHRA PRADESH,CUDDAPAH,CHAKARAYAPET,1121,1120,1084,2,0,2206
ANDHRA PRADESH,CUDDAPAH,CHAPAD,11,11,0,0,0,11
ANDHRA PRADESH,CUDDAPAH,CHENNAMANDEM,734,737,14,0,0,751
ANDHRA PRADESH,CUDDAPAH,CHENNUR,NA,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,CHINTHAKOMMADINNE,994,994,463,0,0,1457
ANDHRA PRADESH,CUDDAPAH,CHITVEL,1621,626,996,0,0,1622
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,326,326,0,0,0,326
ANDHRA PRADESH,CUDDAPAH,DUVVUR,74,74,0,0,0,74
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,1048,1058,306,0,0,1364
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,985,993,32,0,0,1025
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,635,635,0,0,0,635
ANDHRA PRADESH,CUDDAPAH,KALASAPADU,1758,1879,81,0,0,1960
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,409,409,101,0,0,510
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,567,601,0,0,0,601
ANDHRA PRADESH,CUDDAPAH,KODUR,439,62,418,0,0,480
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,55,55,24,0,0,79
ANDHRA PRADESH,CUDDAPAH,LAKKIREDDIPALLE,742,742,93,0,0,835
ANDHRA PRADESH,CUDDAPAH,LINGALA,NA,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,MUDDANUR,253,253,106,0,0,359
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,509,509,41,0,0,550
ANDHRA PRADESH,CUDDAPAH,NANDALUR,1867,1721,745,20,0,2486
ANDHRA PRADESH,CUDDAPAH,OBULAVARIPALLE,1359,1314,1320,0,0,2634
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,92,92,0,0,0,92
ANDHRA PRADESH,CUDDAPAH,PENAGALUR,1601,855,727,18,0,1600
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,NA,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,1714,1591,1439,32,0,3062
ANDHRA PRADESH,CUDDAPAH,PRODDUTUR,NA,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,NA,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,1261,1261,1251,0,0,2512
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,2051,1209,542,319,0,2070
ANDHRA PRADESH,CUDDAPAH,RAJUPALEM,6,182,0,0,0,182
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,816,832,91,2,1,926
ANDHRA PRADESH,CUDDAPAH,ROYACHOTI,1016,959,859,0,0,1818
ANDHRA PRADESH,CUDDAPAH,S.MYDUKUR,1003,885,59,59,0,1003
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,414,364,205,0,0,569
ANDHRA PRADESH,CUDDAPAH,SIDHOUT,NA,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,SIMHADRIPURAM,NA,0,0,0,0,0
ANDHRA PRADESH,CUDDAPAH,T.SUNDUPALLE,995,1009,328,0,0,1337
ANDHRA PRADESH,CUDDAPAH,THONDUR,99,99,99,0,0,198
ANDHRA PRADESH,CUDDAPAH,VALLUR,302,302,132,12,0,446
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,837,854,833,0,0,1687
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,67,67,0,0,0,67
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,173,171,109,1,0,281
ANDHRA PRADESH,CUDDAPAH,VEMULA,982,982,0,0,0,982
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,925,875,665,1,0,1541
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,42,42,0,0,0,42
