-----
{
 "description": "Use Based Annual Growth Rates of all India Index of Industrial Production, with base: 2004-05 = 100, from 2005-06 to 2012-13. The figures for 2012-13 are provisional.", 
 "file_name": "Use_Based_Annual_Growth_Rates_of_IIP.csv", 
 "title": "Download CSV for Use Based Annual Growth Rates of all India Index of Industrial Production (Base: 2004-05 = 100)", 
 "url": "http://data.gov.in/sites/default/files/Use_Based_Annual_Growth_Rates_of_IIP.csv"
}
-----
Year,Basic goods,Capital goods,Intermediate goods,Consumer Durables,Consumer Non-durables,Consumer goods Total
2005-06,6.1,18.1,6.6,16.2,8.6,10.7
2006-07,8.9,23.3,11.5,25.3,12.3,16.1
2007-08,8.9,48.5,7.3,33.1,10.2,17.6
2008-09,1.7,11.3,0,11.1,-5,0.9
2009-10,4.7,1,6,17,1.4,7.7
2010-11,6,14.8,7.4,14.2,4.3,8.6
2011-12,5.5,-4,-0.6,2.6,5.9,4.4
2012-13,2.4,-6.1,1.6,2,2.7,2.4
