-----
{
 "description": "Data covers year-wise and state-wise details of Industrial Entrepreneurs Memorandum (IEM) filed, Letters of Intent (LoI)/ Direct Industrial Licenses (DILs) issued by DIPP.", 
 "file_name": "State-wise_Industrial_Investment_Proposals_Received_From_Industrial_Undertakings.xls", 
 "title": "Download XLS for State-wise Industrial Investment Proposals Received From Industrial Undertakings During 2005 to 2013 - Upto May 2013 ", 
 "url": "http://data.gov.in/sites/default/files/State-wise_Industrial_Investment_Proposals_Received_From_Industrial_Undertakings.xls"
}
-----
"NAME OF THE STATE","Nos in 2005","%age of Total Proposals in 2005","Proposed Investment in 2005 (in Rs. Cr.)","%age of Total Proposed Investment during 2005","Nos in 2006","%age of Total Proposals in 2006","Proposed Investment in 2006 (in Rs. Cr.)","%age of Total Proposed Investment during 2006","Nos in 2007","%age of Total Proposals in 2007","Proposed Investment in 2007 (in Rs. Cr.)","%age of Total Proposed Investment during 2007","Nos in 2008","%age of Total Proposals in 2008","Proposed Investment in 2008 (in Rs. Cr.)","%age of Total Proposed Investment during 2008","Nos in 2009","%age of Total Proposals in 2009","Proposed Investment in 2009 (in Rs. Cr.)","%age of Total Proposed Investment during 2009","Nos in 2010","%age of Total Proposals in 2010","Proposed Investment in 2010 (in Rs. Cr.)","%age of Total Proposed Investment during 2010","Nos in 2011","%age of Total Proposals in 2011","Proposed Investment in 2011 (in Rs. Cr.)","%age of Total Proposed Investment during 2011","Nos in 2012","%age of Total Proposals in 2012","Proposed Investment in 2012 (in Rs. Cr.)","%age of Total Proposed Investment during 2012","Nos in 2013(May)","%age of Total Proposals in 2013(May)","Proposed Investment in 2013(May) (in Rs. Cr.)","%age of Total Proposed Investment during 2013(May)"
"Andaman & Nicobar",0.0,0.0,0.0,0.0,1.0,0.0156961230576,30.0,0.0050557821295,0.0,0.0,0.0,0.0,1.0,0.0244798041616,123.0,0.00807165000276,1.0,0.0287769784173,13.0,0.00124968877943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.035360678925,31.0,0.00545901512323,0.0,0.0,0.0,0.0
"Andhra Pradesh",438.0,6.91069738088,16504.0,4.62366856611,619.0,9.71590017266,44919.0,7.57002258249,395.0,10.3457307491,61040.0,7.31676034373,405.0,9.91432068543,132289.0,8.68122363589,319.0,9.17985611511,104998.0,10.0934478817,519.0,11.9695571956,176245.0,10.150479001,392.0,10.0512820513,103966.0,6.75223156298,307.0,10.85572843,70376.0,12.3930209133,124.0,10.7919930374,7785.0,3.54463001075
"Arunachal Pradesh",10.0,0.157778479015,49.0,0.0137275666347,6.0,0.0941767383456,130.0,0.0219083892278,1.0,0.0261917234154,37.0,0.0044351266828,7.0,0.171358629131,147.0,0.00964660610085,4.0,0.115107913669,1303.0,0.125257267661,5.0,0.115313653137,848.0,0.0488388674451,7.0,0.179487179487,1027.0,0.0667000924839,3.0,0.106082036775,41.0,0.00721998774363,1.0,0.0870322019147,353.0,0.160726319049
"Assam",80.0,1.26222783212,979.0,0.274271178273,50.0,0.78480615288,1969.0,0.331827833766,26.0,0.6809848088,1241.0,0.148756546307,32.0,0.78335373317,7428.0,0.487448912362,45.0,1.29496402878,2860.0,0.274931531474,37.0,0.85332103321,8423.0,0.485105873219,32.0,0.820512820513,1231.0,0.0799491858302,39.0,1.37906647808,2845.0,0.500996710503,16.0,1.39251523064,1135.0,0.516782923853
"Bihar",12.0,0.189334174819,410.0,0.114863312658,79.0,1.23999372155,8580.0,1.44595368904,22.0,0.576217915139,2194.0,0.262991025461,29.0,0.709914320685,13577.0,0.890965789329,32.0,0.920863309353,13710.0,1.31794101277,46.0,1.06088560886,65190.0,3.75448793484,31.0,0.794871794872,44026.0,2.85933619444,20.0,0.707213578501,2374.0,0.418054900082,12.0,1.04438642298,991.0,0.45121751325
"Chandigarh",0.0,0.0,0.0,0.0,5.0,0.078480615288,234.0,0.0394351006101,2.0,0.0523834468308,40.0,0.00479473154897,1.0,0.0244798041616,9.0,0.000590608536787,0.0,0.0,0.0,0.0,1.0,0.0230627306273,24.0,0.0013822320975,1.0,0.025641025641,10.0,0.000649465360116,1.0,0.035360678925,22.0,0.00387413976487,0.0,0.0,0.0,0.0
"Chhattisgarh",286.0,4.51246449984,41845.0,11.7230617516,217.0,3.4060587035,107899.0,18.183794533,239.0,6.25982189628,168154.0,20.1563322222,285.0,6.97674418605,221863.0,14.559353533,293.0,8.43165467626,130630.0,12.5574496351,256.0,5.90405904059,285583.0,16.4475828792,114.0,2.92307692308,102266.0,6.64182245176,78.0,2.75813295615,79575.0,14.0129396268,33.0,2.87206266319,29402.0,13.3871819622
"Dadra & Nagar Haveli",78.0,1.23067213632,1217.0,0.340947930499,110.0,1.72657353634,3967.0,0.66854292359,64.0,1.67627029859,2959.0,0.354690266335,40.0,0.979192166463,1791.0,0.117531098821,50.0,1.43884892086,1709.0,0.164286009542,63.0,1.45295202952,11148.0,0.64204680929,55.0,1.41025641026,3885.0,0.252317292405,31.0,1.09618104668,4014.0,0.706854409828,16.0,1.39251523064,402.0,0.183036771268
"Daman & Diu",77.0,1.21489428842,905.0,0.253539751111,52.0,0.816198398995,1432.0,0.241329333648,57.0,1.49292823468,1615.0,0.19358728629,45.0,1.10159118727,967.0,0.0634576061192,39.0,1.12230215827,858.0,0.0824794594423,35.0,0.807195571956,598.0,0.0344406164294,21.0,0.538461538462,665.0,0.0431894464477,5.0,0.176803394625,26.0,0.00457852881303,7.0,0.609225413403,130.0,0.0591909956836
"Delhi",5.0,0.0788892395077,13.0,0.00364200747452,8.0,0.125568984461,129.0,0.0217398631568,12.0,0.314300680985,180.0,0.0215762919704,12.0,0.293757649939,59.0,0.00387176707449,21.0,0.604316546763,289.0,0.0277815428658,19.0,0.438191881919,130.0,0.00748709052814,12.0,0.307692307692,68.0,0.00441636444879,6.0,0.21216407355,83.0,0.0146160727493,2.0,0.174064403829,56.0,0.0254976596791
"Goa",47.0,0.741558851373,351.0,0.098334201812,24.0,0.376706953383,300.0,0.050557821295,20.0,0.523834468308,438.0,0.0525023104613,37.0,0.905752753978,1000.0,0.0656231707541,46.0,1.32374100719,1382.0,0.132851530244,39.0,0.899446494465,2441.0,0.140584522917,23.0,0.589743589744,563.0,0.0365648997745,21.0,0.742574257426,494.0,0.0869920474476,12.0,1.04438642298,271.0,0.123390460233
"Gujarat",757.0,11.9438308615,79625.0,22.3072957814,575.0,9.02527075812,66333.0,11.1788398665,343.0,8.98376113148,94492.0,11.3265943381,363.0,8.88616891065,125376.0,8.22757065647,376.0,10.8201438849,142239.0,13.6734217152,497.0,11.4621771218,149718.0,8.62270938225,544.0,13.9487179487,142680.0,9.26657175813,472.0,16.6902404526,126201.0,22.2236505667,168.0,14.6214099217,54477.0,24.8042143989
"Haryana",212.0,3.34490375513,5867.0,1.64366598869,237.0,3.71998116465,16269.0,2.74175064883,132.0,3.45730749083,6042.0,0.724244200473,123.0,3.01101591187,6432.0,0.42208823429,85.0,2.44604316547,2423.0,0.232922762504,141.0,3.25184501845,10436.0,0.601040590397,118.0,3.02564102564,8700.0,0.565034863301,115.0,4.06647807638,5894.0,1.03791726246,47.0,4.09051348999,1538.0,0.700275010472
"Himachal Pradesh",119.0,1.87756390028,3235.0,0.906299552313,108.0,1.69518129022,2114.0,0.356264114058,34.0,0.890518596124,1227.0,0.147078390265,39.0,0.954712362301,3972.0,0.260655234235,41.0,1.17985611511,6065.0,0.583027880557,54.0,1.24538745387,3580.0,0.206182954544,36.0,0.923076923077,1533.0,0.0995630397057,48.0,1.6973125884,4798.0,0.844914663267,3.0,0.261096605744,30.0,0.0136594605424
"Jammu & Kashmir",150.0,2.36667718523,2677.0,0.74997338533,93.0,1.45973944436,2197.0,0.37025177795,54.0,1.41435306443,2104.0,0.252202879476,29.0,0.709914320685,1115.0,0.0731698353908,23.0,0.661870503597,1223.0,0.117566875172,23.0,0.530442804428,1234.0,0.0710697670133,21.0,0.538461538462,1523.0,0.0989135743456,26.0,0.919377652051,1529.0,0.269252713659,7.0,0.609225413403,357.0,0.162547580454
"Jharkhand",179.0,2.82423477438,28415.0,7.96058787604,98.0,1.53822005965,33649.0,5.67073376251,79.0,2.06914614982,82312.0,9.86659858148,74.0,1.81150550796,142702.0,9.36455771295,65.0,1.87050359712,79502.0,7.64251979555,53.0,1.22232472325,41549.0,2.3929317258,25.0,0.641025641026,3198.0,0.207699022165,32.0,1.1315417256,10315.0,1.81644325794,9.0,0.783289817232,4106.0,1.8695248329
"Karnataka",258.0,4.0706847586,14107.0,3.9521384187,320.0,5.02275937843,72206.0,12.1685934814,210.0,5.50026191723,58245.0,6.98172847675,210.0,5.14075887393,142284.0,9.33712722758,179.0,5.15107913669,92054.0,8.84914237704,269.0,6.20387453875,140289.0,8.07966494694,217.0,5.5641025641,94147.0,6.11452152588,169.0,5.97595473833,47967.0,8.44685736826,61.0,5.3089643168,6370.0,2.9003587885
"Kerala",33.0,0.520668980751,554.0,0.155205549299,46.0,0.72202166065,550.0,0.0926893390407,17.0,0.445259298062,940.0,0.112676191401,16.0,0.391676866585,269.0,0.0176526329329,8.0,0.230215827338,171.0,0.0164382139448,8.0,0.184501845018,99.0,0.0057017074022,12.0,0.307692307692,3984.0,0.25874699947,6.0,0.21216407355,124.0,0.0218360604929,3.0,0.261096605744,14264.0,6.49461817255
"Lakshadweep",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Madhya Pradesh",173.0,2.72956768697,19216.0,5.38344735618,187.0,2.93517501177,10978.0,1.85007920725,199.0,5.21215295966,21143.0,2.5343752285,306.0,7.49082007344,199159.0,13.0694450642,182.0,5.23741007194,66669.0,6.40888471044,226.0,5.21217712177,204286.0,11.7654444279,191.0,4.89743589744,104527.0,6.78866656968,126.0,4.45544554455,10563.0,1.86011537893,57.0,4.96083550914,15819.0,7.20263354399
"Maharashtra",734.0,11.5809403597,20499.0,5.74288547848,869.0,13.6399309371,39412.0,6.64194950959,586.0,15.3483499214,85053.0,10.1951575609,717.0,17.5520195838,92287.0,6.05616555939,594.0,17.0935251799,68073.0,6.54385109862,759.0,17.5046125461,176259.0,10.1512853031,975.0,25.0,133730.0,8.68530026083,533.0,18.847241867,70181.0,12.3586819472,230.0,20.0174064404,33326.0,15.1738394012
"Manipur",1.0,0.0157778479015,7.0,0.00196108094782,0.0,0.0,0.0,0.0,1.0,0.0261917234154,10.0,0.00119868288724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0230627306273,0.0,0.0,1.0,0.025641025641,13.0,0.00084430496815,1.0,0.035360678925,68.0,0.0119746138187,1.0,0.0870322019147,32.0,0.0145700912452
"Meghalaya",38.0,0.599558220259,460.0,0.128871033714,17.0,0.266834091979,1482.0,0.249755637197,16.0,0.419067574646,3024.0,0.362481705102,18.0,0.440636474908,2587.0,0.169767142741,10.0,0.287769784173,970.0,0.0932460089266,14.0,0.322878228782,1733.0,0.0998086760405,6.0,0.153846153846,2574.0,0.167172383694,3.0,0.106082036775,1807.0,0.318207752506,2.0,0.174064403829,79.0,0.0359699127616
"Mizoram",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.025641025641,27.0,0.00175355647231,0.0,0.0,0.0,0.0,1.0,0.0870322019147,15.0,0.00682973027119
"Nagaland",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0523834468308,81.0,0.00970933138667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.025641025641,38.0,0.00246796836844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Orissa",208.0,3.28179236352,41838.0,11.7211006707,107.0,1.67948516716,69409.0,11.6972260609,131.0,3.43111576742,112120.0,13.4396325318,160.0,3.91676866585,253201.0,16.6158524581,99.0,2.84892086331,167932.0,16.1432873929,179.0,4.12822878229,315772.0,18.1862580789,119.0,3.05128205128,321032.0,20.8499163489,58.0,2.05091937765,63605.0,11.200666352,15.0,1.30548302872,7009.0,3.19130529805
"Pondicherry",41.0,0.646891763963,413.0,0.115703775921,53.0,0.831894522053,840.0,0.141561899626,16.0,0.419067574646,899.0,0.107761591563,24.0,0.587515299878,1020.0,0.0669356341692,14.0,0.402877697842,712.0,0.0684444931503,14.0,0.322878228782,282.0,0.0162412271457,8.0,0.205128205128,44.0,0.00285764758451,8.0,0.2828854314,146.0,0.0257102002578,3.0,0.261096605744,17.0,0.00774036097401
"Punjab",203.0,3.20290312401,5846.0,1.63778274585,214.0,3.35897033433,11409.0,1.92271394385,105.0,2.75013095862,5172.0,0.619958789282,102.0,2.49694002448,9482.0,0.622238905091,68.0,1.95683453237,9731.0,0.935440116356,103.0,2.37546125461,6779.0,0.39042297454,113.0,2.89743589744,13571.0,0.881389440213,80.0,2.828854314,4477.0,0.788387442152,19.0,1.65361183638,754.0,0.343307774965
"Rajasthan",171.0,2.69801199116,5406.0,1.51451480056,182.0,2.85669439648,7502.0,1.26428258452,84.0,2.20010476689,13863.0,1.66173408659,103.0,2.52141982864,21899.0,1.43708181634,88.0,2.53237410072,13461.0,1.29400466615,125.0,2.88284132841,29700.0,1.71051222066,166.0,4.25641025641,23488.0,1.52546423784,163.0,5.76379066478,18218.0,3.20813991984,63.0,5.48302872063,18416.0,8.38508751161
