-----
{
 "description": "The table refers to District wise Distribution of Dugwells according to The Farmers holding size. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlState1.3.csv", 
 "title": "Download CSV for Districtwise Distribution of Dugwells according to The Farmers holding size", 
 "url": "http://data.gov.in/sites/default/files/dgwlState1.3.csv"
}
-----
"State","District","Marginal (0-1 ha)","Small (1-2 ha)","Medium (2-10 ha)","Big ( > 10 ha)","Total"
"ANDAMAN & NICOBARS","NICOBAR",0,0,7,1,8
"ANDHRA PRADESH","ADILABAD",14263,8555,4400,65,27283
"ANDHRA PRADESH","ANANTHAPUR",8166,16056,25452,2541,52215
"ANDHRA PRADESH","CHITTOOR",45807,45237,24194,812,116050
"ANDHRA PRADESH","CUDDAPAH",8755,15380,16748,689,41572
"ANDHRA PRADESH","EAST GODAVARI",877,653,619,11,2160
"ANDHRA PRADESH","GUNTUR",9095,2704,1494,32,13325
"ANDHRA PRADESH","KARIMNAGAR",94144,74663,37800,1014,207621
"ANDHRA PRADESH","KHAMMAM",15214,13903,7040,255,36412
"ANDHRA PRADESH","KRISHNA",4681,5738,6093,157,16669
"ANDHRA PRADESH","KURNOOL",7210,11959,13519,1203,33891
"ANDHRA PRADESH","MAHABOOBNAGAR",21225,32300,33616,3274,90415
"ANDHRA PRADESH","MEDAK",25541,16273,9489,662,51965
"ANDHRA PRADESH","NALGONDA",26202,35420,44541,2381,108544
"ANDHRA PRADESH","NELLORE",9102,17073,8171,169,34515
"ANDHRA PRADESH","NIZAMABAD",8837,6285,1664,34,16820
"ANDHRA PRADESH","PRAKASAM",3810,10231,11953,686,26680
"ANDHRA PRADESH","RANGAREDDY",9998,10254,8843,695,29790
"ANDHRA PRADESH","SRIKAKULAM",22249,9436,4076,181,35942
"ANDHRA PRADESH","VISAKHAPATNAM",2417,23480,237,8,26142
"ANDHRA PRADESH","VIZIANAGARAM",18671,11714,4851,175,35411
"ANDHRA PRADESH","WARANGAL",76098,62881,19980,1018,159977
"ANDHRA PRADESH","WEST GODAVARI",1610,3061,5540,194,10405
"ARUNACHAL PRADESH","CHANGLANG",0,0,0,0,0
"ARUNACHAL PRADESH","EAST SIANG",0,0,0,0,0
"ARUNACHAL PRADESH","PAPUMPARE",1,0,1,0,2
"ASSAM","BARPETA",1,22,0,0,23
"ASSAM","CACHAR",0,0,0,1,1
"ASSAM","DHUBRI",12,1,0,1,14
"ASSAM","GOALPARA",6,7,0,4,17
"ASSAM","JORHAT",3,4,3,0,10
"ASSAM","KOKRAJHAR",2,2,0,0,4
"ASSAM","LAKHIMPUR",15,32,10,0,57
"ASSAM","MORIGAON",18,0,0,0,18
"ASSAM","NAGOAN",0,1,0,0,1
"ASSAM","SIBSAGAR",0,3,0,0,3
"ASSAM","SONITPUR",1,0,0,0,1
"BIHAR","AURANGABAD",2211,2020,1596,191,6018
"BIHAR","BANKA",4250,2187,809,55,7301
"BIHAR","BHAGALPUR",3288,1056,461,60,4865
"BIHAR","BHOJPUR",802,1156,562,28,2548
"BIHAR","BUXAR",230,296,207,11,744
"BIHAR","EAST CHAMPARAN",2,14,6,0,22
"BIHAR","GAYA",8342,5642,3225,194,17403
"BIHAR","GOPAALGANJ",2148,1688,532,39,4407
"BIHAR","JAMUI",4469,2468,668,32,7637
"BIHAR","JEHANABAD",937,954,478,35,2404
"BIHAR","KAIMUR (BHABUA)",2109,2823,3061,550,8543
"BIHAR","KATIHAR",0,3,10,2,15
"BIHAR","LAKHISARAI",859,193,79,3,1134
"BIHAR","MADHEPURA",0,3,0,0,3
"BIHAR","MADHUBANI",45,56,15,1,117
"BIHAR","MUNGER",2358,712,138,32,3240
"BIHAR","MUZAFFARPUR",18,72,8,0,98
"BIHAR","NALANDA",8798,7781,3652,318,20549
"BIHAR","NAWADA",3362,1138,448,51,4999
"BIHAR","PATNA",1946,1788,905,111,4750
"BIHAR","ROHTAS(SASARAM)",1713,2105,2526,200,6544
"BIHAR","SARAN",8090,3088,665,47,11890
"BIHAR","SHEKHPURA",208,248,115,21,592
"BIHAR","SIWAN",7615,4847,1357,88,13907
"BIHAR","VAISHALI",507,368,136,7,1018
"CHHATTISGARH","BASTER",785,1129,1485,139,3538
"CHHATTISGARH","BILASPUR",1413,1122,835,56,3426
"CHHATTISGARH","DANTEWADA",106,138,255,38,537
"CHHATTISGARH","DHAMTARI",1535,1782,2216,70,5603
"CHHATTISGARH","DURG",2691,2641,2644,210,8186
"CHHATTISGARH","JANJGIR-CHAMPA",1412,1517,1383,71,4383
"CHHATTISGARH","JASHPUR",1097,1599,5261,790,8747
"CHHATTISGARH","KANKER",923,1543,2932,247,5645
"CHHATTISGARH","KORBA",644,679,887,91,2301
"CHHATTISGARH","KORIA",1320,1729,3002,108,6159
"CHHATTISGARH","KVARDHA",424,367,387,33,1211
"CHHATTISGARH","MAHASAMUND",1003,1471,2095,182,4751
"CHHATTISGARH","RAIGARH",1460,1638,2342,316,5756
"CHHATTISGARH","RAIPUR",4078,4852,6095,430,15455
"CHHATTISGARH","RAJNANDGAON",2089,2447,2582,269,7387
"CHHATTISGARH","SURGUJA",4862,6899,14841,1108,27710
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",279,184,94,15,572
"GOA","NORTH GOA",2742,389,210,32,3373
"GOA","SOUTH GOA",845,225,240,28,1338
"GUJARAT","AHMEDABAD",3911,3490,4965,819,13185
"GUJARAT","AMRELI",4957,7931,66198,265,79351
"GUJARAT","ANAND",826,623,480,72,2001
"GUJARAT","BANASKANTHA",7247,13375,27844,2466,50932
"GUJARAT","BHARUCH",924,1267,2582,131,4904
"GUJARAT","BHAVNAGAR",36464,48886,32092,547,117989
