-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 1993-94.", 
 "file_name": "ArunachalGSDPconst.csv", 
 "title": "Download CSV for Arunachal Pradesh Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/ArunachalGSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","28445","26302","26841","27192","28110","27394","30411","31476","29244","29511","30914","29600"
"Foresty and Logging","9529","10771","11138","10945","3673","4514","4703","3997","4483","5899","4935","5308"
"Fishing","831","879","905","977","1038","1121","1168","1228","1277","1277","1303","1419"
"Mining and Quarrying","1536","1108","949","986","927","1124","1154","1835","1650","1974","2116","2277"
"Sub total of primary","40341","39060","39833","40100","33748","34153","37436","38536","36654","38661","39268","38604"
"Manufacturing","3359","3535","4008","4868","4130","4352","4158","4157","4466","4372","4342","4370"
"Registered","0","0","0","0","0","0","0","0","0","0","0","0"
"Unregistered","3359","3535","4008","4868","4130","4352","4158","4157","4466","4372","4342","4370"
"Construction","17150","15146","24495","16571","16125","16151","14793","16853","20464","22573","26909","27691"
"Electricity, Gas and water Supply","595","2932","2142","2100","4490","5695","5179","2670","2940","3948","4985","5436"
"Sub total of secondary","21104","21613","30645","23539","24745","26198","24130","23680","27870","30893","36236","37497"
"Transport Storage and Communication","3219","3426","3544","3896","5592","5773","6629","7512","8055","9678","10148","10389"
"Railways","5","4","4","4","3","1","1","1","1","17","17","17"
"Transport by other means","2758","2962","2928","3236","4904","5043","5232","5351","5602","5805","6085","6326"
"Storage","2","2","2","2","2","2","2","2","2","2","2","2"
"Communication","454","458","610","654","683","727","1394","2158","2450","3854","4044","4044"
"Trade, hotels and restaurants","5485","4713","4777","5098","5314","3921","4984","4965","5110","4505","4663","4764"
"Banking and Insurance","1025","1148","1274","1519","1734","2063","2165","2686","3035","3056","3284","3284"
"Real estate, ownership of dwelling and business","1877","1977","2087","2204","2372","2540","2712","3013","3199","2644","2786","2944"
"Pubic Administration","8934","9281","9771","10595","14020","14943","16953","18551","19524","18864","19024","19971"
"Other Services","7326","7270","9169","9175","11570","12582","11310","12580","13229","14541","15960","17239"
"Sub total of tertiary","27866","27815","30622","32487","40602","41822","44753","49307","52152","53288","55865","58591"
"State domestic product","89311","88488","101100","96126","99095","102173","106319","111523","116676","122842","131369","134692"

"Figures are in Rs. Lakh"
