-----
{
 "description": "The table refers to state's gross state domestic product at factor cost at current prices for the base year 2004-05 by economic activity.", 
 "file_name": "GSDPCurrKarnataka.csv", 
 "title": "Download CSV for Gross State Domestic Product of Karnataka at factor cost at current prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/GSDPCurrKarnataka.csv"
}
-----
-----
{
 "description": "The table refers to state's gross state domestic product at factor cost at current prices for the base year 2004-05 by economic activity.", 
 "file_name": "GSDPCurrKarnataka.csv", 
 "title": "Download CSV for Gross State Domestic Product of Karnataka at factor cost at current prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/GSDPCurrKarnataka.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"Agriculture",2645533,3258811,3326756,3902162,4061267,4679203,6244015,6342888,6572067
"Forestry & Logging",410446,487580,517723,618246,712737,609929,884717,849476,938644
"Fishing",63005,83343,94182,91134,149603,175104,246464,271907,303867
"Agriculture & Allied",3118984,3829735,3938661,4611542,4923607,5464235,7375196,7464271,7814578
"Mining & Quarrying",192570,231563,293582,536287,538106,463971,762667,361610,377339
"Manufacturing",3059886,3338519,4367417,4845468,5776686,5529466,6262942,7146958,7438961
"Manufacturing - Registered",2378054,2576571,3486371,3833634,4538212,4346206,4897668,5623429,5819882
"Manufacturing - Unregistered",681833,761948,881046,1011834,1238474,1183260,1365274,1523529,1619079
"Construction",1425971,1788145,2129827,2693304,2965166,3082831,3873002,4358364,4996288
"Electricity, Gas and Water supply",370448,445846,479264,534564,444085,745650,871434,996635,1099797
"Industry",5048876,5804072,7270090,8609623,9724042,9821917,11770045,12863567,13912385
"Transport, Storage & Communication",1159170,1317408,1473020,1666840,1959476,2334533,2624407,2906292,3461664
"Railways",100265,108463,130905,158577,152007,168908,166009,180324,200996
"Transport by other means",735639,858893,978959,1122143,1360782,1620332,1936713,2224158,2471649
"Storage",2976,3589,4626,4777,4987,8269,7593,9680,10161
"Communication",320291,346462,358530,381342,441700,537024,514092,492130,778858
"Trade, Hotels and restaurants",2313861,2847192,3209902,3904743,4377978,4744384,5842082,6387319,6894679
"Banking & Insurance",1021207,1100446,1285566,1511153,1827914,1997937,2271773,2662590,3164955
"Real estate, Ownership of dwellings and Business services",2159579,2656062,3239827,3955865,4803937,5629069,6650225,8169880,9994061
"Public Administration",661552,731954,830073,1002339,1232246,1205939,1359772,1705611,2204507
"Other services",1191484,1303538,1476567,1800774,2182033,2557835,3176816,3901182,4818146
"Services",8506853,9956600,11514955,13841714,16383583,18469698,21925075,25732874,30538012
"State Domestic Product",16674713,19590407,22723706,27062879,31031233,33755850,41070316,46060712,52264975
