-----
{
 "description": "The table refers to District wise Distribution of Deep Tubewells according to Water Lifting Device. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwlstate3.8.csv", 
 "title": "Download CSV for Districtwise Distribution of Deep Tubewells according to Water Lifting Device", 
 "url": "http://data.gov.in/sites/default/files/dptbwlstate3.8.csv"
}
-----
"State","District","Submersible pumps","Turbine pumps","Others","Total"
"ANDHRA PRADESH","ADILABAD",67,0,1,68
"ANDHRA PRADESH","ANANTHAPUR",560,0,1,561
"ANDHRA PRADESH","CHITTOOR",28388,156,389,28933
"ANDHRA PRADESH","CUDDAPAH",20280,0,0,20280
"ANDHRA PRADESH","EAST GODAVARI",4055,23,9,4087
"ANDHRA PRADESH","GUNTUR",2129,60,265,2454
"ANDHRA PRADESH","KARIMNAGAR",334,1,3,338
"ANDHRA PRADESH","KHAMMAM",1005,19,88,1112
"ANDHRA PRADESH","KRISHNA",933,13,9,955
"ANDHRA PRADESH","KURNOOL",2562,10,5,2577
"ANDHRA PRADESH","MEDAK",539,0,0,539
"ANDHRA PRADESH","NALGONDA",48,14,0,62
"ANDHRA PRADESH","NELLORE",326,1,6,333
"ANDHRA PRADESH","NIZAMABAD",10,0,0,10
"ANDHRA PRADESH","PRAKASAM",1693,0,1,1694
"ANDHRA PRADESH","RANGAREDDY",1544,1,8,1553
"ANDHRA PRADESH","SRIKAKULAM",56,0,1,57
"ANDHRA PRADESH","VISAKHAPATNAM",7,0,1,8
"ANDHRA PRADESH","WARANGAL",722,15,50,787
"ANDHRA PRADESH","WEST GODAVARI",20927,147,0,21074
"ARUNACHAL PRADESH","PAPUMPARE",2,0,1,3
"ASSAM","BARPETA",1,10,0,11
"ASSAM","BONGAIGAON",15,2,0,17
"ASSAM","CACHAR",2,0,0,2
"ASSAM","DARRANG",81,50,0,131
"ASSAM","DHEMAJI",10,4,1,15
"ASSAM","DHUBRI",2,14,0,16
"ASSAM","DIBRUGARH",9,0,0,9
"ASSAM","GOALPARA",21,8,0,29
"ASSAM","GOLAGHAT",6,12,0,18
"ASSAM","HAILAKANDI",6,1,0,7
"ASSAM","JORHAT",18,77,6,101
"ASSAM","KAMRUP",25,6,2,33
"ASSAM","KARBIANGLONG",1,2,0,3
"ASSAM","KARIMGANJ",9,2,0,11
"ASSAM","KOKRAJHAR",4,0,0,4
"ASSAM","LAKHIMPUR",27,64,4,95
"ASSAM","MORIGAON",6,2,1,9
"ASSAM","NAGOAN",3,19,0,22
"ASSAM","NALBARI",35,9,0,44
"ASSAM","NC HILLS",1,0,0,1
"ASSAM","SIBSAGAR",12,9,0,21
"ASSAM","SONITPUR",3,5,0,8
"ASSAM","TINSUKIA",150,3,0,153
"BIHAR","AURANGABAD",54,17,25,96
"BIHAR","BANKA",3,0,0,3
"BIHAR","BEGUSARAI",188,55,9,252
"BIHAR","BHAGALPUR",124,31,0,155
"BIHAR","BHOJPUR",125,6,11,142
"BIHAR","BUXAR",129,12,14,155
"BIHAR","DARBHANGA",190,19,7,216
"BIHAR","EAST CHAMPARAN",144,108,30,282
"BIHAR","GAYA",36,23,0,59
"BIHAR","GOPAALGANJ",28,23,5,56
"BIHAR","JAMUI",0,3,0,3
"BIHAR","JEHANABAD",27,9,0,36
"BIHAR","KAIMUR (BHABUA)",139,7,1,147
"BIHAR","KATIHAR",23,37,7,67
"BIHAR","KHAGARIA",94,20,12,126
"BIHAR","KISHANGANJ",3,1,6,10
"BIHAR","LAKHISARAI",43,2,0,45
"BIHAR","MADHEPURA",22,5,8,35
"BIHAR","MADHUBANI",135,504,3,642
"BIHAR","MUNGER",1,1,0,2
"BIHAR","MUZAFFARPUR",172,37,40,249
"BIHAR","NALANDA",102,48,38,188
"BIHAR","NAWADA",91,59,0,150
"BIHAR","PATNA",252,30,26,308
"BIHAR","PURNIA",2,0,1,3
"BIHAR","ROHTAS(SASARAM)",58,27,3,88
"BIHAR","SAHARSA",4,11,0,15
"BIHAR","SAMASTIPUR",201,48,8,257
"BIHAR","SARAN",47,95,9,151
"BIHAR","SHEKHPURA",87,54,0,141
"BIHAR","SHEOHAR",4,15,0,19
"BIHAR","SITAMARHI",529,1319,0,1848
"BIHAR","SIWAN",59,21,25,105
"BIHAR","SUPAUL",31,11,0,42
"BIHAR","VAISHALI",49,21,0,70
"BIHAR","WEST CHAMPARAN",13,8,6,27
"CHANDIGARH","UT CHANDIGARH",57,0,0,57
"CHHATTISGARH","BASTER",4,0,0,4
"CHHATTISGARH","BILASPUR",1389,3,0,1392
"CHHATTISGARH","DANTEWADA",3,0,0,3
"CHHATTISGARH","DHAMTARI",8,0,0,8
"CHHATTISGARH","DURG",187,1,2,190
"CHHATTISGARH","JANJGIR-CHAMPA",2679,2,0,2681
"CHHATTISGARH","JASHPUR",1,0,0,1
"CHHATTISGARH","KANKER",3,0,3,6
"CHHATTISGARH","KORIA",4,0,0,4
"CHHATTISGARH","KVARDHA",59,0,11,70
