-----
{
 "description": "The table refers to Statewise Construction of Surface Flow Schemes over the years. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowNat4.1.csv", 
 "title": "Download CSV for Statewise Construction of Surface Flow Schemes over the years", 
 "url": "http://data.gov.in/sites/default/files/srfcflowNat4.1.csv"
}
-----
"State","Upto 1993-94","During 1994-95","During 1995-96","During 1996-97","During 1997-98","During 1998-99","During 1999-00","During 2000-01","Total (1994-01)"
"ANDHRA PRADESH",77838,659,513,478,431,635,729,1160,82443
"ARUNACHAL PRADESH",2425,230,200,253,212,207,168,258,3953
"ASSAM",1523,55,110,96,49,68,164,141,2206
"BIHAR",20860,507,424,253,69,34,20,34,22201
"CHHATTISGARH",43357,288,256,179,237,161,139,6832,51449
"GOA",3742,10,8,11,8,16,20,46,3861
"GUJARAT",13275,591,671,461,301,341,687,2399,18726
"HARYANA",609,59,37,41,9,13,1,2,771
"HIMACHAL PRADESH",13752,34,45,25,15,17,19,22,13929
"JAMMU & KASHMIR",5639,30,74,35,54,17,4,10,5863
"JHARKHAND",38493,1979,973,932,276,284,107,184,43228
"KARNATAKA",25879,1126,857,647,459,386,242,1177,30773
"KERALA",8091,435,476,429,450,417,436,223,10957
"MADHYA PRADESH",45645,2038,1969,1254,2423,949,605,1841,56724
"MAHARASHTRA",57982,1663,2798,1100,1196,801,884,1277,67701
"MANIPUR",40,14,10,28,30,24,58,108,312
"MEGHALAYA",9202,530,513,384,311,396,338,740,12414
"MIZORAM",6247,603,275,205,108,97,72,95,7702
"NAGALAND",13990,866,1157,841,1006,771,793,522,19946
"ORISSA",22437,2199,949,805,571,404,273,665,28303
"PUNJAB",1705,8,116,151,4,1,1,0,1986
"RAJASTHAN",2855,43,29,24,38,35,18,63,3105
"SIKKI M",855,2,8,19,28,5,8,151,1076
"TAMIL NADU",43297,303,360,369,78,41,8,1143,45599
"TRIPURA",262,25,50,51,110,69,182,187,936
"UTTAR PRADESH",4175,402,468,288,243,158,100,465,6299
"UTTARANCHAL",16794,1797,1376,1213,1191,1418,1061,676,25526
"WEST BENGAL",50139,1170,751,481,335,357,261,287,53781
"DADRA & NAGAR HAVELI",39,1,2,1,2,1,0,0,46
"DELHI",7,18,18,12,0,0,0,0,55
"PONDICHERRY",19452,12,42,1,0,0,0,635,20142
"ALL INDIA",550606,17697,15535,11067,10244,8123,7398,21343,642013
