-----
{
 "description": "This table provides details on the performance of Public Sector Undertakings (PSUs) for the year 2011-12.", 
 "file_name": "Performance_of_Public_Sector_Undertakings.xls", 
 "title": "Download XLS for Performance of Public Sector Undertakings Under The Ministry of Petroleum And Natural Gas For The Year 2011-12", 
 "url": "http://data.gov.in/sites/default/files/Performance_of_Public_Sector_Undertakings.xls"
}
-----
"Performance Parameters (Unit)","ONGC","OIL","GAIL","IOC","HPCL","BPCL","EIL","BRPL","NRL","CPCL","Balmer Lawrie","MRPL","OVL","Biecco Lawrie"
"Authorised Capital(Rs./Crore)",15000.0,2000.0,2000.0,6000.0,350.0,450.0,300.0,200.0,1000.0,400.0,30.0,2000.0,1000.0,75.0
"Paid up Capital(Rs./Crore)",4278.0,240.45,1268.48,2427.95,338.63,361.54,168.47,199.82,735.63,149.0,16.29,1757.26,1000.0,74.76
"Govt. equity in the PSU(%age)",69.23,78.43,57.35,78.92,51.11,54.93,80.401,"Nil",0.0,0.0,0.0,0.0,0.0,99.56
"Gross Turnover(Rs./Crore)",76887.0,9863.23,40281.0,409956.97,188130.95,222393.72,3698.82,6651.02,14027.75,45384.91,2449.75,57206.76,22223.27,47.29
"PAT(Rs./Crore)",25123.0,3446.92,3654.0,3954.62,911.43,1311.27,636.32,306.82,183.7,61.83,138.07,908.58,2721.15,-15.27
"Debt equity ratio(Ratio)",0.0,0.001,0.25,1.3,0.66,1.54,0.0,"0.24:1",0.02,0.97,"NULL",0.54,1.01,12.14
"Reserves & Surpluses(Rs./Crore)",108679.0,17480.89,20356.0,55448.75,12783.51,14552.32,1675.58,1081.18,1963.63,3644.13,602.62,5471.94,18941.11,0.31
"Networth(Rs./Crore)",111784.0,17721.34,21449.0,57876.7,13123.0,14913.86,1844.05,1281.62,2699.26,3793.13,618.91,7229.2,19941.11,14.94
"Dividend paid / payable(Rs./Crore)",8342.0,1142.15,1104.0,1213.98,287.83,397.7,202.15,"NA",73.56,29.78,45.6,203.69,0.0,0.0
"Dividend as a %age of PAT(%age)",33.2,33.14,30.2,30.7,31.58,30.33,31.77,0.0,40.04,48.16,33.03,22.42,0.0,0.0
"EPS(Rs.)",29.36,57.34,29.0,16.29,26.92,36.27,18.89,15.35,2.5,4.15,84.78,5.18,272.12,"NULL"
"Total outstanding loan(Rs./Crore)",4500.0,1013.0,5347.0,75447.29,29831.24,22993.69,0.0,308.15,307.62,3672.34,0.0,3891.91,20180.95,17.7
