-----
{
 "description": "This table consists of state-wise per capita sales of petroleum products in India during 2004-05 to 2011-12.\r", 
 "file_name": "State-wise_Per_Capita_Sales_of_Petroleum_Products.xls", 
 "title": "Download XLS for State-wise Per Capita Sales of Petroleum Products During 2004-05 To 2011-12", 
 "url": "http://data.gov.in/sites/default/files/State-wise_Per_Capita_Sales_of_Petroleum_Products.xls"
}
-----
"State/UT","2003-04","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12*"
"Andhra Pradesh",85.9,86.4173228346,78.8,84.6,100.928679818,112.9,113.25110005,116.573769711,124.548224789
"Arunachal Pradesh",80.0,83.6363636364,82.3,81.3,89.3155258765,90.8,110.561056106,110.839445803,104.844540853
"Assam",46.3,50.6367041199,47.7,46.0,48.7175131646,50.9,55.7120815724,56.7718856613,56.6909429241
"Bihar",26.7,26.5662650602,24.4,25.0,28.1951875941,31.5,35.3692673584,37.1930406997,35.8749578537
"Chhattisgarh",50.0,61.4903846154,59.9,62.6,70.0502814904,75.9,77.5,79.6105144385,77.5254502741
"Delhi",237.2,253.45323741,228.3,260.4,248.245355352,233.6,237.139416184,227.488151659,256.312302274
"Goa",656.9,743.076923077,631.0,651.4,653.50877193,646.5,633.232628399,631.855309218,724.279835391
"Gujarat",164.5,161.932938856,135.0,136.4,138.452301063,274.1,299.874638716,275.759032834,270.154345522
"Haryana",179.7,188.625592417,178.0,193.5,236.192131066,256.1,304.386713827,338.569144684,362.323985327
"Himachal Pradesh",88.4,92.4590163934,91.8,95.9,110.083396513,114.2,135.845091564,145.808561237,154.440717515
"Jammu & Kashmir",71.1,74.2574257426,75.1,77.5,84.4807675224,86.0,99.8773436131,96.1272475795,96.1032751614
"Jharkhand",52.5,58.8475836431,54.8,51.0,53.609887015,57.8,64.4539544608,69.2332474227,68.7071528241
"Karnataka",98.7,102.045454545,96.6,102.7,112.006950478,120.1,127.154913116,131.606693422,132.093373248
"Kerala",129.2,112.672955975,105.6,107.07,113.632329448,131.3,141.942870563,143.10691494,147.897448185
"Madhya Pradesh",62.1,62.736318408,51.9,52.9,54.7448972169,63.4,64.4662861067,70.8937368051,71.5722196204
"Maharashtra",128.8,133.06501548,128.0,132.1,145.741488534,144.4,145.317791389,147.653845462,152.082795689
"Manipur",40.0,42.7272727273,42.1,40.5,47.3773265651,51.8,58.0860844129,42.5444031392,49.5958853784
"Meghalaya",95.2,101.304347826,98.0,98.5,108.695652174,126.6,137.109375,151.67888846,153.846153846
"Mizoram",74.4,72.2222222222,75.9,73.8,77.3195876289,81.5,85.626911315,89.6273917422,91.6590284143
"Nagaland",34.5,44.0,40.6,40.3,38.231229848,39.1,42.7856167501,49.4826810616,59.0610802625
"Orissa",50.2,54.8913043478,51.6,52.2,61.0263522885,66.3,74.5783885072,81.1631879967,79.8865234701
"Pondicherry",327.0,377.0,382.2,422.4,406.976744186,389.1,431.728492502,419.233658903,440.514469453
"Punjab",180.9,189.016393443,169.4,179.8,189.09512761,200.1,219.572611653,203.741596025,206.07132544
"Rajasthan",96.6,96.8849557522,76.1,86.1,92.9587504261,120.2,106.428027418,108.179775281,126.317016657
"Sikkim",126.0,110.0,109.0,89.2,96.4467005076,112.0,137.123745819,160.330578512,152.960526316
"Tamil Nadu",134.3,136.217948718,129.6,131.0,148.670317369,163.1,169.981672325,177.833820808,175.2450131
"Tripura",37.8,36.5625,37.4,39.0,40.3895731882,45.0,47.8482446206,51.4829322888,50.93979842
"Uttar Pradesh",57.5,59.5066185319,53.3,50.9,51.4312445468,55.5,58.6954165656,58.8074273461,59.7301346321
"Uttarakhand",84.6,88.7058823529,85.6,92.4,101.040900011,106.4,121.168185584,124.693877551,123.257882772
"West Bengal",57.8,60.5486284289,55.6,54.5,58.9114316915,59.7,62.2616377691,67.3741668452,64.9384770329
"Chandigarh",230.0,245.555555556,211.4,212.4,189.079054605,208.4,233.094669849,231.725146199,290.995260664
"Daman & Diu","NA","NA","NA","NA","NA","NA","NA","NA",473.251028807
"Dadra & Nagar Haveli",820.0,965.0,739.6,636.8,642.458100559,627.2,763.3,1332.34421365,833.819241983
"Others",178.0,228.0,240.0,273.7,296.153846154,261.6,266.8,290.613718412,333.333333333
"Total All India ",112.9,116.829671398,111.7,115.5,93.59554272,106.9,112.472034686,115.786177446,116.345616743
