-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "MeghalayaNSDPcurrent.csv", 
 "title": "Download CSV for Meghalaya Net State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/MeghalayaNSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","34100","37446","46274","51995","58980","64542","75573","84161","92736","97718","102691","107551"
"Foresty and Logging","1913","2736","3218","3079","2841","2930","2990","3360","3569","3981","4628","5427"
"Fishing","1448","1257","1193","1403","1554","1547","1722","2676","1956","2839","2627","2790"
"Mining and Quarrying","4428","6164","6050","6838","6044","14815","15027","19116","26087","24491","28790","37806"
"Sub total of primary","41889","47603","56735","63315","69419","83834","95312","109313","124348","129029","138736","153574"
"Manufacturing","3365","4571","5189","5759","5132","5182","5849","6448","6166","9772","10703","11739"
"Registered","1150","1418","1532","2054","1565","1804","2103","2049","2245","5688","6182","6719"
"Unregistered","2215","3153","3657","3705","3567","3378","3746","4399","3921","4084","4521","5020"
"Construction","9885","9878","13628","15540","20579","23732","26215","34823","39366","43946","48023","48564"
"Electricity, Gas and water Supply","2317","-23","1379","1247","1816","1683","1553","2690","1277","1378","1487","1603"
"Sub total of secondary","15567","14426","20196","22546","27527","30597","33617","43961","46809","55096","60213","61906"
"Transport Storage and Communication","4338","4689","5336","5792","6916","8681","10355","11261","12304","15398","17122","19026"
"Railways","0","0","0","0","0","0","0","0","0","0","0","0"
"Transport by other means","3897","4245","4832","5283","6315","8046","9127","9973","11307","11849","12827","13827"
"Storage","5","5","8","6","11","13","8","17","10","9","9","10"
"Communication","436","439","496","503","590","622","1220","1271","987","3540","4286","5189"
"Trade, hotels and restaurants","19284","22892","26484","29116","30892","37709","41755","48802","56072","56922","63853","71133"
"Banking and Insurance","2914","3368","4202","4761","5705","6911","7248","9444","10749","13482","15519","17864"
"Real estate, ownership of dwelling and business","17900","19381","20742","23162","25067","26376","28700","33293","34402","38310","41862","45942"
"Pubic Administration","17807","18797","22397","24779","32068","39489","43601","47049","48571","53139","59444","63652"
"Other Services","11191","12040","16811","16372","19002","24340","30221","30636","36617","36183","38125","42318"
"Sub total of tertiary","73434","81167","95972","103982","119650","143506","161880","180485","198715","213434","235925","259935"
"State domestic product","130890","143196","172903","189843","216596","257937","290809","333759","369872","397559","434874","475415"

"Figures are in Rs. Lakh"
