-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 1993-94.", 
 "file_name": "SikkimGSDPcurrent_1.csv", 
 "title": "Download CSV for Sikkim Gross State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/SikkimGSDPcurrent_1.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","12856","13635","16014","17963","19664","16201","17570","19782","20522","25001","27501","29029","31288"
"Foresty and Logging","917","993","1079","1176","1284","1400","1533","1720","1870","1982","2121","2282","2449"
"Fishing","30","32","50","52","55","61","63","67","70","78","80","82","87"
"Mining and Quarrying","93","111","106","107","101","148","114","162","82","36","43","49","49"
"Sub total of primary","13896","14771","17249","19298","21104","17810","19280","21731","22544","27097","29745","31442","33873"
"Manufacturing","2205","2399","2745","2942","3035","3190","3270","3402","3467","3554","3764","3997","4171"
"Registered","931","1001","1139","1207","1256","1328","1380","1428","1436","1477","1558","1648","1711"
"Unregistered","1274","1398","1606","1735","1779","1862","1890","1974","2031","2077","2206","2349","2460"
"Construction","5160","5742","7600","9261","10770","11269","11936","14995","19872","24762","29019","35423","42976"
"Electricity, Gas and water Supply","1015","1175","1402","1512","1636","2174","2928","6635","7619","5270","6824","6828","7073"
"Sub total of secondary","8380","9316","11747","13715","15441","16633","18134","25032","30958","33586","39607","46248","54220"
"Transport Storage and Communication","887","1173","1300","1652","1981","2432","2524","2842","3297","4164","5217","5758","6801"
"Railways","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Transport by other means","887","1173","1300","1652","1981","2432","2524","2842","3297","4164","5217","5758","6801"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Trade, hotels and restaurants","2997","3127","3649","4428","5085","4415","4575","5404","5567","6351","6937","7322","7906"
"Banking and Insurance","514","654","812","946","1167","1408","1840","2343","2849","3639","4121","4667","5630"
"Real estate, ownership of dwelling and business","3461","3614","3819","4166","4794","5505","6887","7832","8672","9497","10404","11399","12521"
"Pubic Administration","5646","6091","6885","7680","9718","15248","15716","16311","17482","20770","23062","25307","28266"
"Other Services","4489","5289","6579","7361","8707","15258","15470","15654","16646","18322","19525","20910","22483"
"Sub total of tertiary","17994","19948","23044","26233","31452","44266","47012","50386","54513","62743","69266","75363","83607"
"State domestic product","40270","44034","52039","59246","67996","78708","84427","97148","108015","123424","138618","153054","171697"

"Figures are in Rs. Lakh"
