-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 2004-05. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "TripuraNSDPconst_1.csv", 
 "title": "Download CSV for Tripura Net State Domestic Product at factor cost at Constant Prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/TripuraNSDPconst_1.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09 (P)","2009-10 (A)","2010-11 (Q)","2011-12(AQ)","2012-13"
"Agriculture","176851","180045","194777","233980","241813","234457","239146","243929","248808"
"Foresty and Logging","24269","25795","25912","25882","35370","51608","61930","69567","75200"
"Fishing","11924","13325","15605","18407","20773","23982","27339","30998","39337"
"Ag and Allied","213044","219165","236294","278269","297956","310047","328415","344494","363345"
"Mining and Quarrying","10695","10510","11237","11670","13023","14294","15580","16983","21885"
"Sub total of primary","223739","229675","247531","289939","310979","324341","343996","361477","385230"
"Manufacturing","32893","21588","24021","26110","25732","28604","31357","34403","48548"
"Registered","22276","9165","9582","10123","9714","10765","11734","12777","20759"
"Unregistered","10617","12423","14439","15987","16018","17839","19623","21626","27789"
"Construction","135964","168428","191208","187852","205057","225202","243218","264975","296173"
"Electricity, Gas and water Supply","5805","10447","9056","9492","14031","21964","26357","31628","40954"
"Sub total of secondary","174662","200463","224285","223454","244820","275770","300932","331006","385675"
"Industry","185357","210973","235522","235124","257843","290064","316512","347989","407560"
"Transport Storage and Communication","23313","27185","33171","43199","49109","68038","79627","91181","102244"
"Railways","117","123","155","173","135","130","139","134","143"
"Transport by other means","15033","16033","17722","24199","28026","41412","47210","53819","53008"
"Storage","170","183","205","234","235","393","432","606","761"
"Communication","7993","10846","15089","18593","20713","26103","31846","36623","48332"
"Trade, hotels and restaurants","110520","111561","109596","110171","124289","134086","142131","152516","166755"
"Banking and Insurance","15753","20729","24782","27979","30187","37489","44612","53301","52647"
"Real estate, ownership of dwelling and business","44540","47557","50211","56662","63987","69441","74996","80887","95933"
"Pubic Administration","89015","96375","117885","109085","119430","141988","156187","174929","180600"
"Other Services","135427","137273","138343","147731","171828","177576","182903","194425","195500"
"Sub total of tertiary","418568","440680","473988","494827","558830","628618","680456","747239","793679"
"State domestic product","816969","870818","945804","1008220","1114629","1228729","1325384","1439722","1564584"

"Figures are in Rs. Lakh"
