-----
{
 "description": "The table refers to state's gross state domestic product at factor cost at constant prices for the base year 2004-05 by economic activity.", 
 "file_name": "GSDPConsChhattisgarh.csv", 
 "title": "Download CSV for Gross State Domestic Product of Chhattisgarh at factor cost at constant prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/GSDPConsChhattisgarh.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"Agriculture",705744,832472,873831,974345,835891,926819,1159381,1232281,1297275
"Forestry & Logging",257701,255423,262794,273137,273002,278060,289773,291329,305000
"Fishing",52465,57568,60191,60898,69342,73514,99714,109537,120329
"Agriculture & Allied",1015910,1145462,1196815,1308379,1178235,1278393,1548868,1633147,1722604
"Mining & Quarrying",536715,571913,640056,671729,740486,758353,804936,811814,888405
"Manufacturing",1047925,855197,1290532,1453736,1489014,1327348,1258646,1370288,1464748
"Manufacturing - Registered",935064,736177,1155549,1304310,1335891,1169433,1090283,1189049,1271914
"Manufacturing - Unregistered",112861,119019,134983,149426,153123,157915,168363,181239,192834
"Construction",327428,408127,574353,556165,595234,686329,780459,834888,887869
"Electricity, Gas and Water supply",210074,206128,204466,227750,497366,457486,448990,509160,522651
"Industry",2122142,2041364,2709407,2909379,3322100,3229516,3293031,3526150,3763673
"Transport, Storage & Communication",231187,249364,296819,333814,371151,407324,442718,502485,582149
"Railways",54939,58269,70727,73814,80957,91972,86681,99513,126691
"Transport by other means",128850,142907,163381,185585,204699,220672,245068,273125,303436
"Storage",5127,4881,5513,6055,6749,7585,7855,8414,8998
"Communication",42271,43307,57198,68360,78746,87095,103114,121432,143024
"Trade, Hotels and restaurants",409082,433713,494142,556069,640277,638876,721427,765586,816383
"Banking & Insurance",111485,134604,173825,198957,229633,294546,371533,459673,624445
"Real estate, Ownership of dwellings and Business services",315708,332738,351174,369018,389388,404562,421676,440417,463314
"Public Administration",165767,189468,183538,187376,222301,261933,303590,331123,370719
"Other services",414949,414060,454097,501385,545126,619113,726845,808777,850042
"Services",1648178,1753948,1953594,2146618,2397876,2626353,2987789,3308061,3707053
"State Domestic Product",4786229,4940774,5859816,6364377,6898211,7134262,7829688,8467358,9193330
