-----
{
 "description": "This table provides data related to outlays and expenditure of Revised National TB Control Programme (RNTCP) during Ninth Plan 1997-2001.", 
 "file_name": "Outlays_and_Expenditure_of_Revised_National_TB_Control_Programme_during_Ninth_Plan.xls", 
 "title": "Download XLS for Outlays and Expenditure of Revised National TB Control Programme during Ninth Plan", 
 "url": "http://data.gov.in/sites/default/files/Outlays_and_Expenditure_of_Revised_National_TB_Control_Programme_during_Ninth_Plan.xls"
}
-----
"YEAR / Plan Period","OUTLAY ","Expd./RE"
"9TH PLAN ",45000.0,"NA"
"1997-98  ",9000.0,3131.0
"1998-99  ",12500.0,6888.0
"1999-00  ",10500.0,8754.0
"2000-01  ",12500.0,10875.0
"2001-02  ",13600.0,13200.0
