-----
{
 "description": "This table gives an overview of central road sector outlay and expenditure at current price for Eleventh Plan. ", 
 "file_name": "Central_Road_Sector_Outlay_And_Expenditure_At_Current_Price_For_Eleventh_Plan.xls", 
 "title": "Download XLS for Central Road Sector Outlay And Expenditure At Current Price For Eleventh Plan ", 
 "url": "http://data.gov.in/sites/default/files/Central_Road_Sector_Outlay_And_Expenditure_At_Current_Price_For_Eleventh_Plan.xls"
}
-----
"Schemes/Programmes","11th plan (2007-12) Outlay","AP 2007-08 (BE)","AP 2007-08 (Exp.)","AP 2008-09(BE)","AP 2008-09(Exp)","AP 2009-10BE","AP 2009-10 Exp.","AP 2010-11(BE)","AP 2010-11Exp.)","AP 2011-12(BE)","AP 2011-12(Exp.)(Prov.)","Total Outlay for 11th Plan (BE)","Total Expenditure at Current Prices (prov. for 2011-12"
"External aided projects - Externally aided (NHAI)",3563.2,1788.8,1776.0,1515.0,1515.0,272.0,272.0,320.0,320.0,0.0,0.0,3895.8,3883.0
"External aided projects - Counterpart funds (NHAI)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0
"(v) Loan to NHAI",890.8,447.2,444.0,379.0,379.0,68.0,68.0,80.0,80.0,"NA","NA",974.2,971.0
"(vi) EAP under RW","NA","NA","NA","NA","NA","NA","NA",100.0,"NA",80.0,0.0,180.0,0.0
"EAP-NHAI",4454.0,2236.0,2220.0,1894.0,1894.0,340.0,340.0,500.0,400.0,100.0,0.0,5070.0,4854.0
"Other Schemes-NH (O)",16500.0,2079.25,2011.07,2142.79,2852.7,3342.55,4298.12,3958.1,4496.35,4964.34,4519.58,16487.03,18177.82
"Rail cum Road Bridge, Munger, Bihar",392.0,0.0,0.0,40.0,40.0,60.0,60.0,100.0,100.0,180.0,72.0,380.0,272.0
"Development of roads in LWE affected area",0.0,0.0,0.0,0.0,0.0,500.0,5.0,1000.0,718.05,825.0,792.47,2325.0,1515.52
"Development of Vijawada-Ranchi Road",0.0,0.0,0.0,"NA","NA",200.0,0.0,100.0,0.0,100.0,67.25,400.0,67.25
"Tribal Sub Plan",0.0,0.0,0.0,"NA","NA","NA","NA","NA","NA",375.0,374.96,375.0,374.96
"Mughal Road in Jammu & Kashmir",127.5,0.0,0.0,30.0,0.0,20.0,0.0,"NA","NA","NA","NA",50.0,0.0
"Improvement of Duburi-Brahmanipal-Harichandanpur-Naranpur State Road in Orissa (POSCO)",140.85,0.0,0.0,40.0,40.0,30.0,0.0,20.0,0.0,33.02,33.02,123.02,73.02
"Works under BRDB",2500.0,499.76,623.93,650.0,645.8,600.0,723.49,700.0,693.0,700.0,515.0,3149.76,3201.22
"Travel expenses (domestic)","NA","NA","NA",2.0,1.24,2.0,1.2,2.0,1.31,2.0,1.22,8.0,4.97
"Other charges",64.0,0.5,0.5,0.5,0.13,0.5,0.0,0.5,0.03,0.5,0.0,2.5,0.66
"Development of Information Technology","",9.5,0.32,3.5,0.71,3.5,3.05,3.5,1.1,3.5,1.74,23.5,6.92
"Strategic roads under Roads Wing",0.0,7.0,6.35,"NA","NA","NA","NA",5.0,0.0,"NA","NA",12.0,6.35
"Strategic roads under BRDB",500.0,67.0,61.45,78.0,76.96,60.0,82.17,100.0,72.66,105.0,53.0,410.0,346.24
"R&D Planning studies",100.0,8.5,0.2,8.5,0.71,5.5,3.84,6.0,0.92,5.5,0.48,34.0,6.15
"Training","",1.5,0.35,1.5,0.16,1.5,0.39,1.5,0.0,1.5,0.11,7.5,1.01
"Machinery and equipments","NA","NA","NA",10.0,3.07,15.0,0.53,15.0,0.01,5.0,0.0,45.0,3.61
"Charged expenditure",36.0,6.0,5.93,6.0,2.07,6.0,5.32,6.0,0.21,7.0,0.0,31.0,13.53
"NHAI (investment)",36238.0,6541.06,6541.06,6972.47,6972.47,8578.45,7404.7,7848.98,8440.94,8250.0,6187.0,38190.96,35546.17
"E&I for States from CRF",900.0,264.93,169.7,180.74,175.65,216.97,104.35,195.75,208.23,232.27,173.74,1090.66,831.67
"E&I for UTs from CRF",0.0,9.0,1.6,10.0,0.0,16.03,0.0,14.67,0.0,17.48,2.04,67.18,3.64
"NHDP-III, two-laning expressways and six-laning",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SARDP-NE",9877.65,710.0,698.02,1200.0,643.72,1200.0,658.55,1500.0,1044.49,1600.0,1939.98,6210.0,4984.76
"Strategic roads in Arunachal Pradesh under Ministry of Defense",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"NHAI(Toll Remittance)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1623.0,1623.0,2092.89,2692.89,3715.89,4315.89
"Total (BS)",71830.0,12440.0,12340.48,13270.0,13349.39,15198.0,13690.71,17700.0,17800.3,19600.0,17426.48,78158.0,74607.36
"IEBR",34829.0,2090.0,305.18,4100.0,1630.74,5000.0,1273.26,7455.0,2100.0,17500.0,12500.0,36145.0,17809.18
"Total GBS + IEBR",106659.0,14530.0,12645.66,17370.0,14980.13,20198.0,14963.97,25155.0,19900.3,37100.0,29926.48,114303.0,92416.54
"Private Sector Investment",86792.0,7325.0,7057.38,13938.0,8179.75,16071.66,8944.61,21256.0,15354.37,23301.68,25749.38,81892.34,65285.49
"Pvt Sec (non-NHDP)",0.0,0.0,60.0,"NA",43.68,"NA",142.33,"NA",129.49,"NA",0.0,"NA",375.5
"Total Pvt Sect",0.0,7325.0,7117.38,13938.0,8223.43,16071.66,9086.94,21256.0,15483.86,23301.68,25749.38,81892.34,65660.99
"Total Central Roads Sector",0.0,21855.0,19763.04,31308.0,23203.56,36269.66,24050.91,46411.0,35384.16,60401.68,55675.86,196195.34,158077.53
