-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "PondicherryNSDPconst.csv", 
 "title": "Download CSV for Puducherry Net State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/PondicherryNSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","8048","9769","8726","7970","6603","8523","8947","9057","7734","7060","6932","5844","5297"
"Foresty and Logging","845","866","885","910","935","959","660","655","671","663","655","647","639"
"Fishing","5903","5036","5154","4460","4752","5288","5594","5792","5912","5885","5857","4558","5817"
"Mining and Quarrying","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sub total of primary","14796","15671","14765","13340","12290","14770","15201","15504","14317","13608","13444","11049","11753"
"Manufacturing","21637","20488","17126","49448","82280","86454","81161","104927","111243","142588","166603","179465","185051"
"Registered","16428","13127","9320","36808","68654","73241","67861","90448","96292","126580","149482","161154","165481"
"Unregistered","5209","7361","7806","12640","13626","13213","13300","14479","14951","16008","17121","18311","19570"
"Construction","4685","4853","4804","4893","4943","5449","5624","4806","4849","4895","4929","4954","4965"
"Electricity, Gas and water Supply","-1665","-1772","-1868","-1972","-2296","-2184","-2291","-2389","-2454","-2567","-2685","-2811","-2941"
"Sub total of secondary","24657","23569","20062","52369","84927","89719","84494","107344","113638","144916","168847","181608","187075"
"Transport Storage and Communication","1264","1237","1515","1913","2518","4270","5078","5833","8873","10403","14802","21913","33811"
"Railways","6","12","19","2","1","13","13","12","11","9","9","9","9"
"Transport by other means","945","833","1005","1351","1837","3440","3999","4469","4616","4758","4897","5041","5183"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","313","392","491","560","680","817","1066","1352","4246","5636","9896","16863","28619"
"Trade, hotels and restaurants","13071","13455","15872","19995","24524","30719","35797","39491","39469","39828","35910","40458","40741"
"Banking and Insurance","4149","3575","4332","4852","5520","6050","5424","6231","6409","8117","8721","9375","10079"
"Real estate, ownership of dwelling and business","10062","10751","14421","12331","12745","12926","13525","14914","16765","17870","19028","20258","21551"
"Pubic Administration","4997","4901","5105","5127","5556","7769","9088","8967","9133","5659","6777","4737","1623"
"Other Services","9928","10293","10948","11237","10903","13228","15137","16733","16126","17924","19899","22092","24507"
"Sub total of tertiary","43471","44212","52193","55455","61766","74962","84049","92169","96775","99801","105137","118833","132312"
"State domestic product","82923","83452","87021","121164","158983","179451","183744","215017","224730","258326","287427","311490","331140"

"Figures are in Rs. Lakh"
