-----
{
 "description": "The table refers to statewise distribution of shallow tubewells according to major/medium projects and  average pumping hours . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Stateshtbwl2.11.csv", 
 "title": "Download CSV for Statewise Distribution of Shallow Tubewells according to Major/Medium projects and  Average Pumping Hours for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Stateshtbwl2.11.csv"
}
-----
State,On the Maj/Med,Outside Command,Total,Avg pumping hours (0-4),Avg pumping hours (4 - 8),Avg pumping hours (8-12),Avg pumping hours (12 -16),Avg pumping hours (16 - 20),Avg pumping hours (20 - 24),Total
ANDHRA PRADESH,54689,262508,317197,60836,152027,80789,15124,5792,2629,317197
ARUNACHAL PRADESH,0,0,0,0,0,0,0,0,0,0
ASSAM,0,27072,27072,15412,11281,378,1,0,0,27072
BIHAR,42591,546928,589519,96731,443257,43497,4140,1212,682,589519
GOA,0,28,28,19,7,2,0,0,0,28
GUJARAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HARYANA,110542,383752,494294,61433,286095,122079,10172,4215,10300,494294
HIMACHAL PRADESH,63,1561,1624,362,704,474,61,23,0,1624
JAMMU & KASHMIR,34,1279,1313,945,368,0,0,0,0,1313
KARNATAKA,10170,69426,79596,20311,46467,9720,1464,901,733,79596
KERALA,118,2246,2364,1897,373,62,26,4,2,2364
MADHYA PRADESH,3784,117720,121504,9237,46242,36980,22642,6100,303,121504
MAHARASHTRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MANIPUR,0,36,36,0,36,0,0,0,0,36
MEGHALAYA,97,13,110,45,65,0,0,0,0,110
MIZORAM,0,0,0,0,0,0,0,0,0,0
NAGALAND,0,6,6,0,6,0,0,0,0,6
ORISSA,2911,15184,18095,7681,7845,2045,407,100,17,18095
PUNJAB,426825,517384,944209,52234,426568,447421,10714,3296,3976,944209
RAJASTHAN,1257,61842,63099,14650,36759,10869,471,144,206,63099
SIKKIM,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,40861,35460,76321,14744,32376,17570,7764,3100,767,76321
TRIPURA,0,136,136,98,31,1,0,0,6,136
UTTAR PRADESH,301096,1681470,1982566,323742,1237276,369348,39685,10494,2021,1982566
WEST BENGAL,55042,449596,504638,85452,185314,152220,56949,24703,0,504638
ANDAMAN & NICOBARS,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,0,0,0,0,0,0,0,0,0,0
DADRA & NAGAR HAVELI,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DELHI,152,8868,9020,907,4781,3193,125,13,1,9020
LAKSHADWEEP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PONDICHERRY,1,3894,3895,236,1583,925,298,311,542,3895
All India,1050233,4186409,5236642,766972,2919461,1297573,170043,60408,22185,5236642
