-----
{
 "description": "The table refers to block wise distribution of shallow tubewells according to average length of water conveyance channel . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.12.csv", 
 "title": "Download CSV for Block wise Distribution of Shallow Tubewells according to average length of water conveyance channel for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.12.csv"
}
-----
State,District,Block,Total Number of Tubewells, Avg length of Pucca Channel,Avg length of Kuccha Channel,Avg length of Under gr. Channel
ANDHRA PRADESH,ADILABAD,ADILABAD,21,0,18,21
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,62,1,85,67
ANDHRA PRADESH,ADILABAD,BELA,24,1,18,37
ANDHRA PRADESH,ADILABAD,BHAINSA,1081,0,39,28
ANDHRA PRADESH,ADILABAD,BOATH,682,5,40,3
ANDHRA PRADESH,ADILABAD,CHENNUR,4,0,23,0
ANDHRA PRADESH,ADILABAD,DAHEGAON,12,0,16,0
ANDHRA PRADESH,ADILABAD,DILAWARPUR,648,1,58,9
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,11,0,36,0
ANDHRA PRADESH,ADILABAD,ICHODA,211,1,146,4
ANDHRA PRADESH,ADILABAD,JAINAD,15,0,15,24
ANDHRA PRADESH,ADILABAD,JAINOOR,2,0,45,0
ANDHRA PRADESH,ADILABAD,JAIPUR,1,0,1,0
ANDHRA PRADESH,ADILABAD,KADDAM (PEDDUR),2,0,2,0
ANDHRA PRADESH,ADILABAD,KOTAPALLE,204,0,8,0
ANDHRA PRADESH,ADILABAD,KUBEER,428,0,58,30
ANDHRA PRADESH,ADILABAD,KUNTALA,736,1,75,54
ANDHRA PRADESH,ADILABAD,LAHESRA,1004,0,63,24
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,43,3,90,61
ANDHRA PRADESH,ADILABAD,MUDHOLE,950,0,102,156
ANDHRA PRADESH,ADILABAD,NARNOOR,1,0,60,0
ANDHRA PRADESH,ADILABAD,NENNAL,4,0,23,0
ANDHRA PRADESH,ADILABAD,NERADIGONDA,103,2,16,101
ANDHRA PRADESH,ADILABAD,NIRMAL,126,20,101,76
ANDHRA PRADESH,ADILABAD,SARANGAPUR,545,0,22,0
ANDHRA PRADESH,ADILABAD,SIRPUR (T),12,0,64,0
ANDHRA PRADESH,ADILABAD,TALAMADUGU,81,29,13,9
ANDHRA PRADESH,ADILABAD,TAMSI,55,0,64,20
ANDHRA PRADESH,ADILABAD,TANUR,197,0,166,0
ANDHRA PRADESH,ANANTHAPUR,AGALI,172,3,14,0
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,50,20,48,53
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,225,3,24,3
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,292,18,12,13
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,130,0,19,9
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,311,1,3,81
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,375,47,20,13
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,367,0,19,27
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,317,0,32,22
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,1097,2,16,20
ANDHRA PRADESH,ANANTHAPUR,CHENNEKOTHAPALLE,142,3,32,43
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,239,2,16,46
ANDHRA PRADESH,ANANTHAPUR,D.HIREHAL,732,6,23,73
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,232,18,15,27
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,37,2,22,37
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,758,2,16,112
ANDHRA PRADESH,ANANTHAPUR,GOOTY,253,0,49,77
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,207,7,7,0
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,176,2,21,2
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATA,464,0,5,43
ANDHRA PRADESH,ANANTHAPUR,GUNTAKAL,213,0,50,35
ANDHRA PRADESH,ANANTHAPUR,HINDUPUR,558,0,22,3
