-----
{
 "description": "The table refers to Block wise Distribution of Shallow Tubewells according to Horse Power of Lifting Device. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbdistr2.10.csv", 
 "title": "Download CSV for Blockwise Distribution of Shallow Tubewells according to Horse Power of Lifting Device", 
 "url": "http://data.gov.in/sites/default/files/shltbdistr2.10.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Horse Power (0-2),Horse Power (2 - 4),Horse Power (4 - 6),Horse Power (6 -8),Horse Power (8 - 10),Horse Power (Above 10),Unspecified,Total
ANDHRA PRADESH,ADILABAD,ADILABAD,22,0,50,124,8,0,0,204
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,0,0,125,15,0,0,0,140
ANDHRA PRADESH,ADILABAD,BEJJUR,12,5,0,0,0,0,0,17
ANDHRA PRADESH,ADILABAD,BELA,0,0,0,6,0,0,0,6
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,0,0,0,3,0,0,0,3
ANDHRA PRADESH,ADILABAD,BHAINSA,0,8,2,1761,0,0,1,1772
ANDHRA PRADESH,ADILABAD,BHEEMINI,0,0,52,1,0,0,1,54
ANDHRA PRADESH,ADILABAD,BOATH,0,1,15,714,0,0,0,730
ANDHRA PRADESH,ADILABAD,CHENNUR,0,1,276,10,0,0,0,287
ANDHRA PRADESH,ADILABAD,DAHEGAON,0,0,50,2,0,0,1,53
ANDHRA PRADESH,ADILABAD,DILAWARPUR,0,0,33,1058,0,0,0,1091
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,0,0,6,101,0,0,0,107
ANDHRA PRADESH,ADILABAD,ICHODA,0,23,128,217,0,0,0,368
ANDHRA PRADESH,ADILABAD,INDERAVELLY,0,0,3,57,1,4,0,65
ANDHRA PRADESH,ADILABAD,JAINAD,0,0,0,140,0,0,1,141
ANDHRA PRADESH,ADILABAD,JAIPUR,0,11,42,77,0,0,0,130
ANDHRA PRADESH,ADILABAD,KERAMERI,0,0,8,1,0,0,0,9
ANDHRA PRADESH,ADILABAD,KOTAPALLE,0,172,172,145,1,0,0,490
ANDHRA PRADESH,ADILABAD,KOUTHALA,0,0,2,31,0,0,0,33
ANDHRA PRADESH,ADILABAD,KUBEER,0,0,216,394,1,0,0,611
ANDHRA PRADESH,ADILABAD,KUNTALA,0,0,30,1251,0,1,8,1290
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,0,0,17,147,0,0,0,164
ANDHRA PRADESH,ADILABAD,LOHESRA,0,0,105,1402,0,0,3,1510
ANDHRA PRADESH,ADILABAD,MAMDA,0,211,514,149,0,0,0,874
ANDHRA PRADESH,ADILABAD,MANCHERIAL,0,0,1,13,0,0,0,14
ANDHRA PRADESH,ADILABAD,MUDHOLE,0,0,162,1142,15,0,6,1325
ANDHRA PRADESH,ADILABAD,NARNOOR,0,3,12,79,0,0,0,94
ANDHRA PRADESH,ADILABAD,NERADIGONDA,0,0,4,260,1,0,5,270
ANDHRA PRADESH,ADILABAD,NIRMAL,1,5,114,335,1,0,0,456
ANDHRA PRADESH,ADILABAD,REBBANA,0,0,10,0,0,0,0,10
ANDHRA PRADESH,ADILABAD,SARANGAPUR,0,9,156,1465,0,0,0,1630
ANDHRA PRADESH,ADILABAD,TALAMADUGU,2,0,66,211,0,0,0,279
ANDHRA PRADESH,ADILABAD,TAMSI,15,7,47,135,0,0,1,205
ANDHRA PRADESH,ADILABAD,TANDUR,0,3,10,4,0,0,0,17
ANDHRA PRADESH,ADILABAD,TANUR,0,0,179,417,0,0,0,596
ANDHRA PRADESH,ADILABAD,UTNUR,0,0,25,18,0,0,0,43
ANDHRA PRADESH,ADILABAD,VEMANPALLE,0,1,95,7,1,0,0,104
ANDHRA PRADESH,ADILABAD,WANKDI,0,0,0,1,0,0,0,1
ANDHRA PRADESH,ANANTHAPUR,AGALI,34,0,1,43,598,36,9,721
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,0,0,0,26,256,2,2,286
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,1,0,2,269,72,0,1,345
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,0,0,18,251,35,18,1,323
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,0,0,0,138,11,0,0,149
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,5,0,0,402,80,3,0,490
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,5,1,1,476,47,9,0,539
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,2,0,1,531,50,1,3,588
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,1,13,0,545,5,0,0,564
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,0,0,82,54,6,0,0,142
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,5,2,25,792,223,0,1,1048
ANDHRA PRADESH,ANANTHAPUR,CHENNE KOTHAPALLE,21,0,3,654,8,0,5,691
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,2,0,2,278,235,12,0,529
ANDHRA PRADESH,ANANTHAPUR,D.HIRCHAL,18,0,10,1361,63,33,0,1485
