-----
{
 "description": "The table refers to statewise culturable command area and potential created through dugwells. The report has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Natdgwltab1.13.csv", 
 "title": "Download CSV for State wise Culturable command area and potential created through Dugwells for 2nd census of minor irrigation schemes", 
 "url": "http://data.gov.in/sites/default/files/Natdgwltab1.13.csv"
}
-----
"State","Culturable Command Area","Irrigation Potential Created - Kharif","Irrigation Potential Created - Rabi","Irrigation Potential Created - Perennial","Irrigation Potential Created - Others","Total"
"ANDHRA PRADESH",1351835,1045144,760396,66671,14672,1886883
"ARUNACHAL PRADESH",NA,NA,NA,NA,NA,NA
"ASSAM",77,67,39,0,6,112
"BIHAR",337023,202704,229971,25027,15923,473625
"GOA",3777,13,999,2240,585,3837
"GUJARAT",NA,NA,NA,NA,NA,NA
"HARYANA",60451,60448,60451,0,0,120899
"HIMACHAL PRADESH",3090,2381,2726,91,32,5230
"JAMMU & KASHMIR",786,665,612,0,0,1277
"KARNATAKA",521862,332229,179990,93818,46596,652633
"KERALA",72703,9904,10945,50086,15236,86171
"MADHYA PRADESH",2365369,610332,2171037,23925,5134,2810428
"MAHARASHTRA",NA,NA,NA,NA,NA,NA
"MANIPUR",NA,NA,NA,NA,NA,NA
"MEGHALAYA",6,6,6,0,0,12
"MIZORAM",820,477,335,18,2,832
"NAGALAND",759,547,342,1,1,891
"ORISSA",137621,107103,81294,10018,7528,205943
"PUNJAB",48584,43781,48302,1279,845,94207
"RAJASTHAN",2976879,296468,3168870,19210,57958,3542506
"SIKKIM",NA,NA,NA,NA,NA,NA
"TAMIL NADU",6240909,3237480,3374749,894347,766430,8273006
"TRIPURA",993,652,728,170,86,1636
"UTTAR PRADESH",384821,115625,274365,48834,32872,471696
"WEST BENGAL",24386,20613,15664,1050,2552,39879
"ANDAMAN & NICOBARS",NA,NA,NA,NA,NA,NA
"CHANDIGARH",NA,NA,NA,NA,NA,NA
"DADRA & NAGAR HAVELI",618,415,230,174,35,854
"DAMAN & DIU",NA,NA,NA,NA,NA,NA
"DELHI",NA,NA,NA,NA,NA,NA
"LAKSHADWEEP",NA,NA,NA,NA,NA,NA
"PONDICHERRY",241,148,195,68,17,428
"ALL INDIA",14533610,6087202,10382246,1237026,966511,18672985
