-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "chattisgarhNSDPconst.csv", 
 "title": "Download CSV for Chhattisgarh Net State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/chattisgarhNSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","371819","385301","365181","372658","281681","314692","286665","223673","340787","319326","350969","279824"
"Foresty and Logging","39679","41825","40082","41316","43866","43108","46595","48223","53489","51747","56475","54062"
"Fishing","5441","8476","8475","10933","10513","11688","13978","16981","17232","17901","19938","21915"
"Mining and Quarrying","94871","82713","89673","91976","93336","113225","151268","172696","185445","210545","232602","255401"
"Sub total of primary","511810","518315","503411","516883","429396","482713","498506","461573","596953","599519","659984","611202"
"Manufacturing","229964","215215","212117","229907","342647","335294","230845","219388","234975","277239","322365","349180"
"Registered","159034","158332","141348","156622","265685","253912","157847","159125","157107","205889","223324","242563"
"Unregistered","70930","56883","70769","73285","76962","81382","72998","60263","77868","71350","99041","106617"
"Construction","61692","61194","72326","72553","73025","72998","98028","59182","75499","89806","107073","107551"
"Electricity, Gas and water Supply","40556","39830","47528","46062","43547","21150","22625","25924","18928","21216","21971","24325"
"Sub total of secondary","332212","316239","331971","348522","459219","429442","351498","304494","329402","388261","451409","481056"
"Transport Storage and Communication","56325","59662","66159","73376","79877","79524","88481","263167","288278","140734","163423","182019"
"Railways","33580","34688","37424","36166","38274","33412","37208","50127","56326","60884","65118","74690"
"Transport by other means","17184","18302","22236","26641","30447","30571","33995","34385","38467","46792","62522","64925"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","5561","6672","6499","10569","11156","15541","17278","20635","24491","33058","35783","42404"
"Trade, hotels and restaurants","121170","121115","131196","127700","124744","124001","156198","158020","168994","171771","188730","203266"
"Banking and Insurance","21243","23682","26840","34997","54649","40974","46122","49400","52777","62103","66730","73620"
"Real estate, ownership of dwelling and business","70597","72770","74994","77454","79915","76514","77775","85355","86098","87017","88454","89386"
"Pubic Administration","35589","36411","39276","41812","41750","55884","53147","52811","93757","91147","61134","65062"
"Other Services","67362","69932","75705","83397","85557","99193","100216","112820","99342","98332","126671","137613"
"Sub total of tertiary","372286","383572","414170","438736","466492","476090","521939","563553","620252","651104","695142","750966"
"State domestic product","1216308","1218126","1249552","1304141","1355107","1388245","1371943","1329620","1546607","1638883","1806535","1843223"

"Figures are in Rs. Lakh"
