-----
{
 "description": "The table refers to Block wise Culturable Command Area and Potential Created through Deep Tubewells. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwldistr3.11.csv", 
 "title": "Download CSV for Blockwise Culturable Command Area and Potential Created through Deep Tubewells", 
 "url": "http://data.gov.in/sites/default/files/dptbwldistr3.11.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Culturable Command Area,Irrigation potential created - Kharif,Irrigation potential created - Rabi,Irrigation potential created - Perennial,Irrigation potential created - Others,Total
ANDHRA PRADESH,ADILABAD,CHENNUR,48,48,0,0,0,48
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,3,3,0,0,0,3
ANDHRA PRADESH,ADILABAD,JAIPUR,25,15,11,0,0,25
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,66,52,19,0,0,71
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,17,17,0,0,0,17
ANDHRA PRADESH,ADILABAD,SIRPUR (T),24,24,0,0,0,24
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,1216,963,895,0,0,1858
ANDHRA PRADESH,CHITTOOR,B KOTHAKOTA,868,0,0,0,573,573
ANDHRA PRADESH,CHITTOOR,BAIREDDI PALLE,408,277,224,70,0,572
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,757,706,394,0,0,1100
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,294,89,205,0,0,294
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,99,98,8,0,0,107
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,249,228,172,0,0,400
ANDHRA PRADESH,CHITTOOR,CHITTOOR,452,300,131,20,10,461
ANDHRA PRADESH,CHITTOOR,CHOWDEPALLE,912,911,639,0,0,1550
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,1763,1634,1060,0,0,2693
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,1132,952,572,0,0,1524
ANDHRA PRADESH,CHITTOOR,GUDI PALLE,1004,712,342,4,0,1059
ANDHRA PRADESH,CHITTOOR,GUDIPALA,408,268,185,0,0,452
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,948,693,528,29,7,1257
ANDHRA PRADESH,CHITTOOR,IRALA,668,559,339,0,0,898
ANDHRA PRADESH,CHITTOOR,K V P PURAM,124,51,98,0,0,148
ANDHRA PRADESH,CHITTOOR,KALAKADA,147,130,78,0,0,209
ANDHRA PRADESH,CHITTOOR,KALIKIRI,25,16,13,0,0,29
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,314,255,244,0,0,499
ANDHRA PRADESH,CHITTOOR,KUPPAM,2785,1977,949,7,0,2933
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,675,656,554,0,0,1210
ANDHRA PRADESH,CHITTOOR,MANDANPALLE,746,642,481,0,0,1122
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,426,259,318,0,0,578
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,603,509,467,0,0,976
ANDHRA PRADESH,CHITTOOR,PAKALA,3,2,2,0,0,4
ANDHRA PRADESH,CHITTOOR,PALAMANER,395,359,240,0,0,598
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,264,203,231,0,0,434
ANDHRA PRADESH,CHITTOOR,PEDDA PANJANI,1161,913,641,0,0,1554
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,485,448,419,0,0,867
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMUDRAM,1495,813,683,0,0,1496
ANDHRA PRADESH,CHITTOOR,PENUMURU,1061,837,499,2,1,1339
ANDHRA PRADESH,CHITTOOR,PICHATUR,207,91,117,0,0,207
ANDHRA PRADESH,CHITTOOR,PILERU,847,745,699,0,0,1445
ANDHRA PRADESH,CHITTOOR,PULICHERLA,1269,1096,1029,167,0,2292
ANDHRA PRADESH,CHITTOOR,PUNGANUR,1870,1441,947,0,0,2388
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,207,141,140,0,0,281
ANDHRA PRADESH,CHITTOOR,RAMA KUPPAM,182,183,77,0,0,259
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,1489,1392,1024,0,0,2415
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,1081,790,787,0,0,1577
ANDHRA PRADESH,CHITTOOR,SANTHI PURAM,1611,1094,782,0,0,1876
ANDHRA PRADESH,CHITTOOR,SATYAVEDU,74,32,60,0,0,92
ANDHRA PRADESH,CHITTOOR,SODAM,862,692,597,0,0,1289
ANDHRA PRADESH,CHITTOOR,SOMALA,867,541,549,2,0,1091
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,45,27,42,0,0,68
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,127,75,58,0,0,133
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,492,389,334,0,0,723
ANDHRA PRADESH,CHITTOOR,THAVANAMPALLE,1267,150,24,1093,7,1274
ANDHRA PRADESH,CHITTOOR,TIRUPATI RURAL,2,2,2,0,0,3
ANDHRA PRADESH,CHITTOOR,TIRUPATI URBAN,15,10,6,0,0,15
ANDHRA PRADESH,CHITTOOR,VAYALPAD,783,471,395,3,0,869
ANDHRA PRADESH,CHITTOOR,VEDURU KUPPAM,242,130,175,0,0,305
ANDHRA PRADESH,CHITTOOR,VENKATAGIRI KOTA,1028,739,544,0,0,1283
ANDHRA PRADESH,CHITTOOR,YADAMARI,1056,731,376,14,0,1121
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,197,156,156,0,0,312
ANDHRA PRADESH,CUDDAPAH,A.KASINAYANI,2169,1830,1562,129,68,3590
ANDHRA PRADESH,CUDDAPAH,ATLUR,1499,1474,1423,0,0,2897
ANDHRA PRADESH,CUDDAPAH,B KODUR,873,848,822,2,0,1671
ANDHRA PRADESH,CUDDAPAH,BADVEL,1052,996,882,5,0,1883
