-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 1993-94.", 
 "file_name": "OrissaGSDPconst.csv", 
 "title": "Download CSV for Odisha Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/OrissaGSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","633203","617402","633149","542533","659403","656771","591492","544282","656070","502551","653850","679471","701497"
"Foresty and Logging","64359","66054","60864","61384","69918","62932","72494","74059","74336","79780","76358","76837","84273"
"Fishing","40833","46376","47290","51577","58125","55622","52936","52792","59155","61312","66353","68161","65226"
"Mining and Quarrying","94870","109163","130718","138882","155754","165018","172308","184548","184257","238948","272695","311586","297798"
"Sub total of primary","833265","838995","872021","794376","943200","940343","889230","855681","973818","882591","1069256","1136055","1148794"
"Manufacturing","197867","230561","255044","218039","223711","265504","304145","269732","240235","260665","352720","406259","419828"
"Registered","151037","176401","199621","159742","158930","202610","242871","214475","189270","211006","291530","343150","353874"
"Unregistered","46830","54160","55423","58297","64781","62894","61274","55257","50965","49659","61190","63109","65954"
"Construction","113986","121017","118929","111754","127420","119997","146734","133008","134322","113460","110925","125203","128689"
"Electricity, Gas and water Supply","54783","58717","49508","47507","52575","53759","56251","60662","58430","76808","83194","89372","95551"
"Sub total of secondary","366636","410295","423481","377300","403706","439260","507130","463402","432987","450933","546839","620834","644068"
"Transport Storage and Communication","127833","139691","159180","159508","177935","164023","195281","239400","259105","290784","324058","369608","414482"
"Railways","47166","50529","62782","58286","62141","45522","64449","71609","76822","85349","90826","96977","103544"
"Transport by other means","66700","72599","79047","80827","91315","94803","99031","114289","124033","133149","147949","170229","187822"
"Storage","1189","1321","1479","1739","2351","1672","1740","2023","2255","2120","2383","2456","2619"
"Communication","12778","15242","15872","18656","22128","22026","30061","51479","55995","70166","82900","99946","120497"
"Trade, hotels and restaurants","171010","180480","196433","195970","226550","227620","224759","242855","247801","271329","302446","324963","339413"
"Banking and Insurance","47586","52342","55101","75238","87008","75325","92091","100250","115078","140214","150655","169057","189707"
"Real estate, ownership of dwelling and business","109419","112243","115244","118375","121817","125505","129492","134475","138903","145006","149648","153996","161203"
"Pubic Administration","94451","95888","103867","106233","111860","132444","145904","145125","146676","140491","150953","157601","160935"
"Other Services","103466","122873","128540","129588","141527","163257","201215","195573","195155","204477","218212","238463","245608"
"Sub total of tertiary","653765","703517","758365","784912","866697","888174","988742","1057678","1102718","1192301","1295972","1413688","1511348"
"State domestic product","1853666","1952807","2053867","1956588","2213603","2267777","2385102","2376761","2509523","2525825","2912067","3170577","3304210"

"Figures are in Rs. Lakh"
