-----
{
 "description": "This data covers the subscribers enrolled by Aggregators, appointed by Pension Fund Regulatory and Development Authority (PFRDA) during 2010-11 to 2012-13. Till 31st March 2013, 76 entities have been appointed as Aggregator which include 24 Public Sector Banks (PSBs), 13 Regional Rural Banks ...", 
 "file_name": "Swavalamban_Scheme.xls", 
 "title": "Download XLS for Coverage under Swavalamban Scheme during 2010-11 to 2012-13", 
 "url": "http://data.gov.in/sites/default/files/Swavalamban_Scheme.xls"
}
-----
"Sr. No.","*Aggregator(s) appointed by PFRDA","Beneficiaries under **Swavalamban Scheme - 2010-2011","Beneficiaries under Swavalamban Scheme - 2011-2012","Total beneficiaries under Swavalamban for FY 2012-13","First time beneficiaries (2012-13)","Second time Beneficaries (2011-12 to 2012-13)"," Third time  Beneficaries (2010-11 to 2012-13)"
1.0,"A.P. Building & Other Construction Workers Welfare Board",90461.0,88089.0,25952.0,237.0,2769.0,22946.0
2.0,"Abhipra Capital Ltd.",0.0,3.0,276.0,274.0,2.0,0.0
3.0,"Adhikar Microfinance Pvt. Ltd",631.0,3825.0,2617.0,603.0,1782.0,232.0
4.0,"Alankit Assignments Ltd",351.0,3723.0,10656.0,7598.0,2950.0,108.0
5.0,"Allahabad Bank",0.0,0.0,30.0,30.0,0.0,0.0
6.0,"Allahabad U.P. Gramin Bank",0.0,0.0,0.0,"NA","NA","NA"
7.0,"Asomi Finance Pvt Ltd",0.0,0.0,0.0,"NA","NA","NA"
8.0,"Banaskantha Dist.. CO-OP Milk Producers  Union Ltd",0.0,20977.0,24237.0,4361.0,19876.0,0.0
9.0,"Bandhan Financial Services Pvt Ltd",15794.0,67489.0,93927.0,48540.0,38464.0,6923.0
10.0,"Bandhan Konnagar",23.0,40.0,43.0,10.0,24.0,9.0
11.0,"Bank Of Baroda",0.0,0.0,7972.0,7972.0,0.0,0.0
12.0,"Bank Of India",0.0,0.0,288.0,288.0,0.0,0.0
13.0,"Bank Of Maharashtra",0.0,0.0,0.0,"NA","NA","NA"
14.0,"Building & Other Construction Workers Welfare Board Rajasthan",0.0,4062.0,14577.0,14577.0,0.0,0.0
15.0,"BWDA FIinance Ltd (BFL)",0.0,0.0,11887.0,8595.0,3292.0,0.0
16.0,"Canara Bank",0.0,7.0,32856.0,32856.0,0.0,0.0
17.0,"Cashpor Micro Credit Head Office",0.0,0.0,11617.0,11611.0,6.0,0.0
18.0,"Centre for Development Orientation & Training (CDOT)",0.0,0.0,355.0,355.0,0.0,0.0
19.0,"CSC E-Governance  Services India Ltd",75285.0,99261.0,0.0,"NA","NA","NA"
20.0,"Deparment of Women & Child Development",0.0,38579.0,102397.0,6215.0,24324.0,71858.0
21.0,"ESAF Microfinance  & Investments (P) Ltd",1.0,1212.0,178700.0,159336.0,19364.0,0.0
22.0,"Financial Inclusion Network & Operations Ltd",0.0,0.0,362.0,349.0,13.0,0.0
23.0,"Gramin Financial Services PvtLItd",1779.0,6296.0,14209.0,14209.0,0.0,0.0
24.0,"Gujarat InfotechLtd",0.0,0.0,113.0,113.0,0.0,0.0
25.0,"Haryana Gramin Bank",0.0,0.0,0.0,"NA","NA","NA"
26.0,"IFMR Holdings Pvt Ltd",0.0,0.0,25821.0,21619.0,3498.0,704.0
27.0,"IL&FS Securities Services Ltd",0.0,0.0,2.0,2.0,0.0,0.0
28.0,"India  Infoline Finance Ltd",0.0,0.0,973.0,973.0,0.0,0.0
29.0,"Indian Bank-Banking Operations Dept",0.0,1197.0,8.0,8.0,0.0,0.0
30.0,"Indian Overseas Bank",1728.0,6242.0,0.0,"NA","NA","NA"
31.0,"Indur Intideepam Macs Federation Ltd",0.0,0.0,5686.0,5686.0,0.0,0.0
32.0,"Jagaran Microfin Pvt Ltd",0.0,0.0,260.0,260.0,0.0,0.0
33.0,"Jharkhand Building & other Construction Workers Welfare Board Ranchi",75579.0,155711.0,24848.0,23657.0,1191.0,0.0
34.0,"Karnataka State Unorganised Workers Social  Security Board Bangalore",0.0,2084.0,7715.0,2209.0,4456.0,1050.0
35.0,"LIC Housing Finance Ltd",0.0,202.0,223339.0,87263.0,106514.0,29562.0
36.0,"Life Insurance Corporation ofIndia",0.0,0.0,3337.0,2409.0,928.0,0.0
37.0,"Madhya Pradesh State Electronics Development Corporation Ltd",0.0,0.0,179.0,169.0,10.0,0.0
38.0,"Margdarshak Financial Services Ltd",0.0,0.0,0.0,"NA","NA","NA"
39.0,"Oriental Bank of Commerce",0.0,0.0,2.0,2.0,0.0,0.0
40.0,"Parvatiya Gramin Bank",0.0,0.0,0.0,"NA","NA","NA"
41.0,"Punjab National Bank",128.0,3209.0,2023.0,2023.0,0.0,0.0
42.0,"Samhita CommunityDevelopment Services",0.0,0.0,4961.0,3200.0,1713.0,48.0
43.0,"SaptrishiConsultancy Services Ltd",0.0,41646.0,1657.0,1657.0,0.0,0.0
44.0,"Shree Kshetra Dharmsthala Rural Development Project",0.0,8259.0,159534.0,129533.0,30001.0,0.0
45.0,"Shri Mahila Sewa Sahakari BankLtd",40127.0,79761.0,26283.0,19757.0,6526.0,0.0
46.0,"Society for elimination of rural poverty",0.0,2134.0,54423.0,2660.0,32576.0,19187.0
47.0,"Spanco Ltd.",35.0,1283.0,3021.0,1825.0,1196.0,0.0
48.0,"SREI Sahaj E-Village Ltd",0.0,4201.0,1412.0,668.0,730.0,14.0
49.0,"State Bank Of Hyderabad",0.0,0.0,1.0,1.0,0.0,0.0
50.0,"State Bank Of Mysore",0.0,0.0,0.0,"NA","NA","NA"
51.0,"The South Indian Bank Ltd MarketingDepartment NPS Cell",0.0,0.0,7864.0,4203.0,3661.0,0.0
52.0,"UCO Bank","NA","NA",0.0,"NA","NA","NA"
53.0,"United BankOf India","NA","NA",6575.0,6575.0,0.0,0.0
54.0,"UTI Infrastructure Technology & Services Ltd","NA","NA",245.0,245.0,0.0,0.0
55.0,"Vijaya Bank","NA","NA",1438.0,1438.0,0.0,0.0
"Total","Total",301922.0,639492.0,1094678.0,636171.0,305866.0,152641.0
