-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 1993-94.", 
 "file_name": "HimachalGSDPcurrent.csv", 
 "title": "Download CSV for Himachal Pradesh Gross State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/HimachalGSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","118702","138977","155880","176942","195757","237828","258673","281311","331440","330133","376469","423485","476373"
"Foresty and Logging","33195","35398","34273","38446","42616","44383","47765","55748","63893","71988","69899","70533","75588"
"Fishing","1867","1601","2055","2212","2681","2756","3052","3057","3208","3296","3047","3616","4290"
"Mining and Quarrying","2903","4206","5711","5329","7723","8085","9111","9210","10919","9417","10817","12806","15160"
"Sub total of primary","156667","180182","197919","222929","248777","293052","318601","349326","409460","414834","460232","510440","571411"
"Manufacturing","42220","62966","80772","108507","117264","135372","169678","197134","205312","224227","264764","320255","383588"
"Registered","31458","48461","61601","84544","89118","105478","135353","155933","157564","174032","197877","225524","255679"
"Unregistered","10762","14505","19171","23963","28146","29894","34325","41201","47748","50195","66887","94731","127909"
"Construction","66848","79716","96653","111692","120872","148877","161874","186552","204162","223132","251837","282802","314615"
"Electricity, Gas and water Supply","22274","44791","47162","48789","57632","71745","69945","83785","83253","93186","103753","112104","120843"
"Sub total of secondary","131342","187473","224587","268988","295768","355994","401497","467471","492727","540545","620354","715161","819046"
"Transport Storage and Communication","16050","18536","22756","25852","34768","43666","49466","57935","70561","83694","98272","113494","129438"
"Railways","438","310","488","548","529","721","798","883","883","833","883","883","883"
"Transport by other means","11370","12810","15885","18107","26241","33774","37516","44312","54686","65734","77005","84108","92145"
"Storage","28","33","38","41","47","49","49","49","61","61","61","61","61"
"Communication","4214","5383","6345","7156","7951","9122","11103","12691","14931","17066","20323","28442","36349"
"Trade, hotels and restaurants","40836","49787","55526","65064","76913","86644","106826","122862","129806","144471","161147","177930","186827"
"Banking and Insurance","18749","23665","26954","32311","33603","44612","52122","54468","56920","65613","75634","75634","79416"
"Real estate, ownership of dwelling and business","31489","33350","35219","37284","39100","41161","46130","48835","52532","60124","64894","68785","72953"
"Pubic Administration","37990","39368","45434","54732","65916","81993","99628","105448","123016","135482","142748","153825","166597"
"Other Services","45145","50142","61433","68367","88886","122501","148676","152611","161842","178741","182908","194080","212557"
"Sub total of tertiary","190259","214848","247322","283610","339186","420577","502848","542159","594677","668125","725603","783748","847788"
"State domestic product","478268","582503","669828","775527","883731","1069623","1222946","1358956","1496864","1623505","1806190","2009349","2238245"

"Figures are in Rs. Lakh"
