-----
{
 "description": "The table shows Number of Visits by CDPO/ ACDPO in AWC and Issues discussed as reported by AWW. It gives details regarding visits in the last 30 days, last 90 days and last 6 months and the issues discussed thereof. ", 
 "file_name": "ICDS_Table6.22.xls", 
 "title": "Download XLS for Number of Visits by CDPO/ ACDPO in AWC and Issues Discussed: Reported by AWW", 
 "url": "http://data.gov.in/sites/default/files/ICDS_Table6.22.xls"
}
-----
"States/UTs ","Visits by CDPO/ACDPO (no.)-During last 30 days","Visits by CDPO/ACDPO (no.)-During last 90 days","Visits by CDPO/ACDPO (no.)-During last 6 months","What did he/she do? (%)-None","What did he/she do? (%)-Ensuring supply of food","What did he/she do? (%)-Ensuring supply of other material","What did he/she do? (%)-Guidance for preparing growth charts","What did he/she do? (%)-Record keeping","What did he/she do? (%)-Target/ priority setting","What did he/she do? (%)-Help in organising community meetings","What did he/she do? (%)-Link with administration"
"Andhra Pradesh",0.0,1.0,1.0,0.0,2.5,4.2,0.0,88.0,3.2,0.0,2.1
"Assam",0.0,0.0,0.0,4.1,8.0,0.0,0.0,19.1,20.6,27.4,20.9
"Bihar",0.0,1.0,2.0,0.5,28.0,3.3,1.5,61.1,2.4,1.7,1.6
"Chhattisgarh",0.0,0.0,1.0,25.5,14.9,2.7,0.0,30.4,7.2,2.2,17.2
"Gujarat",0.0,0.0,1.0,0.0,5.1,4.7,7.6,61.6,17.0,0.0,4.1
"Haryana",1.0,1.0,2.0,0.0,1.2,12.8,0.0,81.2,1.2,0.0,3.6
"Himachal Pradesh",0.0,0.0,1.0,17.8,20.7,20.2,0.0,41.4,0.0,0.0,0.0
"Jammu and Kashmir",0.0,0.0,1.0,1.2,5.1,1.3,0.0,71.4,0.0,0.0,21.1
"Jharkhand",0.0,0.0,1.0,4.6,12.7,13.6,0.0,38.2,2.4,0.0,28.5
"Karnataka",0.0,0.0,1.0,8.9,29.6,11.2,2.1,27.3,8.1,10.7,2.0
"Kerala",0.0,0.0,1.0,24.8,0.0,0.0,0.0,0.0,3.8,71.4,0.0
"Madhya Pradesh",0.0,1.0,1.0,0.0,9.0,2.4,2.7,42.9,11.6,3.0,28.5
"Maharashtra",0.0,0.0,1.0,13.1,8.7,12.8,1.5,30.2,15.6,9.8,8.3
"Orissa",0.0,0.0,1.0,2.8,11.0,0.0,6.2,46.0,8.5,7.0,18.6
"Punjab",0.0,0.0,1.0,0.0,47.2,7.0,0.0,45.8,0.0,0.0,0.0
"Rajasthan",0.0,0.0,1.0,22.2,16.3,9.3,3.0,39.0,3.7,0.0,6.4
"Tamil Nadu",0.0,1.0,1.0,3.3,23.4,6.9,1.8,43.3,4.0,6.4,11.0
"Uttar Pradesh",0.0,0.0,1.0,3.8,16.9,6.0,0.0,57.1,9.0,1.3,5.9
"Uttrakhand",0.0,0.0,1.0,0.0,7.7,0.0,0.0,70.4,21.9,0.0,0.0
"West Bengal",0.0,0.0,1.0,10.0,19.7,16.1,2.8,26.1,4.3,2.5,18.6
"Delhi",1.0,1.0,2.0,0.0,0.0,0.0,0.0,75.7,12.2,12.2,0.0
"Chandigarh",1.0,1.0,2.0,0.0,20.0,0.0,0.0,80.0,0.0,0.0,0.0
"Arunachal Pradesh",0.0,0.0,0.0,0.0,0.0,7.4,0.0,11.3,0.0,73.9,7.4
"Manipur",0.0,0.0,0.0,16.6,0.0,0.0,0.0,16.6,0.0,0.0,66.8
"Meghalaya",0.0,1.0,2.0,0.0,9.6,20.2,0.0,0.0,40.4,29.8,0.0
"Mizoram",0.0,0.0,1.0,0.0,80.0,0.0,0.0,20.0,0.0,0.0,0.0
"Nagaland",1.0,1.0,1.0,0.0,52.6,3.3,0.0,25.4,18.6,0.0,0.0
"Tripura",1.0,1.0,2.0,0.0,19.1,0.0,0.0,23.8,0.0,57.1,0.0
"Sikkim",0.0,1.0,2.0,14.3,0.0,0.0,0.0,5.7,28.7,5.7,45.7
"Dadar & Nagar Haveli",0.0,1.0,2.0,0.0,25.0,0.0,25.0,0.0,0.0,25.0,25.0
"Daman & Diu",2.0,1.0,2.0,0.0,20.0,0.0,40.0,0.0,0.0,0.0,40.0
"Goa",0.0,1.0,2.0,0.0,0.0,60.0,0.0,0.0,0.0,40.0,0.0
"Puducherry",0.0,0.0,0.0,"NA","NA","NA","NA","NA","NA","NA","NA"
"Andaman & Nicobar Island",0.0,0.0,1.0,0.0,30.8,0.0,0.0,62.4,0.0,0.0,6.8
"All India",1.0,1.0,1.0,6.0,15.2,6.9,1.6,46.9,7.2,6.1,10.2
