-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 1993-94.", 
 "file_name": "chattisgarhGSDPcurrent.csv", 
 "title": "Download CSV for Chhattisgarh Gross State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/chattisgarhGSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","394438","432369","439575","491426","435070","512025","507374","409452","632798","449209","710370","618933"
"Foresty and Logging","40207","49774","52442","54811","70706","69439","69915","77159","95733","105741","122565","138320"
"Fishing","6200","9128","10105","15132","16823","21400","28683","35555","38924","41831","47211","50903"
"Mining and Quarrying","130667","135964","154865","175211","202019","230976","318578","329006","387666","454241","488789","419345"
"Sub total of primary","571512","627235","656987","736580","724618","833840","924550","851172","1155121","1051022","1368935","1227501"
"Manufacturing","280344","295336","325031","364054","537163","556368","409825","402537","415480","526675","682041","844467"
"Registered","204279","226826","232896","262511","423744","426790","302111","296267","292896","404990","513746","656100"
"Unregistered","76065","68510","92135","101543","113419","129578","107714","106270","122584","121685","168295","188367"
"Construction","65094","71702","83078","96169","106656","102691","155205","106409","141625","164301","213313","228166"
"Electricity, Gas and water Supply","82916","89758","106534","113869","128195","138138","150105","139996","116406","234971","252047","254405"
"Sub total of secondary","428354","456796","514643","574092","772014","797197","715135","648942","673511","925947","1147401","1327038"
"Transport Storage and Communication","78433","93766","105183","118864","131910","150578","180114","189756","225821","259950","306643","337237"
"Railways","43272","51397","54753","53027","55836","54350","61212","66324","86639","96950","98968","111951"
"Transport by other means","27574","32485","40162","50440","59471","71350","93157","100089","113028","135630","175709","191553"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","7587","9884","10268","15397","16603","24878","25745","23343","26154","27370","31966","33733"
"Trade, hotels and restaurants","124516","139262","164162","176114","184291","194243","247893","253515","292222","277475","344205","349459"
"Banking and Insurance","21861","26470","35002","44050","51586","51588","58492","71332","79333","94415","105458","121753"
"Real estate, ownership of dwelling and business","81315","88090","94793","101604","109136","135147","156750","172049","193652","208679","231450","260511"
"Pubic Administration","41662","45918","53878","60316","67679","89252","94597","94918","164509","167374","124420","137937"
"Other Services","69422","78635","93072","128796","124531","154246","162931","183044","170369","173907","232519","260600"
"Sub total of tertiary","417209","472141","546090","629744","669133","775054","900777","964614","1125906","1181800","1344695","1467497"
"State domestic product","1417075","1556172","1717720","1940416","2165765","2406091","2540462","2464728","2954538","3158768","3861031","4022035"

"Figures are in Rs. Lakh"
