-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "SikkimNSDPcurrent_1.csv", 
 "title": "Download CSV for Sikkim Net State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/SikkimNSDPcurrent_1.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005","2005-2006"
"Agriculture","12764","13531","15890","17825","19512","16041","17406","19599","20303","24751","27225","28738","30973"
"Foresty and Logging","764","797","825","870","941","1026","1134","1304","1387","1469","1576","1703","1828"
"Fishing","23","24","41","42","44","49","50","53","56","63","64","65","69"
"Mining and Quarrying","61","79","73","74","67","114","80","128","48","15","18","20","20"
"Sub total of primary","13612","14431","16829","18811","20564","17230","18670","21084","21794","26298","28883","30526","32890"
"Manufacturing","2066","2231","2547","2718","2800","2935","3005","3122","3178","3249","3440","3654","3814"
"Registered","831","881","1004","1055","1101","1164","1210","1252","1259","1295","1365","1444","1500"
"Unregistered","1235","1350","1543","1663","1699","1771","1795","1870","1919","1954","2075","2210","2314"
"Construction","4950","5512","7312","8961","10364","10789","11421","14270","18917","23557","27606","33699","40658"
"Electricity, Gas and water Supply","94","115","175","96","66","427","1027","4595","5386","2888","3740","3742","3876"
"Sub total of secondary","7110","7858","10034","11775","13230","14151","15453","21987","27481","29694","34786","41095","48348"
"Transport Storage and Communication","486","641","717","906","1101","1379","1420","1559","1810","2217","2746","3021","3568"
"Railways","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Transport by other means","486","641","717","906","1101","1379","1420","1559","1810","2217","2746","3021","3568"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Trade, hotels and restaurants","2747","2828","3285","4026","4659","3939","4068","4847","4958","5716","6244","6590","7116"
"Banking and Insurance","485","622","777","908","1126","1351","1765","2262","2757","3508","3973","4499","5430"
"Real estate, ownership of dwelling and business","3079","3191","3300","3592","4166","4807","6112","6974","7689","8436","9242","10126","11122"
"Pubic Administration","4842","5156","5800","6487","8405","13812","13848","14402","15553","18385","20414","22401","25020"
"Other Services","4020","4738","5948","6643","7922","14396","14535","14684","15354","16819","17923","19195","20638"
"Sub total of tertiary","15659","17176","19827","22562","27379","39684","41748","44728","48121","55081","60542","65832","72894"
"State domestic product","36381","39464","46688","53148","61172","71064","75874","87799","97396","111070","124211","137453","154133"

"Figures are in Rs. Lakh"
