-----
{
 "description": "The table refers to the state's net domestic product at constant prices for the base year 2004-05. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "UttarakhandNSDPconst_1.csv", 
 "title": "Download CSV for Uttarakhand Net State Domestic Product at factor cost at Constant Prices for base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/UttarakhandNSDPconst_1.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-2008","2008-2009","2009-10","2010-11","2011-12","2012-13"
"Agriculture","367537","347465","364494","367873","334526","382857","401790","411462","424900"
"Foresty and Logging","137911","137204","141385","144775","152003","152002","163913","172903","182562"
"Fishing","803","787","930","955","960","990","1083","1088","1143"
"Ag and Allied","506251","485456","506809","513603","487489","535849","566786","585453","608605"
"Mining and Quarrying","24252","30944","28185","27185","23741","16245","21951","24788","25351"
"Sub total of primary","530503","516400","534994","540788","511230","552094","588737","610241","633956"
"Manufacturing","249951","377311","444600","661087","739482","887618","970739","995326","1062904"
"Registered","166281","289437","346752","550943","628294","773432","849602","870348","931548"
"Unregistered","83670","87874","97848","110144","111188","114186","121137","124978","131356"
"Construction","301753","330611","382228","351092","332343","365640","402522","454504","512064"
"Electricity, Gas and water Supply","21598","24093","26179","31006","35089","39712","45325","51123","57881"
"Sub total of secondary","573302","732015","853007","1043185","1106914","1292970","1418586","1500953","1632849"
"Industry","597554","762959","881192","1070370","1130655","1309215","1440537","1525741","1658200"
"Transport Storage and Communication","143184","166961","204215","244432","276094","317044","360470","404207","452419"
"Railways","5089","4804","4735","8831","7745","8546","8941","9184","9432"
"Transport by other means","102503","119195","139381","166355","191823","221659","249382","278614","309886"
"Storage","1636","1642","1872","1967","2083","2202","2196","2414","2558"
"Communication","33956","41320","58227","67279","74443","84637","99951","113995","130543"
"Trade, hotels and restaurants","409183","508377","586171","764782","928717","1236455","1413455","1460207","1521222"
"Banking and Insurance","92020","111642","135377","160593","188327","215684","252008","294199","342165"
"Real estate, ownership of dwelling and business","127255","131958","137647","142863","147625","147190","152603","160076","167049"
"Pubic Administration","108098","116908","125025","167331","235211","265175","260988","258705","255501"
"Other Services","245228","260510","274978","285872","312304","314083","321716","329444","346929"
"Sub total of tertiary","1124968","1296356","1463413","1765873","2088278","2495631","2761240","2906838","3085285"
"State domestic product","2228773","2544771","2851414","3349846","3706422","4340695","4768563","5018032","5352090"

"Figures are in Rs. Lakh"
