-----
{
 "description": "The table refers to block wise culturable command area and potential created through shallow tubewells . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Blockshtbwl2.13.csv", 
 "title": "Download CSV for Block wise Culturable Command Area and Potential Created through Shallow Tubewells for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Blockshtbwl2.13.csv"
}
-----
State,District,Block,Culturable Command Area,Irrigation potential created - Kharif,Irrigation potential created - Rabi,Irrigation potential created - Perennial,Irrigation potential created - Others,Total - Irrigation potential created
ANDHRA PRADESH,ADILABAD,ADILABAD,32,1,31,0,0,32
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,73,52,52,0,0,104
ANDHRA PRADESH,ADILABAD,BELA,46,34,23,0,0,57
ANDHRA PRADESH,ADILABAD,BHAINSA,1905,1901,1604,0,0,3505
ANDHRA PRADESH,ADILABAD,BOATH,1346,935,800,31,5,1771
ANDHRA PRADESH,ADILABAD,CHENNUR,4,4,2,0,0,6
ANDHRA PRADESH,ADILABAD,DAHEGAON,13,13,2,0,11,26
ANDHRA PRADESH,ADILABAD,DILAWARPUR,767,617,243,0,0,860
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,15,4,11,0,0,15
ANDHRA PRADESH,ADILABAD,ICHODA,291,2,287,2,0,291
ANDHRA PRADESH,ADILABAD,JAINAD,19,19,0,0,0,19
ANDHRA PRADESH,ADILABAD,JAINOOR,2,0,2,0,0,2
ANDHRA PRADESH,ADILABAD,JAIPUR,2,2,0,0,0,2
ANDHRA PRADESH,ADILABAD,KADDAM (PEDDUR),2,2,1,0,0,3
ANDHRA PRADESH,ADILABAD,KOTAPALLE,281,91,191,0,0,282
ANDHRA PRADESH,ADILABAD,KUBEER,495,424,281,0,0,705
ANDHRA PRADESH,ADILABAD,KUNTALA,1130,1130,985,0,0,2115
ANDHRA PRADESH,ADILABAD,LAHESRA,1413,1410,1257,5,0,2672
