-----
{
 "description": "Statement indicating Per Capita Plan Expenditure under SSA per child, and Education Institutions- Elementary Secondary Sr. Secondary, Higher and Technical Education Institution per one lakh population.", 
 "file_name": "education08_1.csv", 
 "title": "Download CSV for Major Education Statistics, 2004-05", 
 "url": "http://data.gov.in/sites/default/files/education08_1.csv"
}
-----
State,Population in (Cr) of Total Census 2001,Population in (Cr) of 6-14 age 2004,Literacy Rate,Gross Enrollment Ratio  Classes ( I-VIII),Drop-out Classes( I-X),Pupil Teacher Ratio,Pupil Teacher Ratio Upper Primary,Elementary School per lakh population,Sec/Hr.Sec Schools per lakh population,Tenth Plan Sarva Siksha Abhiyan Expenditure ( Rs cr),Tenth Plan Sarva Siksha Abhiyan Expenditure as percentage of Total,Tenth Plan Sarva Siksha Abhiyan Expenditure - Per capita 6-14 age,Lakh of Population per Institution (University),Lakh of Population per Institution (College),Lakh of Population per Institution (Technical)
Andhra Padesh,7.62,1.30,60.50,86.99,63.69,33,31,99,22,1806.75,5.09,1387,31.60,0.59,1.97
Arunachal Pradesh,0.11,0.02,54.30,106.70,70.79,34,30,163,19,187.30,0.53,8179,11.40,1.14,5.70
Assam,2.67,0.53,63.30,91.92,74.96,42,16,137,19,1165.14,3.28,2186,46.50,0.88,25.34
Bihar,8.30,1.88,47.00,65.16,83.06,104,75,57,4,2479.49,6.99,1319,46.20,1.18,43.87
Chhattisgarh,2.08,0.41,64.70,112.63,0.00,48,46,203,12,1439.83,4.06,3513,43.80,1.03,18.25
Goa,0.13,0.02,82.00,106.04,40.65,21,17,76,31,19.03,0.05,1119,14.10,0.61,1.57
Gujarat,5.06,0.89,69.10,101.70,59.29,35,39,73,14,972.75,2.74,1096,26.60,1.05,5.55
Haryana,2.11,0.41,67.90,80.01,32.48,44,30,63,23,732.96,2.07,1800,24.90,1.35,2.20
Himachal Pradesh,0.61,0.10,76.50,108.74,-6.98,24,30,212,37,366.50,1.03,3658,9.00,0.71,7.00
Jammu & Kashmir,1.01,0.19,55.50,74.45,53.75,34,16,153,13,482.54,1.36,2518,11.80,2.12,6.64
Jharkhand,2.69,0.58,53.60,75.82,0.00,81,61,76,4,1429.56,4.03,2480,35.50,2.43,18.93
Karnataka,5.28,0.89,66.60,98.76,59.38,26,37,97,21,1707.17,4.81,1909,20.30,0.59,1.84
Kerala,3.18,0.44,90.90,95.35,7.15,28,27,30,16,390.72,1.10,893,40.90,1.76,2.68
Madhya Pradesh,6.03,1.24,63.70,114.09,64.70,43,30,205,13,3534.59,9.96,2844,30.50,0.84,6.15
Maharashtra,9.69,1.66,76.90,105.70,54.16,37,37,67,18,2205.65,6.22,1327,24.80,0.84,2.99
Manipur,0.22,0.04,70.50,129.65,43.02,30,20,150,31,52.07,0.15,1389,11.25,0.39,11.25
Meghalaya,0.23,0.05,62.60,121.93,79.15,44,16,317,29,94.10,0.27,1897,24.10,0.45,24.10
Mizoram,0.09,0.02,88.80,109.51,66.95,17,8,263,56,141.21,0.40,8826,9.20,0.35,4.60
Nagaland,0.20,0.04,66.60,75.76,97.29,19,16,97,18,69.86,0.20,1708,20.70,0.56,6.90
Orissa,3.68,0.65,63.10,108.47,64.42,53,44,162,23,1506.65,4.25,2315,25.40,0.54,7.05
Punjab,2.43,0.41,69.70,72.57,44.06,43,19,62,16,602.66,1.70,1486,28.20,1.20,5.52
Rajasthan,5.65,1.22,60.40,102.67,73.87,49,34,137,17,2540.85,7.16,2089,24.00,0.98,10.71
Sikkim,0.05,0.01,68.80,111.49,82.30,22,25,155,29,29.33,0.08,2848,2.80,2.80,1.87
Tamil Nadu,6.24,0.89,73.50,113.96,55.19,33,41,63,14,1742.08,4.91,1965,16.40,1.44,1.51
Tripura,0.32,0.06,73.20,109.59,73.36,54,15,84,20,214.40,0.60,3622,33.20,2.37,16.60
Uttar Pradesh,16.62,3.64,56.30,87.04,43.77,58,35,95,7,6836.31,19.27,1878,45.20,1.75,11.76
Uttaranchal,0.85,0.16,71.60,106.39,0.00,25,18,207,21,533.95,1.51,3258,9.90,1.04,4.46
West Bengal,8.02,1.43,68.60,94.67,78.03,54,44,63,10,2051.18,5.78,1438,34.70,2.23,8.86
Andaman & Nicobar Islands,0.03,0.01,81.30,107.97,36.97,20,18,69,24,15.29,0.04,2592,NA,1.30,1.95
Chandigarh,0.09,0.01,81.90,71.87,16.73,41,29,3,12,16.04,0.05,1146,3.33,0.83,3.33
Dadra & Nagar Haveli,0.02,0.00,57.60,113.70,67.06,62,43,91,9,3.90,0.01,975,NA,NA,2.39
Daman & Diu,0.06,0.00,78.20,128.85,43.43,43,29,40,15,0.91,0.00,479,NA,1.90,1.90
Delhi,1.38,0.25,81.70,91.84,46.92,40,26,20,11,88.91,0.25,358,1.00,2.40,3.69
Lakshadweep,0.01,0.00,86.70,58.75,18.88,21,16,38,16,0.10,0.00,53,NA,NA,NA
Pondicherry,0.10,0.01,81.20,121.34,16.89,24,21,45,22,13.83,0.04,981,10.10,0.92,1.01
India,102.86,19.46,64.80,93.54,61.92,46,35,97,14,35473.61,100.00,1823,27.40,1.04,4.36
