-----
{
 "description": "The table refers to District wise Distribution of Dugwells in use and their Potential Created/Utilised according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlState1.16.csv", 
 "title": "Download CSV for Districtwise Distribution of Dugwells in use and their Potential Created/Utilised according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/dgwlState1.16.csv"
}
-----
"State","District","No. in use - Public","No. in use - Private","No. in use - Total","Potential created (Ha) - Public","Potential created (Ha) - Private","Potential created (Ha) - Total","Potential utilised (Ha) - Public","Potential utilised (Ha) - Private","Potential utilised (Ha) - Total"
"CHHATTISGARH","KVARDHA",2,782,784,228,1720,1948,2,1195,1197
"CHHATTISGARH","MAHASAMUND",116,3533,3649,1255,5388,6643,1051,2906,3957
"CHHATTISGARH","RAIGARH",11204,4183,15387,11265,1879,13144,45,1242,1287
"CHHATTISGARH","RAIPUR",19,11550,11569,46,12917,12962,10,6430,6440
"CHHATTISGARH","RAJNANDGAON",4,4964,4968,37,8808,8846,33,5639,5672
"CHHATTISGARH","SURGUJA",28087,27432,55519,28397,7625,36022,15,5833,5848
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",0,572,572,0,1462,1462,0,1038,1038
"GOA","NORTH GOA",210,3469,3679,186,2258,2444,174,1925,2099
"GOA","SOUTH GOA",16,1338,1354,69,1523,1591,66,1318,1384
"GUJARAT","AHMEDABAD",30,2376,2406,144,77068,77212,64,62284,62348
"GUJARAT","AMRELI",811,30607,31418,1080,65974,67054,0,0,0
"GUJARAT","ANAND",0,1558,1558,0,30692,30692,0,18698,18698
"GUJARAT","BANASKANTHA",5,42815,42820,66,222943,223009,66,217568,217634
"GUJARAT","BHARUCH",44,3929,3973,216,15902,16118,127,12074,12201
"GUJARAT","BHAVNAGAR",4,102765,102769,14,298293,298306,6,206073,206079
"GUJARAT","DAHOD",1914,29394,31308,3838,64334,68172,2098,34779,36878
"GUJARAT","DANG",130,1110,1240,209,3814,4023,19,3650,3669
"GUJARAT","GANDHINAGAR",0,0,0,0,0,0,0,0,0
"GUJARAT","JAMNAGAR",596,82345,82941,3955,218924,222879,1999,111185,113184
"GUJARAT","JUNAGADH",322,133282,133604,1698,402328,404026,1031,339251,340282
"GUJARAT","KACHCHH",81,22151,22232,178,70813,70992,119,60570,60689
"GUJARAT","KHEDA",344,8843,9187,1187,61536,62723,218,22438,22656
"GUJARAT","MEHSANA",48,2831,2879,94,10920,11013,22,5832,5854
"GUJARAT","NARMADA",9,2401,2410,20,5397,5417,20,5387,5407
"GUJARAT","NAVSARI",15,12491,12506,16,18632,18648,16,16942,16958
"GUJARAT","PANCHMAHAL",279,37150,37429,1423,132283,133706,455,39595,40050
"GUJARAT","PATAN",0,89,89,0,972,972,0,972,972
"GUJARAT","PORBANDAR",258,11405,11663,632,19984,20616,0,13,13
"GUJARAT","RAJKOT",143,49048,49191,346,164230,164576,230,88758,88988
"GUJARAT","SABARKANTHA",609,83522,84131,1291,197366,198657,1029,182054,183083
"GUJARAT","SURAT",13,21110,21123,50,43451,43502,50,43368,43418
"GUJARAT","SURENDRANAGAR",574,16152,16726,1763,52939,54702,126,29372,29498
"GUJARAT","VADODARA",220,17606,17826,1806,73878,75684,1423,66573,67996
"GUJARAT","VALSAD",801,7668,8469,1192,10891,12083,889,10225,11114
"HARYANA","AMBALA",1,345,346,2,1384,1386,2,1326,1328
"HARYANA","BHIWANI",10,2921,2931,66,18597,18663,58,16161,16219
"HARYANA","FATEHABAD",2,65,67,17,495,512,17,467,484
"HARYANA","GURGAON",57,1992,2049,100,3071,3171,92,2854,2946
"HARYANA","HISSAR",0,104,104,0,377,377,0,377,377
"HARYANA","JHAJJAR",8,1446,1454,20,6417,6437,20,6240,6260
"HARYANA","KAITHAL",8,724,732,136,5344,5480,135,5153,5289
"HARYANA","KARNAL",33,1547,1580,226,12274,12500,212,11175,11387
"HARYANA","MAHENDRAGARH",7,596,603,139,2338,2477,139,2294,2433
"HARYANA","PANCHKULA",1,89,90,3,229,232,3,157,160
"HARYANA","PANIPAT",0,685,685,0,3273,3273,0,3260,3260
"HARYANA","REWARI",5,500,505,15,2702,2716,15,2592,2606
"HARYANA","ROHTAK",17,158,175,120,787,907,120,787,907
"HARYANA","SIRSA",4,752,756,18,4236,4254,17,4012,4029
"HARYANA","SONEPAT",0,1601,1601,0,5958,5958,0,5913,5913
"HARYANA","YAMUNANAGAR",10,588,598,45,2300,2345,43,2143,2186
"HIMACHAL PRADESH","Bilaspur",1,34,35,3,82,85,3,82,85
"HIMACHAL PRADESH","Hamirpur",5,216,221,2,193,195,2,193,195
"HIMACHAL PRADESH","Kangra",0,256,256,0,567,567,0,501,501
