-----
{
 "description": "This table provides data related to Budget Support, Internal and Extra Budgetary Resources (IEBR) and Outlay for Central Ministry/Department - Tenth Plan (2002-07) realization and Eleventh Plan (2007-12) projections (in Rs. Crore) at 2006-07 prices. The allocation also includes funds for Central ...", 
 "file_name": "FR1011_Annex32_1.xls", 
 "title": "Download XLS for Budget Support, IEBR and Outlay for Central Ministry or Department - Tenth Plan Realization and Eleventh Plan Projections at 2006-07 Prices", 
 "url": "http://data.gov.in/sites/default/files/FR1011_Annex32_1.xls"
}
-----
"Sl. No.","Ministry / Department (all figures in Rs. Crore) (at 2006-07 Prices)","Budgetary Support - Tenth Plan Realization","Budgetary Support - Eleventh Plan Projection","Budgetary Support - % increase","IEBR - Tenth Plan Realization","IEBR - Eleventh Plan Projection","IEBR - % increase","Total Outlay - Tenth Plan Realization","Total Outlay - Eleventh Plan Projection","Total Outlay - % increase"
1.0,"Department of Agriculture and Cooperation",16025.0,36549.0,128.074882995,0.0,0.0,"NA",16025.0,36549.0,128.074882995
2.0,"Department of Agriculture Research & Education",4956.0,11131.0,124.596448749,0.0,0.0,"NA",4956.0,11131.0,124.596448749
3.0,"Department of Animal Husbandry, Dairying & Fisheries ",2520.0,7121.0,182.579365079,0.0,0.0,"NA",2520.0,7121.0,182.579365079
4.0,"Ministry of Micro Small & Medium Enterprises",5786.0,10168.0,75.7345316281,340.0,262.0,-22.9411764706,6126.0,10430.0,70.2579170748
"4a","(i) Agro And Rural Industires",3914.0,6631.0,69.4174757282,0.0,0.0,"NA",3914.0,6631.0,69.4174757282
"4b","(ii) Small - Scale Industries",1872.0,3537.0,88.9423076923,340.0,262.0,-22.9411764706,2212.0,3799.0,71.7450271248
5.0,"Department of Atomic Energy",16435.0,20318.0,23.6264070581,9093.0,28699.0,215.616408226,25528.0,49017.0,92.0126919461
6.0,"Department of Chemicals and Petrochemicals",612.0,1733.0,183.169934641,58.0,303.0,422.413793103,670.0,2036.0,203.880597015
7.0,"Department of Fertilizers",714.0,1320.0,84.8739495798,3210.0,16919.0,427.07165109,3924.0,18239.0,364.806320082
8.0,"Ministry of Civil Aviation",588.0,1680.0,185.714285714,9947.0,41880.0,321.031466774,10535.0,43560.0,313.478879924
9.0,"Ministry of Coal",1019.0,1326.0,30.127576055,15563.0,61826.0,297.262738547,16582.0,63152.0,280.846701242
10.0,"Department of Commerce",5062.0,8767.0,73.1924140656,53.0,0.0,-100.0,5115.0,8767.0,71.3978494624
11.0,"Department of Industrial Policy & Promotion",1941.0,3698.0,90.5203503349,0.0,0.0,"NA",1941.0,3698.0,90.5203503349
12.0,"Department of Posts",3845.0,3536.0,-8.03641092328,0.0,0.0,"NA",3845.0,3536.0,-8.03641092328
13.0,"Department of Telecommunications",906.0,1549.0,70.9713024283,76338.0,79204.0,3.75435562891,77244.0,80753.0,4.54274765678
14.0,"Department of Information  Technology",1902.0,11048.0,480.862250263,771.0,0.0,"NA",2673.0,11048.0,313.318368874
15.0,"Ministry of Corporate Affairs",1.0,187.0,0.0,0.0,0.0,"NA",1.0,187.0,"NA"
16.0,"Department of Consumer Affairs",284.0,958.0,237.323943662,0.0,0.0,"NA",284.0,958.0,237.323943662
17.0,"Department of Food & Public Distribution",268.0,614.0,129.104477612,456.0,891.0,95.3947368421,724.0,1505.0,107.872928177
18.0,"Ministry of Culture",1643.0,3116.0,89.6530736458,0.0,0.0,"NA",1643.0,3116.0,89.6530736458
19.0,"Ministry of Defence",0.0,0.0,0.0,0.0,0.0,"NA",0.0,0.0,"NA"
20.0,"Ministry of Development of North Eastern Region",169.0,447.0,164.49704142,0.0,0.0,"NA",169.0,447.0,164.49704142
21.0,"Ministry of Earth Sciences",1060.0,6193.0,484.245283019,0.0,0.0,"NA",1060.0,6193.0,484.245283019
22.0,"Ministry of Environment & Forests",5600.0,8841.0,57.875,0.0,0.0,"NA",5600.0,8841.0,57.875
23.0,"Ministry of External Affairs",3463.0,2201.0,-36.4423909905,0.0,0.0,"NA",3463.0,2201.0,-36.4423909905
24.0,"Department of Economic Affairs",2893.0,3946.0,36.3982025579,0.0,0.0,"NA",2893.0,3946.0,36.3982025579
26.0,"Department of Expenditure",2.0,5.0,150.0,0.0,0.0,"NA",2.0,5.0,150.0
27.0,"Ministry of Food Processing Industries",531.0,3564.0,571.186440678,0.0,0.0,"NA",531.0,3564.0,571.186440678
