-----
{
 "description": "The table refers to District wise Culturable Command Area and Potential Created through Deep Tubewells . The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwlstate3.11.csv", 
 "title": "Download CSV for Districtwise Culturable Command Area and Potential Created through Deep Tubewells", 
 "url": "http://data.gov.in/sites/default/files/dptbwlstate3.11.csv"
}
-----
"State","District","Culturable Command Area","Irrigation potential created - Kharif","Irrigation potential created - Rabi","Irrigation potential created - Perennial","Irrigation potential created - Others","Total - Irrigation potential created"
"ANDHRA PRADESH","ADILABAD",183,158,30,0,0,189
"ANDHRA PRADESH","ANANTHAPUR",1216,963,895,0,0,1858
"ANDHRA PRADESH","CHITTOOR",36490,27366,19925,1423,25,48739
"ANDHRA PRADESH","CUDDAPAH",50279,39375,31418,5814,490,77096
"ANDHRA PRADESH","EAST GODAVARI",18600,12508,8250,4948,121,25827
"ANDHRA PRADESH","GUNTUR",11952,11777,183,0,0,11960
"ANDHRA PRADESH","KARIMNAGAR",2380,1779,1330,72,35,3216
"ANDHRA PRADESH","KHAMMAM",2772,2704,890,0,0,3595
"ANDHRA PRADESH","KRISHNA",3687,2518,2337,682,356,5893
"ANDHRA PRADESH","KURNOOL",4887,5139,3730,62,3,8934
"ANDHRA PRADESH","MEDAK",772,275,275,523,0,1073
"ANDHRA PRADESH","NALGONDA",68,47,32,37,1,116
"ANDHRA PRADESH","NELLORE",714,316,290,122,112,841
"ANDHRA PRADESH","NIZAMABAD",11,9,1,2,0,12
"ANDHRA PRADESH","PRAKASAM",2868,2734,157,118,0,3008
"ANDHRA PRADESH","RANGAREDDY",1890,1435,939,127,37,2537
"ANDHRA PRADESH","SRIKAKULAM",179,6,174,0,0,179
"ANDHRA PRADESH","VISAKHAPATNAM",14,6,0,8,0,14
"ANDHRA PRADESH","WARANGAL",1414,1315,351,9,6,1681
"ANDHRA PRADESH","WEST GODAVARI",74219,43626,37306,19696,1370,101998
"ARUNACHAL PRADESH","PAPUMPARE",160,160,10,0,30,200
"ASSAM","BARPETA",54,32,20,2,2,55
"ASSAM","BONGAIGAON",1300,841,475,0,0,1316
"ASSAM","CACHAR",72,44,28,0,0,72
"ASSAM","DARRANG",969,858,312,72,98,1340
"ASSAM","DHEMAJI",491,374,155,0,0,529
"ASSAM","DHUBRI",542,341,211,0,15,567
"ASSAM","DIBRUGARH",215,123,105,0,0,228
"ASSAM","GOALPARA",1640,1369,697,0,45,2111
"ASSAM","GOLAGHAT",419,260,109,0,50,419
"ASSAM","HAILAKANDI",194,194,0,0,0,194
"ASSAM","JORHAT",2448,2068,795,15,151,3029
"ASSAM","KAMRUP",997,602,499,0,2,1102
"ASSAM","KARBIANGLONG",22,11,11,0,0,22
"ASSAM","KARIMGANJ",206,145,40,14,7,206
"ASSAM","KOKRAJHAR",194,170,85,0,0,255
"ASSAM","LAKHIMPUR",3122,3091,1845,5,8,4948
"ASSAM","MORIGAON",292,265,80,0,82,427
"ASSAM","NAGOAN",1179,505,370,415,0,1290
"ASSAM","NALBARI",1479,1180,337,0,3,1520
"ASSAM","NC HILLS",34,34,0,0,0,34
"ASSAM","SIBSAGAR",622,598,330,1,1,930
"ASSAM","SONITPUR",96,42,24,0,30,96
"ASSAM","TINSUKIA",4529,3921,2249,148,0,6318
"BIHAR","AURANGABAD",1168,963,651,27,32,1672
"BIHAR","BANKA",130,83,78,25,25,211
"BIHAR","BEGUSARAI",13207,4531,10362,659,487,16039
"BIHAR","BHAGALPUR",7831,3751,4399,684,334,9167
"BIHAR","BHOJPUR",10077,5507,5542,246,81,11376
"BIHAR","BUXAR",9919,4775,7118,783,133,12808
"BIHAR","DARBHANGA",24107,11238,12188,353,6475,30254
"BIHAR","EAST CHAMPARAN",19012,10988,11373,678,1116,24155
"BIHAR","GAYA",1478,1242,987,297,46,2572
"BIHAR","GOPAALGANJ",1797,592,1135,111,113,1950
"BIHAR","JAMUI",1,1,1,0,0,1
"BIHAR","JEHANABAD",1464,1049,506,20,110,1685
"BIHAR","KAIMUR (BHABUA)",6565,3928,2966,304,166,7364
"BIHAR","KATIHAR",6030,2645,3685,791,49,7170
"BIHAR","KHAGARIA",7562,1998,6076,552,0,8626
"BIHAR","KISHANGANJ",400,307,433,23,53,816
"BIHAR","LAKHISARAI",2782,1494,1209,105,53,2861
"BIHAR","MADHEPURA",858,660,763,121,44,1589
"BIHAR","MADHUBANI",5084,1840,3928,308,281,6357
"BIHAR","MUNGER",72,30,52,0,0,82
"BIHAR","MUZAFFARPUR",13954,5947,8382,1748,783,16859
"BIHAR","NALANDA",8574,7291,6578,10,1,13880
"BIHAR","NAWADA",5335,4099,1610,553,150,6412
"BIHAR","PATNA",11538,5232,4924,879,825,11860
"BIHAR","PURNIA",194,133,191,10,0,334
"BIHAR","ROHTAS(SASARAM)",4209,3006,2737,237,317,6297
"BIHAR","SAHARSA",915,537,650,0,0,1187
"BIHAR","SAMASTIPUR",9386,4657,8487,50,42,13236
"BIHAR","SARAN",3250,2180,2938,186,378,5683
"BIHAR","SHEKHPURA",8315,3197,4118,1012,856,9182
"BIHAR","SHEOHAR",866,305,577,32,151,1065
"BIHAR","SITAMARHI",17034,7536,11888,1257,1709,22389
"BIHAR","SIWAN",7763,3502,6392,293,464,10651
"BIHAR","SUPAUL",2368,877,1511,152,0,2541
"BIHAR","VAISHALI",7769,4833,11211,2146,1615,19806
"BIHAR","WEST CHAMPARAN",799,440,341,90,19,890
"CHANDIGARH","UT CHANDIGARH",821,679,679,38,100,1495
"CHHATTISGARH","BASTER",25,18,7,7,0,32
"CHHATTISGARH","BILASPUR",2361,2305,1101,14,3,3423
"CHHATTISGARH","DANTEWADA",30,30,0,0,0,30
"CHHATTISGARH","DHAMTARI",143,140,13,0,0,153
"CHHATTISGARH","DURG",2475,2101,1129,14,0,3243
"CHHATTISGARH","JANJGIR-CHAMPA",4204,3780,1651,0,8,5438
"CHHATTISGARH","JASHPUR",9,9,4,5,0,17
"CHHATTISGARH","KANKER",52,52,30,0,0,82
"CHHATTISGARH","KORIA",16,9,7,0,0,16
"CHHATTISGARH","KVARDHA",1319,1252,204,7,0,1463
"CHHATTISGARH","MAHASAMUND",112,77,58,12,0,147
"CHHATTISGARH","RAIGARH",2085,1965,1425,85,0,3475
"CHHATTISGARH","RAIPUR",1318,1189,564,283,24,2061
"CHHATTISGARH","RAJNANDGAON",235,201,55,0,5,261
"CHHATTISGARH","SURGUJA",608,18,595,0,0,613
"DELHI","MAHRAULI",3655,3227,3241,166,81,6714
"DELHI","NAJAFGARH",172,97,135,12,13,257
"GOA","NORTH GOA",67,0,4,58,6,68
"GOA","SOUTH GOA",8,1,1,7,0,9
"GUJARAT","AHMEDABAD",111881,68392,47149,10859,9342,135742
"GUJARAT","AMRELI",9147,9147,0,0,0,9147
"GUJARAT","ANAND",53544,17416,42103,408,23886,83813
"GUJARAT","BANASKANTHA",149692,65770,99673,11486,11691,188620
"GUJARAT","BHARUCH",6676,2820,3071,2270,85,8246
"GUJARAT","BHAVNAGAR",160,32,80,0,48,160
"GUJARAT","DANG",40,10,20,10,0,40
"GUJARAT","GANDHINAGAR",125754,44728,59323,21510,2739,128300
"GUJARAT","JUNAGADH",16480,16587,5145,3509,358,25599
"GUJARAT","KACHCHH",8557,4136,3200,1356,1906,10599
"GUJARAT","KHEDA",16894,13333,8654,12,1295,23294
"GUJARAT","MEHSANA",157419,42490,95989,16294,39070,193843
"GUJARAT","NARMADA",2466,228,556,1860,5,2649
"GUJARAT","NAVSARI",245,68,9,172,0,250
"GUJARAT","PANCHMAHAL",443,0,0,0,443,443
"GUJARAT","PATAN",168695,35737,99915,538,35841,172031
"GUJARAT","PORBANDAR",1738,1742,133,0,0,1875
"GUJARAT","RAJKOT",18161,33223,25050,272,3616,62160
"GUJARAT","SABARKANTHA",7146,5329,4016,103,0,9448
"GUJARAT","SURAT",642,4,628,11,0,643
"GUJARAT","SURENDRANAGAR",24983,21319,17991,3884,1097,44291
"GUJARAT","VADODARA",57735,20031,40844,11600,13070,85545
"HARYANA","AMBALA",18049,17624,17304,320,11,35259
"HARYANA","BHIWANI",1245,435,1141,0,0,1576
"HARYANA","FARIDABAD",98,71,98,0,0,169
"HARYANA","FATEHABAD",11777,11511,11461,118,0,23090
"HARYANA","GURGAON",1584,160,1529,0,0,1690
"HARYANA","HISSAR",1350,1230,1224,0,0,2455
"HARYANA","JHAJJAR",1902,1168,1848,0,0,3015
"HARYANA","JIND",4149,3537,3675,3,0,7215
"HARYANA","KAITHAL",12110,11777,12008,30,0,23815
"HARYANA","KARNAL",9859,9950,9788,4,0,19743
"HARYANA","KURUKSHETRA",17969,17903,17880,0,4,35786
"HARYANA","MAHENDRAGARH",3256,57,3249,0,0,3306
"HARYANA","PANCHKULA",1583,1122,1319,16,0,2457
"HARYANA","PANIPAT",4300,4219,4242,0,0,8461
"HARYANA","REWARI",1114,359,1072,0,0,1431
"HARYANA","SIRSA",11669,11197,11168,2,0,22367
"HARYANA","SONEPAT",1663,1560,1510,0,0,3069
"HARYANA","YAMUNANAGAR",1704,1263,1303,3,0,2570
"HIMACHAL PRADESH","Kangra",2391,1772,1674,369,0,3815
"HIMACHAL PRADESH","Kullu",3,2,2,0,1,4
"HIMACHAL PRADESH","Sirmaur",634,314,485,74,0,873
"HIMACHAL PRADESH","Solan",936,820,877,2,16,1715
"HIMACHAL PRADESH","Una",5605,2232,4257,57,26,6571
"JAMMU & KASHMIR","JAMMU",230,219,157,0,0,376
"JAMMU & KASHMIR","KATHUA",86,64,64,0,0,128
"JHARKHAND","CHATRA",5,5,3,0,0,8
"JHARKHAND","DUMKA",59,42,16,0,0,59
"JHARKHAND","GARHWA",30,8,32,0,0,40
"JHARKHAND","GIRIDIH",38,32,15,0,0,48
"JHARKHAND","HAZARIBAGH",19,16,4,0,0,21
"JHARKHAND","SAHEBGANJ",45,30,45,0,0,75
"JHARKHAND","SARAIKELA",4,4,0,0,0,4
"JHARKHAND","WEST SINGHBHUM",9,9,0,0,0,9
"KARNATAKA","Bangalore",32,32,0,0,0,32
"KARNATAKA","Bangalore Rural",79,79,0,0,0,79
"KARNATAKA","Belgaum",214,214,20,0,0,234
"KARNATAKA","Bellary",71,71,0,0,0,71
