-----
{
 "description": "The table refers to Block wise Distribution of Surface Lift Schemes according to ownership. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.2.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Lift Schemes according to Ownership", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.2.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Government,Cooperative Societies,Panchayat,Group of farmers,Individual farmers,Others,Total
ANDHRA PRADESH,GUNTUR,MACHERLA,1,0,0,3,0,0,4
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,0,0,0,1,4,0,5
ANDHRA PRADESH,GUNTUR,MUPPALLA,0,0,0,0,20,0,20
ANDHRA PRADESH,GUNTUR,NADENDLA,8,1,0,9,4,2,24
ANDHRA PRADESH,GUNTUR,NAGARAM,0,0,0,0,70,0,70
ANDHRA PRADESH,GUNTUR,NARASARAOPETA,6,0,0,18,10,0,34
ANDHRA PRADESH,GUNTUR,NIZAMPATNAM,0,7,0,18,7,0,32
ANDHRA PRADESH,GUNTUR,NUZENDLA,0,0,0,14,76,0,90
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,1,0,0,1,0,0,2
ANDHRA PRADESH,GUNTUR,PEDAKURAPADU,4,0,0,2,5,0,11
ANDHRA PRADESH,GUNTUR,PEDANANDIPADU,0,0,0,8,0,0,8
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,1,0,0,0,1,0,2
ANDHRA PRADESH,GUNTUR,PITTALAVANIPALEM,1,0,0,1,18,0,20
ANDHRA PRADESH,GUNTUR,PONNUR,0,0,0,7,46,0,53
ANDHRA PRADESH,GUNTUR,RAJUPALEM,16,0,0,0,37,0,53
ANDHRA PRADESH,GUNTUR,REPALLE,0,0,0,0,57,0,57
ANDHRA PRADESH,GUNTUR,SATTENAPALLE,2,0,0,27,76,0,105
ANDHRA PRADESH,GUNTUR,SAVALYAPURAM,2,0,0,12,19,0,33
ANDHRA PRADESH,GUNTUR,TADIKONDA,0,0,0,3,0,0,3
ANDHRA PRADESH,GUNTUR,THADEPALLE,7,1,0,31,35,0,74
ANDHRA PRADESH,GUNTUR,VATTICHERUKURU,1,0,0,2,0,0,3
ANDHRA PRADESH,GUNTUR,VEMURU,0,0,0,1,18,0,19
ANDHRA PRADESH,GUNTUR,VINUKONDA,0,0,0,101,78,0,179
ANDHRA PRADESH,KARIMNAGAR,CHIGURUMAMIDI,0,0,0,3,0,0,3
ANDHRA PRADESH,KARIMNAGAR,ELEGADE,0,0,0,36,0,0,36
ANDHRA PRADESH,KARIMNAGAR,GAMBHIRAOPET,0,0,0,0,37,0,37
ANDHRA PRADESH,KARIMNAGAR,JULAPALLE,0,0,0,11,21,0,32
ANDHRA PRADESH,KARIMNAGAR,KAMANPUR,0,0,0,0,116,0,116
ANDHRA PRADESH,KARIMNAGAR,MALHARRAO,2,0,0,0,0,0,2
ANDHRA PRADESH,KARIMNAGAR,MANTHANI,9,0,0,0,0,0,9
ANDHRA PRADESH,KARIMNAGAR,MUTHARAM MANTHANI,0,0,0,9,58,0,67
ANDHRA PRADESH,KARIMNAGAR,ODELA,0,0,0,9,11,0,20
ANDHRA PRADESH,KARIMNAGAR,SRIRAMPUR,0,0,0,0,27,0,27
ANDHRA PRADESH,KARIMNAGAR,SULTANABAD,0,0,0,0,24,0,24
ANDHRA PRADESH,KARIMNAGAR,THIMMAPUR,7,0,0,0,5,0,12
ANDHRA PRADESH,KARIMNAGAR,VELGATOOR,0,0,0,0,0,58,58
ANDHRA PRADESH,KARIMNAGAR,YELLA REDDI PETA,0,0,0,0,28,0,28
ANDHRA PRADESH,KHAMMAM,ASWAPURAM,11,0,0,4,64,0,79
ANDHRA PRADESH,KHAMMAM,ASWARAOPETA,5,2,0,0,70,0,77
ANDHRA PRADESH,KHAMMAM,BAYYARAM,9,0,0,0,21,0,30
ANDHRA PRADESH,KHAMMAM,BHADRACHALAM,3,0,0,1,51,0,55
ANDHRA PRADESH,KHAMMAM,BONAKAL,0,1,0,0,142,0,143
ANDHRA PRADESH,KHAMMAM,BURGAMPADU,6,0,0,0,99,2,107
ANDHRA PRADESH,KHAMMAM,CHANDRUGONDA,0,0,0,0,1,0,1
ANDHRA PRADESH,KHAMMAM,CHERLA,0,0,0,0,7,0,7
ANDHRA PRADESH,KHAMMAM,CHINTHAKANI,2,0,0,2,0,0,4
ANDHRA PRADESH,KHAMMAM,CHINTUR,0,0,0,0,234,0,234
ANDHRA PRADESH,KHAMMAM,DUMMUGUDEM,17,0,0,0,14,0,31
ANDHRA PRADESH,KHAMMAM,ENKURU,1,0,0,55,4,0,60
ANDHRA PRADESH,KHAMMAM,GARLA,0,0,1,1,79,0,81
ANDHRA PRADESH,KHAMMAM,GUNDALA,0,0,1,0,5,0,6
ANDHRA PRADESH,KHAMMAM,KALLURU,7,0,0,0,88,0,95
ANDHRA PRADESH,KHAMMAM,KHAMMAM RURAL,0,0,0,0,280,0,280
ANDHRA PRADESH,KHAMMAM,KHAMMAM URBAN,1,0,0,0,84,0,85
ANDHRA PRADESH,KHAMMAM,KONIJERLA,3,0,0,0,0,0,3
ANDHRA PRADESH,KHAMMAM,KOTHAGUDEM,17,1,0,0,345,0,363
ANDHRA PRADESH,KHAMMAM,KUKUNOOR,0,0,0,0,193,0,193
ANDHRA PRADESH,KHAMMAM,KUNAVARAM,6,2,1,0,125,0,134
ANDHRA PRADESH,KHAMMAM,KUSUMANCHI,2,0,0,0,0,0,2
ANDHRA PRADESH,KHAMMAM,MADHIRA,7,1,0,0,213,0,221
ANDHRA PRADESH,KHAMMAM,MUDIGONDA,12,0,0,0,0,0,12
ANDHRA PRADESH,KHAMMAM,MULAKALAPALLE,0,0,0,0,193,1,194
ANDHRA PRADESH,KHAMMAM,NELAKONDAPALLE,6,0,1,0,0,0,7
ANDHRA PRADESH,KHAMMAM,PALAWANCHA,0,0,0,0,302,0,302
ANDHRA PRADESH,KHAMMAM,PENUBALLI,18,0,0,0,44,0,62
ANDHRA PRADESH,KHAMMAM,SATHUPALLE,0,0,0,0,53,0,53
ANDHRA PRADESH,KHAMMAM,SINGARENI,0,0,0,0,29,0,29
ANDHRA PRADESH,KHAMMAM,TEKULAPALLE,44,9,1,14,137,1,206
ANDHRA PRADESH,KHAMMAM,THALLADA,6,0,0,3,260,0,269
ANDHRA PRADESH,KHAMMAM,THIRUMALAYAPALEM,1,0,0,0,1,0,2
ANDHRA PRADESH,KHAMMAM,VARARAMACHANDRAPURAM,0,0,0,0,268,0,268
