-----
{
 "description": "The table refers to District wise Distribution of Surface Lift Schemes in use according to Utilization of Potential Created. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftstate5.15.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Lift Schemes in use according to Utilization of Potential Created", 
 "url": "http://data.gov.in/sites/default/files/srfcliftstate5.15.csv"
}
-----
"State","District","No. of constraints in utilisation","Constraints in utilisation - Inadequate power supply","Constraints in utilisation - Mechanical breakdown","Constraints in utilisation - Less water discharge","Constraints in utilisation - Storage siltation","Constraints in utilisation - Channel break down","Constraints in utilisation - Other reasons","Total","Total in use"
"ANDAMAN & NICOBARS","ANDAMAN",0,0,4,106,0,0,1131,1241,1241
"ANDAMAN & NICOBARS","NICOBAR",0,0,0,3,0,0,11,14,14
"ANDHRA PRADESH","ADILABAD",929,77,19,413,2,0,0,511,1440
"ANDHRA PRADESH","ANANTHAPUR",0,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR",20,3,0,0,0,0,0,3,23
"ANDHRA PRADESH","CUDDAPAH",223,11,0,147,19,0,0,177,400
"ANDHRA PRADESH","EAST GODAVARI",50,1,1,3,0,0,1,6,56
"ANDHRA PRADESH","GUNTUR",1194,9,200,26,103,2,1,341,1535
"ANDHRA PRADESH","KARIMNAGAR",227,23,8,56,148,1,0,236,463
"ANDHRA PRADESH","KHAMMAM",3006,977,0,107,2,0,0,1086,4092
"ANDHRA PRADESH","KRISHNA",42,18,6,6,2,0,9,41,83
"ANDHRA PRADESH","KURNOOL",1261,53,58,649,2,0,52,814,2075
"ANDHRA PRADESH","MAHABOOBNAGAR",1094,159,6,83,0,0,0,248,1342
"ANDHRA PRADESH","MEDAK",731,6,0,248,0,0,0,254,985
"ANDHRA PRADESH","NALGONDA",2086,357,1,1640,177,0,50,2225,4311
"ANDHRA PRADESH","NELLORE",2061,13,4,536,6,0,15,574,2635
"ANDHRA PRADESH","NIZAMABAD",1163,555,7,41,7,0,9,619,1782
"ANDHRA PRADESH","PRAKASAM",863,1,0,360,10,0,9,380,1243
"ANDHRA PRADESH","RANGAREDDY",168,12,1,80,0,0,0,93,261
"ANDHRA PRADESH","SRIKAKULAM",12,1,1,3,0,0,0,5,17
"ANDHRA PRADESH","VISAKHAPATNAM",28,0,11,0,0,0,0,11,39
"ANDHRA PRADESH","VIZIANAGARAM",52,23,0,12,45,0,54,134,186
"ANDHRA PRADESH","WARANGAL",164,1,2,44,0,0,0,47,211
"ANDHRA PRADESH","WEST GODAVARI",197,25,2,13,1,0,0,41,238
"ARUNACHAL PRADESH","DIBANG VALLEY",0,0,3,0,0,0,0,3,3
"ARUNACHAL PRADESH","LOHIT",0,0,2,0,0,0,0,2,2
