-----
{
 "description": "The table refers to statewise distribution of shallow tubewells according to water lifting device . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Stateshtbwl2.9.csv", 
 "title": "Download CSV for Statewise Distribution of Shallow Tubewells according to Water Lifting Device for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Stateshtbwl2.9.csv"
}
-----
State,Electric pumps,Diesel pumps,Wind mills,Solar pumps,Man/Animal operated,Others,Total
ANDHRA PRADESH,296234,18270,151,133,1283,1126,317197
ARUNACHAL PRADESH,0,0,0,0,0,0,0
ASSAM,410,26657,1,1,2,1,27072
BIHAR,35415,547404,1719,313,3303,1365,589519
GOA,26,1,0,0,0,1,28
GUJARAT,NA,NA,NA,NA,NA,NA,NA
HARYANA,341437,148206,1631,191,1024,1805,494294
HIMACHAL PRADESH,945,661,3,0,6,9,1624
JAMMU & KASHMIR,1164,149,0,0,0,0,1313
KARNATAKA,77271,562,199,95,413,1056,79596
KERALA,2037,254,2,2,57,12,2364
MADHYA PRADESH,117830,2036,127,47,838,626,121504
MAHARASHTRA,NA,NA,NA,NA,NA,NA,NA
MANIPUR,0,23,0,0,0,13,36
MEGHALAYA,0,80,0,0,1,29,110
MIZORAM,0,0,0,0,0,0,0
NAGALAND,2,4,0,0,0,0,6
ORISSA,9164,8035,32,11,813,40,18095
PUNJAB,580207,353396,5034,583,1918,3071,944209
RAJASTHAN,13600,48081,90,16,159,1153,63099
SIKKIM,0,0,0,0,0,0,0
TAMIL NADU,55622,17919,165,99,1477,1039,76321
TRIPURA,52,1,0,0,79,4,136
UTTAR PRADESH,306978,1624923,7624,33299,2082,7660,1982566
WEST BENGAL,63254,431553,1423,89,5461,2858,504638
ANDAMAN & NICOBARS,0,0,0,0,0,0,0
CHANDIGARH,0,0,0,0,0,0,0
DADRA & NAGAR HAVELI,0,0,0,0,0,0,0
DAMAN & DIU,NA,NA,NA,NA,NA,NA,NA
DELHI,8245,754,4,3,11,3,9020
LAKSHADWEEP,NA,NA,NA,NA,NA,NA,NA
PONDICHERRY,3754,55,0,0,1,85,3895
All India,1913647,3229024,18205,34882,18928,21956,5236642
