-----
{
 "description": "This table describes that the importance of educational empowerment assumes special importance in the context of minorities, especially Muslims, who have\rbeen lagging behind the rest. This table provides Percentage Distribution of Workers by Category based on religion.", 
 "file_name": "SJ11.xls", 
 "title": "Download XLS for Percentage Distribution Of Workers By Category Based On Religion", 
 "url": "http://data.gov.in/sites/default/files/SJ11.xls"
}
-----
"Name of Religion","Percentage to Total Workers : Cultivators Labourers ","Percentage to Total Workers: Agricultural Labouers","Percentage to Total Workers: Agricultural Labouers","Percentage to Total Workers: Agricultural Labouers"
" Hindus  ",33.1,27.6,3.8,35.5
" Muslims  ",20.7,22.0,8.7,49.1
" Christian  ",29.2,15.3,2.7,52.8
" Sikhs  ",32.4,16.8,3.4,47.3
" Buddhists  ",20.4,37.6,2.9,39.2
" Other religions  ",49.9,32.6,3.2,14.3
