-----
{
 "description": "This table provides details on installed capacity addition during the Eleventh Plan (in MW).", 
 "file_name": "Installed_Capacity_Addition_During_The_Eleventh_Plan.xls", 
 "title": "Download XLS for Installed Capacity Addition During The Eleventh Plan", 
 "url": "http://data.gov.in/sites/default/files/Installed_Capacity_Addition_During_The_Eleventh_Plan.xls"
}
-----
"Category","Target -Central ","Target -State","Target - Private","Target - Total","Actual - Central ","Actual - State","Actual - Private","Actual - Total"
"Hydro",8654.0,3482.0,3.491,15627.0,1550.0,2702.0,1292.0,5544.0
"Thermal",24840.0,23301.0,11552.0,59693.0,12790.0,14030.0,21720.0,48540.0
"Nuclear",3380.0,0.0,0.0,3380.0,880.0,0.0,0.0,880.0
"Total",36874.0,26783.0,15043.0,78700.0,15220.0,16732.0,23012.0,54964.0
