-----
{
 "description": "The table refers to block wise surface lift schemes according to constraints. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.16.csv", 
 "title": "Download CSV for Blockwise Surface lift Schemes according to the constraints for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.16.csv"
}
-----
-----
{
 "description": "The table refers to block wise surface lift schemes according to constraints. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.16.csv", 
 "title": "Download CSV for Blockwise Surface lift Schemes according to the constraints for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.16.csv"
}
-----
"State","District","Block","Total No. of Schemes in Use","No. of scemes with no constraints","Constraints  in utilisation of irrigation potential - Power inadequate","Constraints  in utilisation of irrigation potential - Mechanical break down","Constraints  in utilisation of irrigation potential - Less water discharge","Constraints  in utilisation of irrigation potential - Storage siltation","Constraints  in utilisation of irrigation potential - Channel break down","Constraints  in utilisation of irrigation potential - Other reason","Total","Grand Total"
"ANDHRA PRADESH","ADILABAD","TAMSI",96,13,0,7,75,1,0,0,83,179
"ANDHRA PRADESH","ADILABAD","TIRYANI",54,32,18,1,3,0,0,0,22,76
"ANDHRA PRADESH","ANANTHAPUR","TANAKAL",1,0,0,0,0,1,0,0,1,2
"ANDHRA PRADESH","CHITTOOR","BUCHINAIDU KHANDRIGA",64,64,0,0,0,0,0,0,0,64
"ANDHRA PRADESH","CHITTOOR","RENIGUNTA",13,13,0,0,0,0,0,0,0,13
"ANDHRA PRADESH","CHITTOOR","THOTTAMBEDA",23,14,0,0,9,0,0,0,9,32
"ANDHRA PRADESH","CUDDAPAH","ATLUR",0,0,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","BADVEL",2,0,0,1,0,1,0,0,2,4
"ANDHRA PRADESH","CUDDAPAH","DUVVUR",4,4,0,0,0,0,0,0,0,4
"ANDHRA PRADESH","CUDDAPAH","KHAJIPET",33,23,0,0,5,5,0,0,10,43
"ANDHRA PRADESH","CUDDAPAH","PEDDAMUDIUM",25,25,0,0,0,0,0,0,0,25
"ANDHRA PRADESH","CUDDAPAH","RAMAPURAM",2,2,0,0,0,0,0,0,0,2
"ANDHRA PRADESH","CUDDAPAH","VALLUR",4,2,1,0,1,0,0,0,2,6
"ANDHRA PRADESH","CUDDAPAH","VONTIMITTA",0,0,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","EAST GODAVARI","ADDATEEGALA",1,0,0,0,1,0,0,0,1,2
"ANDHRA PRADESH","EAST GODAVARI","ATREYAPURAM",13,13,0,0,0,0,0,0,0,13
"ANDHRA PRADESH","EAST GODAVARI","JAGGAMPETA",6,5,0,0,0,1,0,0,1,7
"ANDHRA PRADESH","EAST GODAVARI","KADIAM",1,0,0,0,0,1,0,0,1,2
"ANDHRA PRADESH","EAST GODAVARI","KAJULURU",2,2,0,0,0,0,0,0,0,2
"ANDHRA PRADESH","EAST GODAVARI","KAPILESWARAPURAM",14,4,0,0,0,10,0,0,10,24
"ANDHRA PRADESH","EAST GODAVARI","KARAPA",11,11,0,0,0,0,0,0,0,11
"ANDHRA PRADESH","EAST GODAVARI","KIRLAMPUDI",1,1,0,0,0,0,0,0,0,1
"ANDHRA PRADESH","EAST GODAVARI","PAMARRU",5,0,0,0,0,5,0,0,5,10
"ANDHRA PRADESH","EAST GODAVARI","PEDAPUDI",1,1,0,0,0,0,0,0,0,1
"ANDHRA PRADESH","EAST GODAVARI","PRATHIPADU",10,10,0,0,0,0,0,0,0,10
"ANDHRA PRADESH","EAST GODAVARI","RAJAHMUNDRY RURAL",3,0,0,3,0,0,0,0,3,6
"ANDHRA PRADESH","EAST GODAVARI","RAJAVOMMANGI",2,0,0,0,0,2,0,0,2,4
"ANDHRA PRADESH","EAST GODAVARI","RANGAMPETA",1,0,1,0,0,0,0,0,1,2
"ANDHRA PRADESH","EAST GODAVARI","SAMALKOTA",1,1,0,0,0,0,0,0,0,1
"ANDHRA PRADESH","EAST GODAVARI","THALLAREVU",2,2,0,0,0,0,0,0,0,2
"ANDHRA PRADESH","EAST GODAVARI","Y. RAMAVARAM",1,0,1,0,0,0,0,0,1,2
"ANDHRA PRADESH","GUNTUR","ACHAMPET",40,35,1,0,4,0,0,0,5,45
"ANDHRA PRADESH","GUNTUR","AMARAVATHI",64,46,0,16,2,0,0,0,18,82
"ANDHRA PRADESH","GUNTUR","BAPATLA",51,51,0,0,0,0,0,0,0,51
"ANDHRA PRADESH","GUNTUR","BELLAMKONDA",12,0,12,0,0,0,0,0,12,24
"ANDHRA PRADESH","GUNTUR","BOLLAPALLE",1,0,0,0,1,0,0,0,1,2
"ANDHRA PRADESH","GUNTUR","CHEBROLE",5,3,0,0,0,2,0,0,2,7
"ANDHRA PRADESH","GUNTUR","CHERUKUPALLE",1,1,0,0,0,0,0,0,0,1
"ANDHRA PRADESH","GUNTUR","CHILAKALURIPET",32,32,0,0,0,0,0,0,0,32
"ANDHRA PRADESH","GUNTUR","DACHEPALLE",87,27,0,0,0,60,0,0,60,147
"ANDHRA PRADESH","GUNTUR","EDLAPADU",32,32,0,0,0,0,0,0,0,32
"ANDHRA PRADESH","GUNTUR","GUNTUR",1,0,0,0,1,0,0,0,1,2
"ANDHRA PRADESH","GUNTUR","GURAZALA",24,0,0,0,0,24,0,0,24,48
"ANDHRA PRADESH","GUNTUR","IPUR",1,1,0,0,0,0,0,0,0,1
"ANDHRA PRADESH","GUNTUR","KAKUMANU",6,6,0,0,0,0,0,0,0,6
"ANDHRA PRADESH","GUNTUR","KARLAPALEM",26,25,0,0,1,0,0,0,1,27
"ANDHRA PRADESH","GUNTUR","KOLLUR",9,9,0,0,0,0,0,0,0,9
"ANDHRA PRADESH","GUNTUR","KROSURU",82,79,0,1,2,0,0,0,3,85
"ANDHRA PRADESH","GUNTUR","MACHERLA",3,3,0,0,0,0,0,0,0,3
"ANDHRA PRADESH","GUNTUR","MANGALAGIRI",6,3,0,0,0,3,0,0,3,9
"ANDHRA PRADESH","GUNTUR","MUPPALLA",2,1,1,0,0,0,0,0,1,3
"ANDHRA PRADESH","GUNTUR","NADENDLA",28,28,0,0,0,0,0,0,0,28
"ANDHRA PRADESH","GUNTUR","NAGARAM",102,100,0,0,0,2,0,0,2,104
"ANDHRA PRADESH","GUNTUR","NARASARAOPET",2,1,0,0,0,1,0,0,1,3
"ANDHRA PRADESH","GUNTUR","NIZAMPATNAM",27,27,0,0,0,0,0,0,0,27
"ANDHRA PRADESH","GUNTUR","NUZENDLA",89,89,0,0,0,0,0,0,0,89
"ANDHRA PRADESH","GUNTUR","PEDAKAKANI",2,0,2,0,0,0,0,0,2,4
"ANDHRA PRADESH","GUNTUR","PEDAKURAPADU",2,2,0,0,0,0,0,0,0,2
"ANDHRA PRADESH","GUNTUR","PEDANANDIPADU",3,0,0,0,3,0,0,0,3,6
"ANDHRA PRADESH","GUNTUR","PHIRANGIPURAM",3,1,1,0,0,1,0,0,2,5
"ANDHRA PRADESH","GUNTUR","PITTALAVANIPALEM",18,17,0,0,0,1,0,0,1,19
"ANDHRA PRADESH","GUNTUR","PONNUR",44,44,0,0,0,0,0,0,0,44
"ANDHRA PRADESH","GUNTUR","RAJUPALEM",47,47,0,0,0,0,0,0,0,47
"ANDHRA PRADESH","GUNTUR","REPALLE",54,54,0,0,0,0,0,0,0,54
"ANDHRA PRADESH","GUNTUR","SATTENAPALLE",89,87,1,0,1,0,0,0,2,91
"ANDHRA PRADESH","GUNTUR","SAV'PURAM KANUM'PUDI",20,20,0,0,0,0,0,0,0,20
"ANDHRA PRADESH","GUNTUR","TADEPALLE",69,62,0,0,0,7,0,0,7,76
"ANDHRA PRADESH","GUNTUR","TADIKONDA",40,40,0,0,0,0,0,0,0,40
"ANDHRA PRADESH","GUNTUR","TENALI",1,1,0,0,0,0,0,0,0,1
"ANDHRA PRADESH","GUNTUR","THULLUR",5,3,0,0,1,1,0,0,2,7
"ANDHRA PRADESH","GUNTUR","VATTICHERUKURU",1,0,0,0,0,1,0,0,1,2
"ANDHRA PRADESH","GUNTUR","VEMURU",7,7,0,0,0,0,0,0,0,7
"ANDHRA PRADESH","GUNTUR","VINUKONDA",133,133,0,0,0,0,0,0,0,133
"ANDHRA PRADESH","KARIMNAGAR","CHIGURUMAMIDI",3,0,0,0,3,0,0,0,3,6
"ANDHRA PRADESH","KARIMNAGAR","GAMBHIRAOPET",40,32,0,0,0,8,0,0,8,48
"ANDHRA PRADESH","KARIMNAGAR","KATARAM",1,0,0,1,0,0,0,0,1,2
"ANDHRA PRADESH","KARIMNAGAR","MALHARRAO MANDAL",1,0,0,0,0,1,0,0,1,2
"ANDHRA PRADESH","KARIMNAGAR","MANTHANI",5,0,0,0,0,5,0,0,5,10
"ANDHRA PRADESH","KARIMNAGAR","MANTHANI",67,64,0,0,0,3,0,0,3,70
"ANDHRA PRADESH","KARIMNAGAR","MUSTABAD",53,31,0,0,10,12,0,0,22,75
"ANDHRA PRADESH","KARIMNAGAR","ODELA",12,12,0,0,0,0,0,0,0,12
"ANDHRA PRADESH","KARIMNAGAR","RAIKAL",2,0,0,0,0,2,0,0,2,4
"ANDHRA PRADESH","KARIMNAGAR","SRIRAMPUR",141,141,0,0,0,0,0,0,0,141
"ANDHRA PRADESH","KARIMNAGAR","THIMMAPUR",5,0,0,0,0,5,0,0,5,10
"ANDHRA PRADESH","KARIMNAGAR","VELGATOOR",44,3,22,19,0,0,0,0,41,85
"ANDHRA PRADESH","KHAMMAM","ASWAPURAM",82,82,0,0,0,0,0,0,0,82
"ANDHRA PRADESH","KHAMMAM","ASWARAOPETA",31,31,0,0,0,0,0,0,0,31
"ANDHRA PRADESH","KHAMMAM","BAYYARAM",110,10,0,0,100,0,0,0,100,210
"ANDHRA PRADESH","KHAMMAM","BHADRACHALAM",100,100,0,0,0,0,0,0,0,100
"ANDHRA PRADESH","KHAMMAM","BONAKAL",32,29,0,0,3,0,0,0,3,35
"ANDHRA PRADESH","KHAMMAM","BURGAMPADU",140,135,0,1,4,0,0,0,5,145
"ANDHRA PRADESH","KHAMMAM","CHANDRUGONDA",36,30,0,0,6,0,0,0,6,42
"ANDHRA PRADESH","KHAMMAM","CHERLA",96,96,0,0,0,0,0,0,0,96
"ANDHRA PRADESH","KHAMMAM","CHINTHAKANI",25,25,0,0,0,0,0,0,0,25
"ANDHRA PRADESH","KHAMMAM","CHINTUR",152,149,0,0,3,0,0,0,3,155
"ANDHRA PRADESH","KHAMMAM","DUMMUGUDEM",42,42,0,0,0,0,0,0,0,42
"ANDHRA PRADESH","KHAMMAM","ENKURU",48,48,0,0,0,0,0,0,0,48
"ANDHRA PRADESH","KHAMMAM","GARLA",217,217,0,0,0,0,0,0,0,217
"ANDHRA PRADESH","KHAMMAM","GUNDALA",11,11,0,0,0,0,0,0,0,11
"ANDHRA PRADESH","KHAMMAM","JULURPAD",2,0,0,0,0,2,0,0,2,4
"ANDHRA PRADESH","KHAMMAM","KALLURU",23,23,0,0,0,0,0,0,0,23
"ANDHRA PRADESH","KHAMMAM","KHAMMAM (RURAL)",195,132,0,0,63,0,0,0,63,258
"ANDHRA PRADESH","KHAMMAM","KHAMMAM (URBAN)",55,45,1,1,8,0,0,0,10,65
"ANDHRA PRADESH","KHAMMAM","KOTHAGUDEM",149,55,0,0,94,0,0,0,94,243
"ANDHRA PRADESH","KHAMMAM","KUKUNOOR",130,120,0,3,6,1,0,0,10,140
"ANDHRA PRADESH","KHAMMAM","KUNAVARAM",623,623,0,0,0,0,0,0,0,623
"ANDHRA PRADESH","KHAMMAM","MADHIRA",265,155,12,1,87,10,0,0,110,375
"ANDHRA PRADESH","KHAMMAM","MANUGUR",40,30,0,10,0,0,0,0,10,50
"ANDHRA PRADESH","KHAMMAM","MUDIGONDA",3,3,0,0,0,0,0,0,0,3
"ANDHRA PRADESH","KHAMMAM","MULAKALAPALLE",184,0,1,0,171,12,0,0,184,368
"ANDHRA PRADESH","KHAMMAM","NELAKONDAPALLE",3,3,0,0,0,0,0,0,0,3
"ANDHRA PRADESH","KHAMMAM","PALWANCHA",234,184,0,0,43,7,0,0,50,284
"ANDHRA PRADESH","KHAMMAM","PENUBALLI",21,14,0,0,7,0,0,0,7,28
"ANDHRA PRADESH","KHAMMAM","PINAPAKA",11,11,0,0,0,0,0,0,0,11
"ANDHRA PRADESH","KHAMMAM","SATHUPALLE",36,30,5,1,0,0,0,0,6,42
"ANDHRA PRADESH","KHAMMAM","SINGARENI",1,1,0,0,0,0,0,0,0,1
"ANDHRA PRADESH","KHAMMAM","TEKULAPALLE",124,106,1,0,16,1,0,0,18,142
"ANDHRA PRADESH","KHAMMAM","THALLADA",169,32,0,0,137,0,0,0,137,306
"ANDHRA PRADESH","KHAMMAM","THIRUMALAYAPALEM",3,1,1,0,1,0,0,0,2,5
"ANDHRA PRADESH","KHAMMAM","VARARAMACHANDRAPURAM",412,412,0,0,0,0,0,0,0,412
"ANDHRA PRADESH","KHAMMAM","VELAIRPAD",134,134,0,0,0,0,0,0,0,134
"ANDHRA PRADESH","KHAMMAM","VEMSOOR",1,0,0,0,1,0,0,0,1,2
"ANDHRA PRADESH","KHAMMAM","VENKATAPURAM",351,351,0,0,0,0,0,0,0,351
"ANDHRA PRADESH","KHAMMAM","WAZEED",74,74,0,0,0,0,0,0,0,74
"ANDHRA PRADESH","KHAMMAM","WYRA",78,67,1,2,2,6,0,0,11,89
"ANDHRA PRADESH","KHAMMAM","YERRUPALEM",48,44,0,0,4,0,0,0,4,52
"ANDHRA PRADESH","KRISHNA","AGIRIPALLE",1,0,0,0,1,0,0,0,1,2
"ANDHRA PRADESH","KRISHNA","BAPULAPADU",13,13,0,0,0,0,0,0,0,13
"ANDHRA PRADESH","KRISHNA","CHANDARLAPADU",5,0,0,0,1,4,0,0,5,10
"ANDHRA PRADESH","KRISHNA","CHATRAI",1,1,0,0,0,0,0,0,0,1
"ANDHRA PRADESH","KRISHNA","GAMPALAGUDEM",3,2,1,0,0,0,0,0,1,4
"ANDHRA PRADESH","KRISHNA","GANNAVARAM",3,1,0,0,0,2,0,0,2,5
"ANDHRA PRADESH","KRISHNA","IBRAHIMPATNAM",2,2,0,0,0,0,0,0,0,2
"ANDHRA PRADESH","KRISHNA","JAGGAYYAPETA",3,1,0,0,2,0,0,0,2,5
"ANDHRA PRADESH","KRISHNA","KAIKALUR",10,8,2,0,0,0,0,0,2,12
"ANDHRA PRADESH","KRISHNA","KALIDINDI",5,2,0,0,0,3,0,0,3,8
"ANDHRA PRADESH","KRISHNA","KANCHIKACHERLA",3,3,0,0,0,0,0,0,0,3
"ANDHRA PRADESH","KRISHNA","MANDAVALLI",4,4,0,0,0,0,0,0,0,4
"ANDHRA PRADESH","KRISHNA","MUDINEPALLE",7,7,0,0,0,0,0,0,0,7
"ANDHRA PRADESH","KRISHNA","MUSUNURU",1,1,0,0,0,0,0,0,0,1
"ANDHRA PRADESH","KRISHNA","NAGAYALANKA",1,1,0,0,0,0,0,0,0,1
"ANDHRA PRADESH","KRISHNA","NANDIGAMA",2,0,0,0,1,1,0,0,2,4
"ANDHRA PRADESH","KRISHNA","NANDIVADA",2,2,0,0,0,0,0,0,0,2
"ANDHRA PRADESH","KRISHNA","PAMARRU",1,1,0,0,0,0,0,0,0,1
"ANDHRA PRADESH","KRISHNA","PEDANA",1,1,0,0,0,0,0,0,0,1
"ANDHRA PRADESH","KRISHNA","PENAMALURU",4,2,0,0,2,0,0,0,2,6
"ANDHRA PRADESH","KRISHNA","REDDIGUDEM",1,0,0,0,1,0,0,0,1,2
"ANDHRA PRADESH","KRISHNA","TIRUVURU",1,1,0,0,0,0,0,0,0,1
"ANDHRA PRADESH","KRISHNA","UNGUTURU",3,3,0,0,0,0,0,0,0,3
"ANDHRA PRADESH","KRISHNA","VATSAVAI",2,0,0,0,2,0,0,0,2,4
"ANDHRA PRADESH","KRISHNA","VEERULLAPADU",3,3,0,0,0,0,0,0,0,3
"ANDHRA PRADESH","KRISHNA","VIJAYAWADA (URBAN)",0,0,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","KRISHNA","VISSANNAPET",1,1,0,0,0,0,0,0,0,1
"ANDHRA PRADESH","KURNOOL","ADONI",59,30,0,0,26,3,0,0,29,88
"ANDHRA PRADESH","KURNOOL","BANAGANAPALLE",1,0,0,0,1,0,0,0,1,2
"ANDHRA PRADESH","KURNOOL","BANDI ATMAKUR",142,18,22,29,21,52,0,0,124,266
"ANDHRA PRADESH","KURNOOL","C.BELAGAL",153,103,26,0,24,0,0,0,50,203
"ANDHRA PRADESH","KURNOOL","DORNIPADU",11,6,0,0,0,5,0,0,5,16
"ANDHRA PRADESH","KURNOOL","GOSPADU",48,48,0,0,0,0,0,0,0,48
"ANDHRA PRADESH","KURNOOL","HALAHARVI",44,36,0,4,3,1,0,0,8,52
"ANDHRA PRADESH","KURNOOL","HOLAGUNDA",50,27,4,3,4,12,0,0,23,73
"ANDHRA PRADESH","KURNOOL","KOILKUNTLA",247,98,2,3,136,8,0,0,149,396
"ANDHRA PRADESH","KURNOOL","KOSIGI",65,8,54,1,2,0,0,0,57,122
"ANDHRA PRADESH","KURNOOL","KOTHAPALLE",16,4,0,0,12,0,0,0,12,28
"ANDHRA PRADESH","KURNOOL","KOWTHALAM",68,60,0,1,1,6,0,0,8,76
"ANDHRA PRADESH","KURNOOL","MAHANANDI",8,8,0,0,0,0,0,0,0,8
"ANDHRA PRADESH","KURNOOL","MANTRALAYAM",94,94,0,0,0,0,0,0,0,94
"ANDHRA PRADESH","KURNOOL","NANDAVARAM",194,124,3,6,47,14,0,0,70,264
"ANDHRA PRADESH","KURNOOL","NANDYAL",80,80,0,0,0,0,0,0,0,80
"ANDHRA PRADESH","KURNOOL","PANYAM",44,44,0,0,0,0,0,0,0,44
"ANDHRA PRADESH","KURNOOL","UYYALAWADA",241,102,1,2,134,2,0,0,139,380
"ANDHRA PRADESH","MAHABOOB NAGAR","AIZA",94,0,0,0,94,0,0,0,94,188
"ANDHRA PRADESH","MAHABOOB NAGAR","ALAMPUR",7,0,0,0,7,0,0,0,7,14
"ANDHRA PRADESH","MAHABOOB NAGAR","ATMAKUR",169,0,29,3,136,1,0,0,169,338
"ANDHRA PRADESH","MAHABOOB NAGAR","GADWAL",126,1,57,1,65,2,0,0,125,251
"ANDHRA PRADESH","MAHABOOB NAGAR","ITIKYAL",5,0,0,0,5,0,0,0,5,10
"ANDHRA PRADESH","MAHABOOB NAGAR","MAGANOOR",58,0,4,0,54,0,0,0,58,116
"ANDHRA PRADESH","MAHABOOB NAGAR","MAKTHAL",9,0,8,0,1,0,0,0,9,18
"ANDHRA PRADESH","MAHABOOB NAGAR","MANOPADU",184,0,6,0,178,0,0,0,184,368
"ANDHRA PRADESH","MAHABOOB NAGAR","PEBBAIR",9,0,0,0,9,0,0,0,9,18
"ANDHRA PRADESH","MAHABOOB NAGAR","VEEPANGANDLA",1,0,0,0,1,0,0,0,1,2
"ANDHRA PRADESH","MAHABOOB NAGAR","WADDEPALLE",277,0,1,0,0,276,0,0,277,554
"ANDHRA PRADESH","MEDAK","ANDOLE",24,23,0,0,0,1,0,0,1,25
"ANDHRA PRADESH","MEDAK","PAPANNAPET",115,35,31,2,45,2,0,0,80,195
"ANDHRA PRADESH","MEDAK","SHANKARAMPET[A]",62,0,38,1,6,17,0,0,62,124
"ANDHRA PRADESH","NALGONDA","ANUMULA",7,5,0,0,2,0,0,0,2,9
"ANDHRA PRADESH","NALGONDA","CHILKUR",89,89,0,0,0,0,0,0,0,89
"ANDHRA PRADESH","NALGONDA","DAMERACHERLA",23,23,0,0,0,0,0,0,0,23
"ANDHRA PRADESH","NALGONDA","DEVARAKONDA",9,9,0,0,0,0,0,0,0,9
"ANDHRA PRADESH","NALGONDA","GARIDE PALLE",199,102,13,0,4,80,0,0,97,296
"ANDHRA PRADESH","NALGONDA","HUZURNAGAR",219,194,3,1,5,16,0,0,25,244
"ANDHRA PRADESH","NALGONDA","KETHE PALLE",1,0,0,0,0,1,0,0,1,2
"ANDHRA PRADESH","NALGONDA","KODAD",197,195,0,0,2,0,0,0,2,199
"ANDHRA PRADESH","NALGONDA","MATTAM PALLE",119,99,15,1,4,0,0,0,20,139
"ANDHRA PRADESH","NALGONDA","MELLA CHERVU",128,52,56,0,18,2,0,0,76,204
"ANDHRA PRADESH","NALGONDA","MIRYALAGUDA",161,99,46,1,15,0,0,0,62,223
"ANDHRA PRADESH","NALGONDA","MOTHEY",1,0,0,0,1,0,0,0,1,2
"ANDHRA PRADESH","NALGONDA","MUNAGALA",2,0,0,0,0,2,0,0,2,4
"ANDHRA PRADESH","NALGONDA","NEREDCHERLA",129,54,36,0,2,37,0,0,75,204
"ANDHRA PRADESH","NALGONDA","NIDAMANOOR",73,70,0,0,3,0,0,0,3,76
"ANDHRA PRADESH","NALGONDA","PEDDAVOORA",389,136,150,25,46,32,0,0,253,642
"ANDHRA PRADESH","NALGONDA","PENPAHAD",17,14,0,0,0,3,0,0,3,20
"ANDHRA PRADESH","NALGONDA","THRIPURARAM",37,28,0,0,9,0,0,0,9,46
"ANDHRA PRADESH","NALGONDA","VEMULA PALLE",10,3,0,0,7,0,0,0,7,17
"ANDHRA PRADESH","NELLORE","ALLUR",67,2,0,0,6,59,0,0,65,132
"ANDHRA PRADESH","NELLORE","ANANTHASAGARAM",16,16,0,0,0,0,0,0,0,16
"ANDHRA PRADESH","NELLORE","ANUMASAMUDRAMPETA",0,0,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","NELLORE","ATMAKUR",63,37,25,0,0,1,0,0,26,89
"ANDHRA PRADESH","NELLORE","BALAYAPALLE",263,262,0,1,0,0,0,0,1,264
"ANDHRA PRADESH","NELLORE","BUT'PALEM (VAVVERU)",20,12,0,0,8,0,0,0,8,28
"ANDHRA PRADESH","NELLORE","CHEJERLA",79,66,0,0,10,3,0,0,13,92
"ANDHRA PRADESH","NELLORE","CHILLAKUR",138,138,0,0,0,0,0,0,0,138
"ANDHRA PRADESH","NELLORE","DAGADARTHI",4,2,1,0,0,1,0,0,2,6
"ANDHRA PRADESH","NELLORE","DAKKILI",205,180,0,0,22,3,0,0,25,230
"ANDHRA PRADESH","NELLORE","DUTTALUR",36,36,0,0,0,0,0,0,0,36
"ANDHRA PRADESH","NELLORE","GUDUR",6,6,0,0,0,0,0,0,0,6
"ANDHRA PRADESH","NELLORE","KALIGIRI",1,0,0,0,0,1,0,0,1,2
"ANDHRA PRADESH","NELLORE","KALUVOYA",54,36,0,0,4,14,0,0,18,72
"ANDHRA PRADESH","NELLORE","KAVALI",33,33,0,0,0,0,0,0,0,33
"ANDHRA PRADESH","NELLORE","KODAVALUR",35,35,0,0,0,0,0,0,0,35
"ANDHRA PRADESH","NELLORE","KONDAPURAM",54,29,13,1,11,0,0,0,25,79
"ANDHRA PRADESH","NELLORE","KOTA",14,14,0,0,0,0,0,0,0,14
"ANDHRA PRADESH","NELLORE","MANUBOLU",4,4,0,0,0,0,0,0,0,4
"ANDHRA PRADESH","NELLORE","MARRIPADU",92,72,5,0,15,0,0,0,20,112
"ANDHRA PRADESH","NELLORE","NELLORE",168,161,0,0,0,7,0,0,7,175
"ANDHRA PRADESH","NELLORE","PODALAKUR",306,280,0,0,26,0,0,0,26,332
"ANDHRA PRADESH","NELLORE","RAPUR",31,26,0,0,0,5,0,0,5,36
"ANDHRA PRADESH","NELLORE","SANGAM",116,103,2,0,11,0,0,0,13,129
"ANDHRA PRADESH","NELLORE","SULLURPETA",0,0,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","NELLORE","SYDAPURAM",117,117,0,0,0,0,0,0,0,117
"ANDHRA PRADESH","NELLORE","TADA",144,144,0,0,0,0,0,0,0,144
"ANDHRA PRADESH","NELLORE","VARIKUNTAPADU",4,4,0,0,0,0,0,0,0,4
